Adlm ;	[𞤀-𞥆𞥋]
Arab ;	[؀-؃ؠ-غؽـ-ْٔ-ٟٙٛٯٰٲٶٹ-ځڃ-ڊڌڍڏڑړڕږژ-ښڜڠڢڤ-ڭگڱڳڵں-ھہ-ۄۆ-ےەݜݢݣݲ​-\‏]
Armn ;	[Ա-Ֆա-և]
Beng ;	[ঁ-ঃঅ-ঌএঐও-নপ-রলশ-হ়-ৄেৈো-ৎৗৠ-ৣৰ-৺‌‍]
Cakm ;	[𑄀-𑄴]
Cans ;	[ᐁᐃ-ᐆᐊᐋᐍᐏᐑᐓᐕᐘᐚᐟᐠᐢ-ᐤᐦᐨᐩᐯᐱ-ᐴᐸᐹᐻᐽᐿᑁᑃᑅᑇᑉᑊᑌᑎ-ᑑᑕᑖᑘᑚᑜᑞᑠᑢᑤᑦᑫᑭ-ᑰᑲᑳᑵᑷᑹᑻᑽᑿᒁᒃᒉᒋ-ᒎᒐᒑᒓᒕᒗᒙᒛᒝᒟᒡᒣᒥ-ᒨᒪᒫᒭᒯᒱᒳᒵᒷᒹᒻᒼᓀᓂ-ᓅᓇᓈᓊᓌᓎᓐᓕ-ᓘᓚᓛᓪᓭᓯ-ᓲᓴᓵᓷᓹᓻᓽᓿᔁᔃᔅᔦᔨ-ᔫᔭᔮᔰᔲᔴᔶᔸᔺᔼᔾᕆ-ᕉᕋᕌᕐᕕ-ᕚᕝᕿ-ᖃᖅᖏᖑ-ᖖᖠ-ᖦᙱ-ᙶ]
Cher ;	[Ꭰ-Ᏼᏸ-ᏼꭰ-ꮿ]
Cyrl ;	[ʼЀ-ѷѺ-҄҇-҉Ґ-ҿӉӊӐ-әӠ-ӣӨөӮӯӲӳӶӷԔ-ԙԤԥᲀ-ᲈ‌‍ⷠ-ⷿⸯꙀ-꙲ꙴ-ꙻ꙽ꙿꚘ-ꚛꚞꚟ︮︯{а̀}{а́}{а̂}{гӏ}{е́}{е̂}{и́}{и̂}{кӏ}{о̀}{о́}{о̂}{пӏ}{тӏ}{у̀}{у́}{у̂}{хӏ}{цӏ}{чӏ}{ъ̀}{ы́}{э́}{ю̀}{ю́}{я̀}{я́}{ё́}{є́}{і́}{ї́}]
Deva ;	[ँ-ःअ-ऍए-ऑओ-नप-ळव-ह़-ॅे-ॉो-्ॐ-॒ड़ॠ-ॣ०-९ॻॼॾॿ‌‍]
Dsrt ;	[𐐀-𐑏]
Ethi ;	[ሀ-ቈቊ-ቍቐ-ቖቘቚ-ቝበ-ኈኊ-ኍነ-ኰኲ-ኵኸ-ኾዀዂ-ዅወ-ዖዘ-ጐጒ-ጕጘ-ፚ፟-፼ᎀ-᎙ⶀ-ⶖⶠ-ⶦⶨ-ⶮⶰ-ⶶⶸ-ⶾⷀ-ⷆⷈ-ⷎⷐ-ⷖⷘ-ⷞ]
Geor ;	[Ⴀ-Ⴥა-ჺᲐ-Ჺⴀ-ⴥ]
Grek ;	[µͅΆΈ-ΊΌΎ-ΡΣ-ώϐϑϕϖϰϱϴϵἀ-ἕἘ-Ἕἠ-Ἷὂ-ὄὊ-Ὄὐ-ὗὙὛὝὟὢ-ὧὪ-ὰὲὴὶὸὺὼᾶᾺῆῈῊῒῖῗῚῢῦῧῪῶῸῺ{ᾶ}{ῆ}{ῒ}{ΐ}{ῗ}{ῖ}{ῢ}{ΰ}{ῧ}{ὐ}{ὒ}{ὔ}{ὖ}{ῦ}{ῶ}]
