అదృశ్యం ; అ÷దృ÷శ్యం
ఉద్యోగాలు ; ఉ÷ద్యో÷గా÷లు
ఉన్నాయన్న ; ఉ÷న్నా÷య÷న్న
కార్యదర్శి  ; కా÷ర్య÷ద÷ర్శి	 
సామర్థ్యం ; సా÷మ÷ర్థ్యం
అభిప్రాయం ; అ÷భి÷ప్రా÷యం
రాష్ట్రస్థాయి ; రా÷ష్ట్ర÷స్థా÷యి
నిర్లక్ష్యం ; ని÷ర్ల÷క్ష్యం
వ్యాజ్యాలన్నీ ; వ్యా÷జ్యా÷ల÷న్నీ
న్యాయవ్యవస్థ ; న్యా÷య÷వ్య÷వ÷స్థ
వ్యాఖ్యలు ; వ్యా÷ఖ్య÷లు
నేతృత్వం ; నే÷తృ÷త్వం
ఉద్రిక్తత ; ఉ÷ద్రి÷క్త÷త
వ్యాఖ్యలు ; వ్యా÷ఖ్య÷లు
అత్యున్నత ; అ÷త్యు÷న్న÷త
మనస్పర్ధలు ; మ÷న÷స్ప÷ర్ధ÷లు
కార్యక్రమం ; కా÷ర్య÷క్ర÷మం 
గుప్పిస్తున్నారు ; గు÷ప్పి÷స్తు÷న్నా÷రు
నటిస్తున్నారు ; న÷టి÷స్తు÷న్నా÷రు
ద్వితీయార్ధం ; ద్వి÷తీ÷యా÷ర్ధం
జీర్ణవ్యవస్థ ; జీ÷ర్ణ÷వ్య÷వ÷స్థ
ఉత్సాహం ; ఉ÷త్సా÷హం
హృద్రోగాలు ; హృ÷ద్రో÷గా÷లు
పాల్గొనాల్సింది ; పా÷ల్గొ÷నా÷ల్సిం÷ది
మార్గదర్శకాలు  ; మా÷ర్గ÷ద÷ర్శ÷కా÷లు
