ଅସ୍ବରାନ୍ତ ; ଅ÷ସ୍ବ÷ରା÷ନ୍ତ
ଅକର୍ମଣ୍ୟତା ; ଅ÷କ÷ର୍ମ÷ଣ୍ୟ÷ତା
ଅକର୍ମା ; ଅ÷କ÷ର୍ମା
ଆକର୍ଣ୍ଣ  ; ଆ÷କ÷ର୍ଣ୍ଣ	 
ଆକସ୍ମିକୀ ; ଆ÷କ÷ସ୍ମି÷କୀ
ଇଞ୍ଚମନୌତୀ ; ଇ÷ଞ୍ଚ÷ମ÷ନୌ÷ତୀ
ଅଗତ୍ୟା ; ଅ÷ଗ÷ତ୍ୟା
ଇନ୍ଦ୍ରଧ୍ବଜ ; ଇ÷ନ୍ଦ୍ର÷ଧ୍ବ÷ଜ
ଊରୁତ୍ରାଣ ; ଊ÷ରୁ÷ତ୍ରା÷ଣ
ଐଶ୍ବର୍ଯ୍ୟ ; ଐ÷ଶ୍ବ÷ର୍ଯ୍ୟ
ଅଗତ୍ୟା ; ଅ÷ଗ÷ତ୍ୟା
ଔପନ୍ୟାସିକ ; ଔ÷ପ÷ନ୍ୟା÷ସି÷କ
ଔଷ୍ଠ୍ୟ ; ଔ÷ଷ୍ଠ୍ୟ
ଯଜୁର୍ବେଦୀ ; ଯ÷ଜୁ÷ର୍ବେ÷ଦୀ
ପକ୍ଷ୍ମ ; ପ÷କ୍ଷ୍ମ
ପଞ୍ଚଭୌତିକ ; ପ÷ଞ୍ଚ÷ଭୌ÷ତି÷କ
ତନ୍ତ୍ରିକାତନ୍ତ୍ର ; ତ÷ନ୍ତ୍ରି÷କା÷ତ÷ନ୍ତ୍ର
ସ୍ନାୟୁତନ୍ତ୍ର ; ସ୍ନା÷ୟୁ÷ତ÷ନ୍ତ୍ର
ତପ୍ତକୁଣ୍ଡ ; ତ÷ପ୍ତ÷କୁ÷ଣ୍ଡ
ଚଣ୍ଡୋଦରୀ ; ଚ÷ଣ୍ଡୋ÷ଦ÷ରୀ
ଝଙ୍କାର ; ଝ÷ଙ୍କା÷ର
କଙ୍କପୃଷ୍ଠୀ ; କ÷ଙ୍କ÷ପୃ÷ଷ୍ଠୀ
ଖଣ୍ଡନୀୟ ; ଖ÷ଣ୍ଡ÷ନୀ÷ୟ
ଖମ୍ଭାବତୀ ; ଖ÷ମ୍ଭା÷ବ÷ତୀ
ଘାଣେନ୍ଦ୍ରିୟ  ; ଘା÷ଣେ÷ନ୍ଦ୍ରି÷ୟ 
ଘୁଞ୍ଚାଇବା  ; ଘୁ÷ଞ୍ଚା÷ଇ÷ବା
