અંગ્રેજી ; અં÷ગ્રે÷જી
શબ્દકોશ ; શ÷બ્દ÷કો÷શ
બાપ્તિસ્મા ; બા÷પ્તિ÷સ્મા
મિસ્ત્રી  ; મિ÷સ્ત્રી 
સિક્કા ; સિ÷ક્કા
#6 ; એકત્રીસમું ; એ÷કત્રી÷સ÷મું
સ્વસ્થાને ; સ્વ÷સ્થા÷ને
પ્રશ્નાર્થ ; પ્ર÷શ્ના÷ર્થ
વર્તમાનકૃદંત ; વ÷ર્ત÷મા÷ન÷કૃ÷દં÷ત
વાક્યની ; વા÷ક્ય÷ની
સાર્વજનિક ; સા÷ર્વ÷જ÷નિ÷ક
સમાપ્તિ ; સ÷મા÷પ્તિ
પધાર્યા ; પ÷ધા÷ર્યા
વ્યક્તિત્વને ; વ્ય÷ક્તિ÷ત્વ÷ને
આત્મવિશ્વાસ ; આ÷ત્મ÷વિ÷શ્વા÷સ
વ્યાયામથી ; વ્યા÷યા÷મ÷થી
યુક્ત ; યુ÷ક્ત
#18 ; પુરુષોત્તમ ; પ÷રુ÷ષો÷ત્ત÷મ
કેન્દ્રીય ; કે÷ન્દ્રી÷ય
ક્ષત્રિય ; ક્ષ÷ત્રિ÷ય
ફોર્મ્યુલા ; ફો÷ર્મ્યુ÷લા
કેન્દ્રમાં ; કે÷ન્દ્ર÷માં
સ્પ્રિંગ ; સ્પ્રિં÷ગ
પ્રારંભ ; પ્રા÷રં÷ભ
વિદ્યાર્થીઓ  ; વિ÷દ્યા÷ર્થી÷ઓ 
સ્વાર્થની  ; સ્વા÷ર્થ÷ની
લોન્ગયરબ્યેન  ; લો÷ન્ગ÷ય÷ર÷બ્યે÷ન
સ્થાનિક  ; સ્થા÷નિ÷ક
બિલ્ડિંગની  ; બિ÷લ્ડિં÷ગ÷ની
ઉત્પાદક  ; ઉ÷ત્પા÷દ÷ક
ઝૂકાવ્યું  ; ઝૂ÷કા÷વ્યું
પ્રપૌત્ર  ; પ્ર÷પૌ÷ત્ર
