संदिग्ध ; सं÷दि÷ग्ध
सुरक्षा ; सु÷र÷क्षा
टक्कर ; ट÷क्क÷र
सत्र  ; स÷त्र 
दक्षिण ; द÷क्षि÷ण
मिश्रणाने ; मि÷श्र÷णा÷ने
दुर्घटनाग्रस्त ; दु÷र्घ÷ट÷ना÷ग्र÷स्त
मुहूर्त ; मु÷हू÷र्त
शर्करायुक्त ; श÷र्क÷रा÷यु÷क्त
अंतरराष्ट्रीय ; अं÷त÷र÷रा÷ष्ट्री÷य
राष्ट्रपति ; रा÷ष्ट्र÷प÷ति
फ्रांस ; फ्रां÷स
ट्रैक्टर ; ट्रै÷क्ट÷र
सिट्रोनेलाचे ; सि÷ट्रो÷ने÷ला÷चे
टुक्रालाई ; टु÷क्रा÷ला÷ई
इकट्ठा ; इ÷क÷ट्ठा
शास्त्र ; शा÷स्त्र
स्त्री ; स्त्री
लक्ष्य ; ल÷क्ष्य
तीक्ष्ण ; ती÷क्ष्ण
Words ;W÷o÷r÷d÷s
त्रिवेदी ; त्रि÷वे÷दी
कृत्रिम ; कृ÷त्रि÷म
मात्रामा ; मा÷त्रा÷मा
सिद्धार्थनगर ; सि÷द्धा÷र्थ÷न÷ग÷र
श्रद्धालुओं ; श्र÷द्धा÷लु÷ओं
वृद्धिसँग ; वृ÷द्धि÷सँ÷ग
अंतःज्ञानी  ; अं÷तः÷ज्ञा÷नी÷ 
गन्नदी॑धिम ; ग÷न्न÷दी॑÷धि÷म
प्प्रप॑द्ये॒ ; प्प्र÷प॑÷द्ये॒
मनस्तापः ; म÷न÷स्ता÷पः
हविष्करोमि ; ह÷वि÷ष्क÷रो÷मि
अहर्पतिः ; अ÷ह÷र्प÷तिः
गच्छति ; ग÷च्छ÷ति
अयम् ; अ÷य÷म्
शिवश्चोदति ; शि÷व÷श्चो÷द÷ति
मनष्टालयति ; म÷न÷ष्टा÷ल÷य÷ति
अश्वष्ठक्कस्य ; अ÷श्व÷ष्ठ÷क्क÷स्य
दुष्पुत्रः ; दु÷ष्पु÷त्रः
द्विःपक्वम् ; द्विः÷प÷क्व÷म्
द्विष्कामः ; द्वि÷ष्का÷मः
भर्तुर्भोगः ; भ÷र्तु÷र्भो÷गः
शॆत्युल  ; शॆ÷त्यु÷ल÷ 
महारॆन्य ; म÷हा÷रॆ÷न्य
सॆक्युल ; सॆ÷क्यु÷ल
ल्यॊदुर ; ल्यॊ÷दु÷र
फयॊक ; फ÷यॊ÷क
मॊहन्युव ; मॊ÷ह÷न्यु÷व 
अन्यर ; अ÷न्य÷र
ख्वजि ; ख्व÷जि
खॅरिन्य ; खॅ÷रि÷न्य
उच्छ्वास ; उ÷च्छ्वा÷स
व्यक्तिमत्व ; व्य÷क्ति÷म÷त्व
दातांच्यामध्ये ; दा÷तां÷च्या÷म÷ध्ये
दुर्गंधी ; दु÷र्गं÷धी
दुर्गंधीपासूनसुद्धा ; दु÷र्गं÷धी÷पा÷सू÷न÷सु÷द्धा
नित्यकर्मामध्ये ; नि÷त्य÷क÷र्मा÷म÷ध्ये
आजारांपासूनसुद्धा ; आ÷जा÷रां÷पा÷सू÷न÷सु÷द्धा
भाज्यांमध्ये ; भा÷ज्यां÷म÷ध्ये
उच्छ्वासाच्या ; उ÷च्छ्वा÷सा÷च्या
सुकिल्लीं ; सु÷कि÷ल्लीं
स्लिपां ; स्लि÷पां
मिसळिल्ल्यान ; मि÷स÷ळि÷ल्ल्या÷न
रोंप्यांची ; रों÷प्यां÷ची
वर्सांतल्यान ; व÷र्सां÷त÷ल्या÷न
रोंप्याच्या ; रों÷प्या÷च्या
नाशिल्ल्यान ; ना÷शि÷ल्ल्या÷न
जिल्ल्याच्या ; जि÷ल्ल्या÷च्या
कुरुक्षेत्रांतल्या ; कु÷रु÷क्षे÷त्रां÷त÷ल्या
भाज्ज्यांची ; भा÷ज्ज्यां÷ची
सिट्रोनेलाका ; सि÷ट्रो÷ने÷ला÷का
गरिनुपर्छ ; ग÷रि÷नु÷प÷र्छ
सामान्यतः ; सा÷मा÷न्य÷तः
वृद्धिसँग ; वृ÷द्धि÷सँ÷ग
रिपोर्टनि ; रि÷पो÷र्ट÷नि
टोस्टर्ज़ ; टो÷स्ट÷र्ज़
वक्तव्य ; व÷क्त÷व्य
प्रक्रिया ; प्र÷क्रि÷या
निर्दिष्ट ; नि÷र्दि÷ष्ट
अस्वीकृत ; अ÷स्वी÷कृ÷त
प्रयोक्ता ; प्र÷यो÷क्ता
प्रकार्यक ; प्र÷का÷र्य÷क
ट्रेक्टरु ; ट्रे÷क्ट÷रु
स्थानधारक ; स्था÷न÷धा÷र÷क
प्रकार्यक ; प्र÷का÷र्य÷क
अनुच्छेदसँ ; अ÷नु÷च्छे÷द÷सँ
गर्मीपदु ; ग÷र्मी÷प÷दु
शास्त्रु ; शा÷स्त्रु
इन्द्री ; इ÷न्द्री
श्रधालू ; श्र÷धा÷लू
आस्तिकु ; आ÷स्ति÷कु
सकार्थो ; स÷का÷र्थो
सन्ॿंधु ; स÷न्ॿं÷धु
मनुक्खो ; म÷नु÷क्खो
हानिफ्राय ; हा÷नि÷फ्रा÷य
दैथाइहरग्रा ; दै÷था÷इ÷ह÷र÷ग्रा
बोसोरब्रै ; बो÷सो÷र÷ब्रै
रांखान्थियारि ; रां÷खा÷न्थि÷या÷रि
खान्थियाव ; खा÷न्थि÷या÷व
स्लिप्स ; स्लि÷प्स
