locale	calendar	skeleton	pattern
en_US	gregorian	B	B
en_US	gregorian	BBBB	BBBB
en_US	gregorian	BBBBB	BBBBB
en_US	gregorian	BBBBBhm	h:mm BBBBB
en_US	gregorian	BBBBhm	h:mm BBBB
en_US	gregorian	Bhh	hh B
en_US	gregorian	Bhm	h:mm B
en_US	gregorian	C	h a
en_US	gregorian	CC	h a
en_US	gregorian	CCC	h aaaa
en_US	gregorian	CCCC	h aaaa
en_US	gregorian	CCCCC	h aaaaa
en_US	gregorian	CCCCCC	h aaaaa
en_US	gregorian	CCCCCCm	h:mm aaaaa
en_US	gregorian	CCCCCm	h:mm aaaaa
en_US	gregorian	CCCCm	h:mm aaaa
en_US	gregorian	CCCm	h:mm aaaa
en_US	gregorian	CCm	h:mm a
en_US	gregorian	Cm	h:mm a
en_US	gregorian	E	ccc
en_US	gregorian	EEEE	cccc
en_US	gregorian	EEEEE	ccccc
en_US	gregorian	EEEEEE	cccccc
en_US	gregorian	G	G
en_US	gregorian	GG	GG
en_US	gregorian	GGG	GGG
en_US	gregorian	GGGG	GGGG
en_US	gregorian	GGGGG	GGGGG
en_US	gregorian	GGGGGyMd	M/d/y GGGGG
en_US	gregorian	GGGGyMd	M/d/y GGGG
en_US	gregorian	GGGyMd	M/d/y GGG
en_US	gregorian	GGyMd	M/d/y GG
en_US	gregorian	H	HH
en_US	gregorian	HH	HH
en_US	gregorian	HHm	HH:mm
en_US	gregorian	Hm	HH:mm
en_US	gregorian	Hms	HH:mm:ss
en_US	gregorian	J	hh
en_US	gregorian	JJ	hh
en_US	gregorian	JJJ	hh
en_US	gregorian	JJJJ	hh
en_US	gregorian	JJJJJ	hh
en_US	gregorian	JJJJJJ	hh
en_US	gregorian	JJJJJJm	hh:mm
en_US	gregorian	JJJJJm	hh:mm
en_US	gregorian	JJJJm	hh:mm
en_US	gregorian	JJJm	hh:mm
en_US	gregorian	JJm	hh:mm
en_US	gregorian	Jm	hh:mm
en_US	gregorian	M	L
en_US	gregorian	MM	LL
en_US	gregorian	MMM	LLL
en_US	gregorian	MMMMM	LLLLL
en_US	gregorian	Q	Q
en_US	gregorian	QQ	QQ
en_US	gregorian	QQQ	QQQ
en_US	gregorian	QQQQ	QQQQ
en_US	gregorian	QQQQQ	QQQQQ
en_US	gregorian	U	y
en_US	gregorian	UUUU	y
en_US	gregorian	d	d
en_US	gregorian	dd	dd
en_US	gregorian	h	h a
en_US	gregorian	hh	hh a
en_US	gregorian	hhm	hh:mm a
en_US	gregorian	hm	h:mm a
en_US	gregorian	hmm	h:mm a
en_US	gregorian	hms	h:mm:ss a
en_US	gregorian	hmss	h:mm:ss a
en_US	gregorian	hmsz	h:mm:ss a z
en_US	gregorian	hmszz	h:mm:ss a zz
en_US	gregorian	hmszzz	h:mm:ss a zzz
en_US	gregorian	hmszzzz	h:mm:ss a zzzz
en_US	gregorian	hmszzzzz	h:mm:ss a zzzzz
en_US	gregorian	j	h a
en_US	gregorian	jj	h a
en_US	gregorian	jjj	h aaaa
en_US	gregorian	jjjj	h aaaa
en_US	gregorian	jjjjj	h aaaaa
en_US	gregorian	jjjjjj	h aaaaa
en_US	gregorian	jjjjjjm	h:mm aaaaa
en_US	gregorian	jjjjjm	h:mm aaaaa
en_US	gregorian	jjjjm	h:mm aaaa
en_US	gregorian	jjjm	h:mm aaaa
en_US	gregorian	jm	h:mm a
en_US	gregorian	m	m
en_US	gregorian	mm	mm
en_US	gregorian	s	s
en_US	gregorian	ss	ss
en_US	gregorian	v	v
en_US	gregorian	vvvv	vvvv
en_US	gregorian	y	y
en_US	gregorian	yM	M/y
en_US	gregorian	yMM	MM/y
en_US	gregorian	yMMM	MMM y
en_US	gregorian	yMMMM	MMMM y
en_US	gregorian	yMMMMEEEEdvvvv	EEEE, MMMM d, y, vvvv
en_US	gregorian	yMMMMM	MMMMM y
en_US	gregorian	yMMMMdhmsvvvv	MMMM d, y, h:mm:ss a vvvv
en_US	gregorian	yMMMMdv	MMMM d, y, v
en_US	gregorian	yMdE	E, M/d/y
en_US	gregorian	yMdEEEE	EEEE, M/d/y
en_US	gregorian	yMdEEEEE	EEEEE, M/d/y
en_US	gregorian	yMdEEEEEE	EEEEEE, M/d/y
en_US	gregorian	yMdd	M/dd/y
en_US	gregorian	yMv	M/y, v
en_US	gregorian	yQ	QQQ y
en_US	gregorian	yQQQ	QQQ y
en_US	gregorian	yQQQQ	QQQQ y
en_US	gregorian	yy	yy
en_US	gregorian	yyMd	M/d/yy
en_US	gregorian	yyyy	yyyy
en_US	gregorian	yyyyMd	M/d/yyyy
en_US	gregorian	z	z
en_US	gregorian	zz	zz
en_US	gregorian	zzz	zzz
en_US	gregorian	zzzz	zzzz
en_US	gregorian	zzzzz	zzzzz
en_US	japanese	B	B
en_US	japanese	BBBB	BBBB
en_US	japanese	BBBBB	BBBBB
en_US	japanese	BBBBBhm	h:mm BBBBB
en_US	japanese	BBBBhm	h:mm BBBB
en_US	japanese	Bhh	hh B
en_US	japanese	Bhm	h:mm B
en_US	japanese	C	h a
en_US	japanese	CC	h a
en_US	japanese	CCC	h aaaa
en_US	japanese	CCCC	h aaaa
en_US	japanese	CCCCC	h aaaaa
en_US	japanese	CCCCCC	h aaaaa
en_US	japanese	CCCCCCm	h:mm aaaaa
en_US	japanese	CCCCCm	h:mm aaaaa
en_US	japanese	CCCCm	h:mm aaaa
en_US	japanese	CCCm	h:mm aaaa
en_US	japanese	CCm	h:mm a
en_US	japanese	Cm	h:mm a
en_US	japanese	E	ccc
en_US	japanese	EEEE	cccc
en_US	japanese	EEEEE	ccccc
en_US	japanese	EEEEEE	cccccc
en_US	japanese	G	G
en_US	japanese	GG	GG
en_US	japanese	GGG	GGG
en_US	japanese	GGGG	GGGG
en_US	japanese	GGGGG	GGGGG
en_US	japanese	GGGGGyMd	M/d/y GGGGG
en_US	japanese	GGGGyMd	M/d/y GGGG
en_US	japanese	GGGyMd	M/d/y GGG
en_US	japanese	GGyMd	M/d/y GG
en_US	japanese	H	HH
en_US	japanese	HH	HH
en_US	japanese	HHm	HH:mm
en_US	japanese	Hm	HH:mm
en_US	japanese	Hms	HH:mm:ss
en_US	japanese	J	hh
en_US	japanese	JJ	hh
en_US	japanese	JJJ	hh
en_US	japanese	JJJJ	hh
en_US	japanese	JJJJJ	hh
en_US	japanese	JJJJJJ	hh
en_US	japanese	JJJJJJm	hh:mm
en_US	japanese	JJJJJm	hh:mm
en_US	japanese	JJJJm	hh:mm
en_US	japanese	JJJm	hh:mm
en_US	japanese	JJm	hh:mm
en_US	japanese	Jm	hh:mm
en_US	japanese	M	L
en_US	japanese	MM	LL
en_US	japanese	MMM	LLL
en_US	japanese	MMMMM	LLLLL
en_US	japanese	Q	Q
en_US	japanese	QQ	QQ
en_US	japanese	QQQ	QQQ
en_US	japanese	QQQQ	QQQQ
en_US	japanese	QQQQQ	QQQQQ
en_US	japanese	U	y G
en_US	japanese	UUUU	y G
en_US	japanese	d	d
en_US	japanese	dd	dd
en_US	japanese	h	h a
en_US	japanese	hh	hh a
en_US	japanese	hhm	hh:mm a
en_US	japanese	hm	h:mm a
en_US	japanese	hmm	h:mm a
en_US	japanese	hms	h:mm:ss a
en_US	japanese	hmss	h:mm:ss a
en_US	japanese	hmsz	h:mm:ss a z
en_US	japanese	hmszz	h:mm:ss a zz
en_US	japanese	hmszzz	h:mm:ss a zzz
en_US	japanese	hmszzzz	h:mm:ss a zzzz
en_US	japanese	hmszzzzz	h:mm:ss a zzzzz
en_US	japanese	j	h a
en_US	japanese	jj	h a
en_US	japanese	jjj	h aaaa
en_US	japanese	jjjj	h aaaa
en_US	japanese	jjjjj	h aaaaa
en_US	japanese	jjjjjj	h aaaaa
en_US	japanese	jjjjjjm	h:mm aaaaa
en_US	japanese	jjjjjm	h:mm aaaaa
en_US	japanese	jjjjm	h:mm aaaa
en_US	japanese	jjjm	h:mm aaaa
