locale	calendar	skeleton	pattern
af	buddhist	CCCC	HH
af	buddhist	GG	GG
af	buddhist	QQ	QQ
af	buddhist	d	d
af	buddhist	jj	HH
af	buddhist	yMdd	dd/M/y GGGGG
af	buddhist	yQ	QQQ y G
af	buddhist	yy	yy G
af	buddhist	zzzz	zzzz
af	chinese	GGGGyMd	r MMM d
af	chinese	JJ	HH
af	chinese	UUUU	r(U)
af	chinese	h	h a
af	chinese	hh	hh a
af	chinese	hmsz	h:mm:ss a z
af	chinese	hmszzz	h:mm:ss a zzz
af	chinese	mm	mm
af	chinese	yM	r-MM
af	coptic	CCCCC	HH
af	coptic	GGG	GGG
af	coptic	GGGGG	GGGGG
af	coptic	hm	hh:mm a
af	coptic	yMMMMdhmsvvvv	d MMMM y G hh:mm:ss a vvvv
af	dangi	Bhh	hh B
af	dangi	CCCm	HH:mm
af	dangi	hmszz	h:mm:ss a zz
af	ethiopic	BBBBB	BBBBB
af	ethiopic	Bh	h B
af	ethiopic	Hms	HH:mm:ss
af	ethiopic	JJJJJ	HH
af	ethiopic	jjjjj	HH
af	ethiopic	v	v
af	ethiopic	yMv	M/y GGGGG v
af	ethiopic	zzz	zzz
af	ethiopic	zzzzz	zzzzz
af	gregorian	BBBBBhm	hh:mm BBBBB
af	gregorian	GGGyMd	GGG y-MM-dd
af	gregorian	Hm	HH:mm
af	gregorian	hmss	h:mm:ss a
af	hebrew	Hms	HH:mm:ss
af	hebrew	hmszz	hh:mm:ss a zz
af	hebrew	hmszzzz	hh:mm:ss a zzzz
af	hebrew	v	v
af	hebrew	yMv	M/y GGGGG v
af	hebrew	zzz	zzz
af	indian	B	B
af	indian	Cm	HH:mm
af	indian	Hms	HH:mm:ss
af	indian	j	HH
af	indian	yMv	M/y GGGGG v
af	indian	zzz	zzz
af	islamic	jjjjjm	HH:mm
af	islamic	yMM	MM/y GGGGG
af	islamic	yMMMM	MMMM y G
af	islamic	yMMMMd	d MMMM y G
af	islamic-civil	C	HH
af	islamic-civil	CCC	HH
af	islamic-rgsa	CCCCm	HH:mm
af	islamic-rgsa	JJJJJm	HH:mm
af	islamic-rgsa	JJm	HH:mm
af	islamic-rgsa	M	L
af	islamic-rgsa	hhm	hh:mm a
af	islamic-rgsa	jjjjjm	HH:mm
af	islamic-rgsa	jjjm	HH:mm
af	islamic-rgsa	yMMMMd	d MMMM y G
af	islamic-tbla	JJJm	HH:mm
af	islamic-tbla	M	L
af	islamic-umalqura	B	B
af	islamic-umalqura	CCCCCm	HH:mm
af	islamic-umalqura	hms	hh:mm:ss a
af	islamic-umalqura	hmszzzz	hh:mm:ss a zzzz
af	islamic-umalqura	j	HH
af	islamic-umalqura	jjj	HH
af	japanese	CCCCCC	HH
af	japanese	UUUU	y G
af	japanese	hmsz	hh:mm:ss a z
af	japanese	hmszzzzz	hh:mm:ss a zzzzz
af	japanese	yMdEEEE	EEEE d/M/y G
af	japanese	yMdEEEEEE	EEEEEE d/M/y G
af	persian	CCCCm	HH:mm
af	persian	CCm	HH:mm
af	persian	E	ccc
af	persian	HHm	HH:mm
af	persian	QQQ	QQQ
af	persian	jjjm	HH:mm
af	persian	jm	HH:mm
af	persian	m	m
af	persian	yyyyMd	d/M/y GGGGG
af	roc	Bhm	hh:mm B
af	roc	C	HH
af	roc	yMdE	E d/M/y G
ak	buddhist	CCCCm	h:mm aaaa
ak	buddhist	U	y
ak	chinese	C	h a
ak	chinese	yMMMMdhmsvvvv	r(U) MMMM d h:mm:ss a vvvv
ak	coptic	BBBB	BBBB
ak	coptic	CCCCCC	h aaaaa
ak	coptic	GGGG	GGGG
ak	coptic	GGyMd	GG y-MM-dd
ak	coptic	QQQQ	QQQQ
ak	coptic	jjjj	h aaaa
ak	coptic	yMd	y/M/d
ak	coptic	yQQQ	QQQ y
ak	coptic	yyyy	G y
ak	dangi	CCCCm	h:mm aaaa
ak	dangi	Cms	h:mm:ss a
ak	dangi	Jm	hh:mm
ak	dangi	MMM	LLL
ak	dangi	jjjjjjm	h:mm aaaaa
ak	dangi	jjm	h:mm a
ak	dangi	yMMMMEEEEd	r(U) MMMM d, EEEE
ak	ethiopic	GyMd	G y-MM-dd
ak	ethiopic	HmsS	HH:mm:ss.S
ak	gregorian	Cm	h:mm a
ak	gregorian	hms	h:mm:ss a
ak	gregorian	jjj	h aaaa
ak	gregorian	v	v
ak	hebrew	C	h a
ak	hebrew	GyMd	G y-MM-dd
ak	hebrew	HmsS	HH:mm:ss.S
ak	indian	CCC	h aaaa
ak	indian	G	G
ak	indian	yMdEEEEE	EEEEE, M/d/y
ak	islamic	GG	GG
ak	islamic	GGGGyMd	GGGG y-MM-dd
ak	islamic	QQ	QQ
ak	islamic	UUUU	G y
ak	islamic	hmsz	h:mm:ss a z
ak	islamic	hmszzzzz	h:mm:ss a zzzzz
ak	islamic	jj	h a
ak	islamic	yMdHmsv	y/M/d HH:mm:ss v
ak	islamic	yQ	QQQ y
ak	islamic	yy	yy
ak	islamic-civil	CCCm	h:mm aaaa
ak	islamic-civil	v	v
ak	islamic-rgsa	CCCCCm	h:mm aaaaa
ak	islamic-rgsa	Hms	HH:mm:ss
ak	islamic-rgsa	yMv	M/y v
ak	islamic-rgsa	z	z
ak	islamic-rgsa	zzz	zzz
ak	islamic-tbla	BBBBB	BBBBB
ak	islamic-tbla	CCCm	h:mm aaaa
ak	islamic-tbla	JJJ	hh
ak	islamic-tbla	JJJJJ	hh
ak	islamic-tbla	jjjjj	h aaaaa
ak	islamic-tbla	z	z
ak	islamic-tbla	zzzzz	zzzzz
ak	islamic-umalqura	BBBBBhm	h:mm BBBBB
ak	islamic-umalqura	BBBBhm	h:mm BBBB
ak	islamic-umalqura	CCC	h aaaa
ak	islamic-umalqura	hm	h:mm a
ak	islamic-umalqura	s	s
ak	islamic-umalqura	yMMMMdhmsvvvv	G y MMMM d h:mm:ss a vvvv
ak	japanese	CCm	h:mm a
ak	japanese	HHm	HH:mm
ak	japanese	JJJJJJm	hh:mm
ak	japanese	JJJm	hh:mm
ak	japanese	QQQ	QQQ
ak	japanese	jjjjjjm	h:mm aaaaa
ak	japanese	jjjjjm	h:mm aaaaa
ak	japanese	jm	h:mm a
ak	persian	GGGGyMd	GGGG y-MM-dd
ak	persian	H	HH
ak	persian	dd	dd
ak	persian	hmszzzzz	h:mm:ss a zzzzz
ak	persian	ss	ss
ak	persian	vvvv	vvvv
ak	persian	yMMM	MMM y
ak	persian	yMd	y/M/d
ak	persian	yMdEEEEEE	EEEEEE, M/d/y
ak	roc	CCCCCm	h:mm aaaaa
ak	roc	JJJ	hh
ak	roc	v	v
am	buddhist	BBBBBhm	h:mm BBBBB
am	buddhist	Bhm	h:mm B
am	buddhist	C	h B
am	buddhist	GGGyMd	M/d/y GGG
am	buddhist	Hm	HH:mm
am	buddhist	yMdE	E፣ d/M/y
am	chinese	E	ccc
am	chinese	m	m
am	chinese	yyMd	rr-MM-dd
am	coptic	CCCCCm	h:mm BBBBB
am	coptic	v	v
am	dangi	Bhm	h:mm B
am	dangi	CCCCC	h BBBBB
am	dangi	GGGGG	GGGGG
am	dangi	hm	h:mm a
am	dangi	yMdE	r-MM-dd, E
am	ethiopic	CCCCCCm	h:mm BBBBB
am	ethiopic	Jm	hh:mm
am	ethiopic	U	y
am	ethiopic	jjjjm	h:mm aaaa
am	ethiopic	jjjm	h:mm aaaa
am	ethiopic	yMM	MM/y
am	ethiopic	yyyyMd	GGGGG y-MM-dd
am	gregorian	EEEE	cccc
am	gregorian	GGyMd	d/M/y GG
am	gregorian	H	H
am	gregorian	JJJJ	h
am	gregorian	dd	dd
am	gregorian	hmszzzzz	h:mm:ss a zzzzz
am	gregorian	jjjjjj	aaaaa h
am	gregorian	ss	ss
am	gregorian	yMMMMM	MMMMM y
am	gregorian	yMdEEEEEE	EEEEEE፣ d/M/y
am	hebrew	CCCCCCm	h:mm BBBBB
am	hebrew	CCCCm	h:mm BBBB
am	hebrew	JJJJJJm	hh:mm
am	hebrew	M	L
am	indian	CCCCm	h:mm BBBB
am	indian	CCm	h:mm B
am	indian	HHm	HH:mm
am	indian	Q	Q
am	indian	QQQ	QQQ
am	indian	y	y
am	indian	yMMMMEEEEd	EEEE፣ MMMM d y
am	islamic	hms	h:mm:ss a
am	islamic	jjj	h aaaa
am	islamic	v	v
am	islamic-civil	BBBB	BBBB
am	islamic-civil	GGGG	GGGG
am	islamic-civil	QQQQ	QQQQ
am	islamic-civil	d	d
am	islamic-civil	dd	dd
am	islamic-civil	jjjj	h aaaa
am	islamic-civil	ss	ss
am	islamic-civil	yQQQ	QQQ y
am	islamic-civil	yyyy	G y
am	islamic-rgsa	CC	h B
am	islamic-rgsa	CCCC	h BBBB
am	islamic-rgsa	HH	HH
am	islamic-rgsa	MM	LL
am	islamic-rgsa	MMMM	LLLL
am	islamic-rgsa	d	d
am	islamic-rgsa	yMdEEEE	EEEE፣ d/M/y
am	islamic-rgsa	yMdEEEEEE	EEEEEE፣ d/M/y
am	islamic-rgsa	yMdd	dd/M/y
am	islamic-rgsa	zz	zz
am	islamic-rgsa	zzzz	zzzz
am	islamic-tbla	CC	h B
am	islamic-tbla	CCCCCC	h BBBBB
am	islamic-tbla	EEEE	cccc
am	islamic-tbla	GGyMd	M/d/y GG
am	islamic-tbla	HH	HH
am	islamic-tbla	JJJJ	h
am	islamic-tbla	MM	LL
am	islamic-tbla	d	d
am	islamic-tbla	yMd	d/M/y
am	islamic-tbla	yMdEEEE	EEEE፣ d/M/y
am	islamic-tbla	zz	zz
am	islamic-umalqura	CCm	h:mm B
am	islamic-umalqura	HHm	HH:mm
am	islamic-umalqura	QQQ	QQQ
am	islamic-umalqura	U	y
am	islamic-umalqura	yMMMM	MMMM y
am	islamic-umalqura	yMMMMEEEEd	EEEE፣ MMMM d y
am	islamic-umalqura	yyMd	d/M/yy
am	japanese	CCCCC	h BBBBB
am	japanese	GGG	GGG
am	japanese	GGGGG	GGGGG
am	japanese	s	s
am	japanese	yMMMMdhmsvvvv	d MMMM y h:mm:ss a vvvv
am	persian	J	h
am	persian	JJJ	h
am	persian	hmszzzz	h:mm:ss a zzzz
am	roc	EEEE	cccc
am	roc	JJJJ	h
am	roc	dd	dd
am	roc	hmm	h:mm a
am	roc	ss	ss
am	roc	vvvv	vvvv
am	roc	yMMM	MMM y
ar	coptic	C	h a
ar	coptic	GGGyMd	d‏/M‏/y GGG
ar	coptic	Hm	HH:mm
ar	coptic	hmss	h:mm:ss a
ar	dangi	B	B
ar	dangi	BBBBB	BBBBB
ar	dangi	JJJ	hh
ar	dangi	JJJJJ	hh
ar	dangi	j	h a
ar	dangi	jjjjj	h aaaaa
ar	dangi	zzzzz	zzzzz
ar	ethiopic	Bhh	hh B
ar	ethiopic	hmszz	h:mm:ss a zz
ar	hebrew	Bhh	hh B
ar	hebrew	z	z
ar	indian	hms	h:mm:ss a
ar	indian	hmszz	h:mm:ss a zz
ar	indian	jjj	h aaaa
ar	islamic	CCm	h:mm a
ar	islamic	EEEEE	ccccc
ar	islamic	HHm	HH:mm
ar	islamic	JJJJm	hh:mm
ar	islamic	MMMMM	LLLLL
ar	islamic	Q	Q
ar	islamic	QQQ	QQQ
ar	islamic	QQQQQ	QQQQQ
ar	islamic	y	y G
ar	islamic	yQQQQ	QQQQ y G
ar	islamic	yyMd	d‏/M‏/yy G
ar	islamic	yyyyMd	d‏/M‏/y G
ar	islamic-civil	BBBBhm	h:mm BBBB
ar	islamic-civil	C	h a
ar	islamic-civil	hm	h:mm a
ar	islamic-civil	yMMMMdv	d MMMM y G، v
ar	islamic-rgsa	CCCCCCm	h:mm aaaaa
ar	islamic-rgsa	U	y G
ar	islamic-rgsa	jjjjjm	h:mm aaaaa
ar	islamic-rgsa	jjjm	h:mm aaaa
ar	islamic-rgsa	yMM	MM‏/y G
ar	islamic-tbla	EEEEE	ccccc
ar	islamic-tbla	JJJJm	hh:mm
ar	islamic-tbla	JJm	hh:mm
ar	islamic-tbla	MMMMM	LLLLL
ar	islamic-tbla	QQQQQ	QQQQQ
ar	islamic-tbla	U	y G
ar	islamic-tbla	hhm	hh:mm a
ar	islamic-tbla	yQQQQ	QQQQ y G
ar	islamic-umalqura	CCCCCm	h:mm aaaaa
ar	persian	JJJm	hh:mm
ar	persian	JJm	hh:mm
ar	persian	M	L
ar	persian	hhm	hh:mm a
ar	persian	jjjjm	h:mm aaaa
ar	roc	BBBBhm	h:mm BBBB
ar	roc	C	h a
as	buddhist	CCCCm	h:mm aaaa
as	buddhist	CCm	h:mm a
as	buddhist	HHm	HH:mm
as	buddhist	JJJm	hh:mm
as	buddhist	QQQ	QQQ
as	buddhist	yyyyMd	dd-MM-y GGGGG
as	chinese	CCC	h aaaa
as	chinese	s	s
as	chinese	yMMMMdhmsvvvv	r(U) MMMM d h:mm:ss a vvvv
as	coptic	CCCCCC	h aaaaa
as	coptic	H	HH
as	coptic	UUUU	y G
as	coptic	dd	dd
as	coptic	hmsz	h:mm:ss a z
as	coptic	ss	ss
as	dangi	CCCCm	h:mm aaaa
as	dangi	Jm	hh:mm
as	dangi	yMM	r-MM
as	ethiopic	Bhm	B h:mm
as	ethiopic	G	G
as	ethiopic	yMMMMdhmsvvvv	d MMMM y G h:mm:ss a vvvv বজাত
as	gregorian	BBBBB	BBBBB
as	gregorian	Bhh	B hh
as	gregorian	J	hh
as	gregorian	JJJJJ	hh
as	gregorian	hmszzzz	a h:mm:ss zzzz
as	gregorian	jjjjj	aaaaa h
as	gregorian	zzzzz	zzzzz
as	hebrew	C	h a
as	hebrew	Hm	HH:mm
as	hebrew	yMdEEEEE	EEEEE, dd-MM-y GGGGG
as	indian	Bhm	B h:mm
as	indian	s	s
