locale	calendar	skeleton	pattern
af	gregorian	yMd	y-MM-dd
af	gregorian	yMMMMd	y MMMM d
af	gregorian	yMMMMEEEEd	y MMMM d, EEEE
af	gregorian	GyMd	G y-MM-dd
af	gregorian	HmsS	HH:mm:ss,S
af	gregorian	Cms	HH:mm:ss
af	gregorian	yMdHmsv	y-MM-dd HH:mm:ss v
af	gregorian	Bh	h B
af	gregorian	MMMM	LLLL
af	gregorian	jjm	HH:mm
af	japanese	yMd	d/M/y GGGGG
af	japanese	yMMMMd	d MMMM y G
af	japanese	yMMMMEEEEd	EEEE d MMMM y G
af	japanese	GyMd	M/d/y GGGGG
af	japanese	HmsS	HH:mm:ss,S
af	japanese	Cms	HH:mm:ss
af	japanese	yMdHmsv	d/M/y GGGGG HH:mm:ss v
af	japanese	Bh	h B
af	japanese	MMMM	LLLL
af	japanese	jjm	HH:mm
af	buddhist	yMd	d/M/y GGGGG
af	buddhist	yMMMMd	d MMMM y G
af	buddhist	yMMMMEEEEd	EEEE d MMMM y G
af	buddhist	GyMd	M/d/y GGGGG
af	buddhist	HmsS	HH:mm:ss,S
af	buddhist	Cms	HH:mm:ss
af	buddhist	yMdHmsv	d/M/y GGGGG HH:mm:ss v
af	buddhist	Bh	h B
af	buddhist	MMMM	LLLL
af	buddhist	jjm	HH:mm
af	chinese	yMd	r-MM-dd
af	chinese	yMMMMd	r(U) MMMM d
af	chinese	yMMMMEEEEd	r(U) MMMM d, EEEE
af	chinese	GyMd	r MMM d
af	chinese	HmsS	HH:mm:ss,S
af	chinese	Cms	HH:mm:ss
af	chinese	yMdHmsv	r-MM-dd HH:mm:ss v
af	chinese	Bh	h B
af	chinese	MMMM	LLLL
af	chinese	jjm	HH:mm
ak	gregorian	yMd	y/M/d
ak	gregorian	yMMMMd	y MMMM d
ak	gregorian	yMMMMEEEEd	y MMMM d, EEEE
ak	gregorian	GyMd	G y-MM-dd
ak	gregorian	HmsS	HH:mm:ss.S
ak	gregorian	Cms	h:mm:ss a
ak	gregorian	yMdHmsv	y/M/d, HH:mm:ss v
ak	gregorian	Bh	h B
ak	gregorian	MMMM	LLLL
ak	gregorian	jjm	h:mm a
ak	japanese	yMd	y/M/d
ak	japanese	yMMMMd	G y MMMM d
ak	japanese	yMMMMEEEEd	EEEE, MMMM d, y
ak	japanese	GyMd	G y-MM-dd
ak	japanese	HmsS	HH:mm:ss.S
ak	japanese	Cms	h:mm:ss a
ak	japanese	yMdHmsv	y/M/d HH:mm:ss v
ak	japanese	Bh	h B
ak	japanese	MMMM	LLLL
ak	japanese	jjm	h:mm a
ak	buddhist	yMd	y/M/d
ak	buddhist	yMMMMd	G y MMMM d
