locale=jv ; action=add ; new_path=3cead67f8ae5f035 ; new_value=Aghem
locale=jv ; action=add ; new_path=260fb6c0c0209dde ; new_value=Akan
locale=jv ; action=add ; new_path=915e508f496400f ; new_value=Amharik
locale=jv ; action=add ; new_path=3eadc7346e0f5a88 ; new_value=Assam
locale=jv ; action=add ; new_path=3a379e77aa91e890 ; new_value=Asu
locale=jv ; action=add ; new_path=712372f760f980ec ; new_value=Asturia
locale=jv ; action=add ; new_path=77492b7d377d4cdc ; new_value=Azerbaijan
locale=jv ; action=add ; new_path=700f7be0e77ae39b ; new_value=Azeri
locale=jv ; action=add ; new_path=363b4a1231433e8e ; new_value=Basaa
locale=jv ; action=add ; new_path=78131d73be3d98fc ; new_value=Bemba
locale=jv ; action=add ; new_path=32451966d1f7aef4 ; new_value=Bena
locale=jv ; action=add ; new_path=4043f9a38addbfa3 ; new_value=Bulgaria
locale=jv ; action=add ; new_path=6652c68f31a11fc2 ; new_value=Bambara
locale=jv ; action=add ; new_path=6b1ab5b44fce9439 ; new_value=Tibet
locale=jv ; action=add ; new_path=36bce4a589cda397 ; new_value=Breton
locale=jv ; action=add ; new_path=71bc62ac1e0cf095 ; new_value=Bodo
locale=jv ; action=add ; new_path=1c23cd54efee68be ; new_value=Katala
locale=jv ; action=add ; new_path=3f83d49e35c35b84 ; new_value=Chechen
locale=jv ; action=add ; new_path=54d2b8a6b397496b ; new_value=Cebuano
locale=jv ; action=add ; new_path=1c0523cb51571abf ; new_value=Chiga
locale=jv ; action=add ; new_path=542282d19f00853a ; new_value=Cherokee
locale=jv ; action=add ; new_path=50b99c1c6d99711a ; new_value=Kurdi Tengah
locale=jv ; action=add ; new_path=5554afc2db31ec ; new_value=Ceska
locale=jv ; action=add ; new_path=1b6a513bdd9366f6 ; new_value=Slavia Gerejani
locale=jv ; action=add ; new_path=18d077fb3707f076 ; new_value=Welsh
locale=jv ; action=add ; new_path=6e2cb9ff29966dd5 ; new_value=Dansk
locale=jv ; action=add ; new_path=7ced680afcd3ea58 ; new_value=Taita
locale=jv ; action=add ; new_path=6431e2cf519dbc25 ; new_value=Zarma
locale=jv ; action=add ; new_path=314ca97c10005996 ; new_value=Sorbia Non Standar
locale=jv ; action=add ; new_path=3e111437db578d13 ; new_value=Duala
locale=jv ; action=add ; new_path=6cf3b18334ed42b9 ; new_value=Jola-Fonyi
locale=jv ; action=add ; new_path=4638afb109d2a2a0 ; new_value=Dzongkha
locale=jv ; action=add ; new_path=30a457dd18d12da5 ; new_value=Embu
locale=jv ; action=add ; new_path=62714a048ae10b6d ; new_value=Ewe
locale=jv ; action=add ; new_path=53466a41920bfb38 ; new_value=Yunani
locale=jv ; action=add ; new_path=1e6d8bbd5bd099c3 ; new_value=Esperanto
locale=jv ; action=add ; new_path=29f87eb18dd7b2c4 ; new_value=Estonia
locale=jv ; action=add ; new_path=2f7241270abf74fe ; new_value=Basque
locale=jv ; action=add ; new_path=6ca47d28c298307c ; new_value=Ewondo
locale=jv ; action=add ; new_path=27ae477903db4cc5 ; new_value=Persia
locale=jv ; action=add ; new_path=7511a7ce7799fa0b ; new_value=Fulah
locale=jv ; action=add ; new_path=4ab3781d227fcc46 ; new_value=Suomi
locale=jv ; action=add ; new_path=c60c794b9117678 ; new_value=Tagalog
locale=jv ; action=add ; new_path=19d11638f3609fe2 ; new_value=Faroe
locale=jv ; action=add ; new_path=711d47cf80ab2975 ; new_value=Friulian
locale=jv ; action=add ; new_path=540b398996b10ce0 ; new_value=Frisia Sisih Kulon
locale=jv ; action=add ; new_path=22d9a449ce423c86 ; new_value=Irlandia
locale=jv ; action=add ; new_path=61d61eb1fac7334c ; new_value=Gaulia
locale=jv ; action=add ; new_path=58ff4884012bc33c ; new_value=Galisia
locale=jv ; action=add ; new_path=225d5b8bb41c393 ; new_value=Jerman Swiss
locale=jv ; action=add ; new_path=624d411afbecf6d0 ; new_value=Gujarat
locale=jv ; action=add ; new_path=75718153ac1fcffe ; new_value=Gusii
locale=jv ; action=add ; new_path=e593c3d7aae2b4c ; new_value=Manx
locale=jv ; action=add ; new_path=1bfed8354572ada7 ; new_value=Hausa
locale=jv ; action=add ; new_path=a3387025dca9a75 ; new_value=Hawaii
locale=jv ; action=add ; new_path=180597b3001bb512 ; new_value=Ibrani
locale=jv ; action=add ; new_path=3b393c95a6a52b4 ; new_value=Hmong
locale=jv ; action=add ; new_path=6d43fe9eadc50e89 ; new_value=Kroasia
locale=jv ; action=add ; new_path=6211129ff91d5c1a ; new_value=Sorbia Standar
locale=jv ; action=add ; new_path=272eed2d2ee6437c ; new_value=Kreol Haiti
locale=jv ; action=add ; new_path=5deafb1039de64ce ; new_value=Hungaria
