Abu Dhabi	 United Arab Emirates
Abuja	 Nigeria
Accra	 Ghana
Adamstown	 Pitcairn Islands
Addis Ababa	 Ethiopia
Algiers	 Algeria
Alofi	 Niue
Amman	 Jordan
Amsterdam	 Netherlands
Andorra la Vella	 Andorra
Ankara	 Turkey
Antananarivo	 Madagascar
Apia	 Samoa
Ashkhabad	 Turkmenistan
Asmara	 Eritrea
Astana	 Kazakhstan
Asunción	 Paraguay
Athens	 Greece
Avarua	 Cook Islands
Baghdad	 Iraq
Baku	 Azerbaijan
Bamako	 Mali
Bandar Seri Begawan	 Brunei
Bangkok	 Thailand
Bangui	 Central African Republic
Banjul	 Gambia
Basseterre	 Saint Kitts and Nevis
Beijing	 China
Beirut	 Lebanon
Belgrade	 Serbia
Belmopan	 Belize
Berlin	 Germany
Bern	  Switzerland
Bishkek	 Kyrgyzstan
Bissau	 Guinea-Bissau
Bogotá	 Colombia
Brasília	 Brazil
Bratislava	 Slovakia
Brazzaville	 Republic of the Congo
Bridgetown	 Barbados
Brussels	 Belgium
Bucharest	 Romania
Budapest	 Hungary
Buenos Aires	 Argentina
Bujumbura	 Burundi
Cairo	 Egypt
Canberra	 Australia
Caracas	 Venezuela
Castries	 Saint Lucia
Cayenne	 French Guiana
Charlotte Amalie	 United States Virgin Islands
Chisinau	 Moldova
Cockburn Town	 Turks and Caicos Islands
Conakry	 Guinea
Copenhagen	 Denmark
Dakar	 Senegal
Damascus	 Syria
Dhaka	 Bangladesh
Dili	 Timor-Leste
Djibouti	 Djibouti
Dodoma	 Tanzania
Doha	 Qatar
Douglas	 Isle of Man
Dublin	 Ireland
Dushanbe	 Tajikistan
Edinburgh of the Seven Seas	 Tristan da Cunha
Episkopi Cantonment	 Akrotiri and Dhekelia
Flying Fish Cove	 Christmas Island
Freetown	 Sierra Leone
Funafuti	 Tuvalu
Gaborone	 Botswana
George Town	 Cayman Islands
Georgetown	 Ascension Island
Georgetown	 Guyana
Gibraltar	 Gibraltar
Grytviken	 South Georgia and the South Sandwich Islands
Guatemala City	 Guatemala
Gustavia	 Saint Barthélemy
Hagåtña	 Guam
Hamilton	 Bermuda
Hanga Roa	 Easter Island
Hanoi	 Vietnam
Harare	 Zimbabwe
Hargeisa	 Somaliland
Havana	 Cuba
Helsinki	 Finland
Honiara	 Solomon Islands
Islamabad	 Pakistan
Jakarta	 Indonesia
Jamestown	 Saint Helena
Jerusalem	 Israel
Ramallah and Gaza	 State of Palestine
Juba	 South Sudan
Kabul	 Afghanistan
Kampala	 Uganda
Kathmandu	   Nepal
Khartoum	 Sudan
Kiev	 Ukraine
Kigali	 Rwanda
Kingston	 Jamaica
Kingston	 Norfolk Island
Kingstown	 Saint Vincent and the Grenadines
Kinshasa	 Democratic Republic of the Congo
Kuala Lumpur	 Malaysia
Kuwait City	 Kuwait
Libreville	 Gabon
Lilongwe	 Malawi
Lima	Peru
Lisbon	 Portugal
Ljubljana	 Slovenia
Lomé	 Togo
London	 United Kingdom
Luanda	 Angola
Lusaka	 Zambia
Luxembourg	 Luxembourg
Madrid	 Spain
Majuro	 Marshall Islands
Malabo	 Equatorial Guinea
Malé	 Maldives
Managua	 Nicaragua
Manama	 Bahrain
Manila	 Philippines
Maputo	 Mozambique
Marigot	 Saint Martin
Maseru	 Lesotho
Mata-Utu	 Wallis and Futuna
Mbabane	 Swaziland
Ngerulmud	 Palau
Mexico City	 Mexico
Minsk	 Belarus
Mogadishu	 Somalia
Monaco	 Monaco
Monrovia	 Liberia
Montevideo	 Uruguay
Moroni	 Comoros
Moscow	 Russia
Muscat	 Oman
Nairobi	 Kenya
Nassau	 Bahamas
Naypyidaw	 Burma
N'Djamena	 Chad
New Delhi	 India
Niamey	 Niger
Nicosia	 Cyprus
Nicosia	 Northern Cyprus
Nouakchott	 Mauritania
Nouméa	 New Caledonia
Nukuʻalofa	 Tonga
Nuuk	 Greenland
Oranjestad	 Aruba
Oslo	 Norway
Ottawa	 Canada
Ouagadougou	 Burkina Faso
Pago Pago	 American Samoa
Palikir	 Federated States of Micronesia
Panama City	 Panama
Papeete	 French Polynesia
Paramaribo	 Suriname
Paris	 France
Philipsburg	 Sint Maarten
Phnom Penh	 Cambodia
Brades Estate	 Montserrat
Podgorica	 Montenegro
Port Louis	 Mauritius
Port Moresby	 Papua New Guinea
Port Vila	 Vanuatu
Port-au-Prince	 Haiti
Port of Spain	 Trinidad and Tobago
Cotonou	 Benin
Prague	 Czech Republic
Praia	 Cape Verde
Pretoria	 South Africa
Pristina	 Kosovo
Pyongyang	 North Korea
Quito	 Ecuador
Rabat	 Morocco
Reykjavík	 Iceland
Riga	 Latvia
Riyadh	 Saudi Arabia
Road Town	 British Virgin Islands
Rome	 Italy
Roseau	 Dominica
Saipan	 Northern Mariana Islands
San José	 Costa Rica
San Juan	 Puerto Rico
San Marino	 San Marino
San Salvador	 El Salvador
Sana'a	 Yemen
Santiago	 Chile
Santo Domingo	 Dominican Republic
São Tomé	 São Tomé and Príncipe
Sarajevo	 Bosnia and Herzegovina
Seoul	 South Korea
Singapore	 Singapore
Skopje	 Macedonia
Sofia	 Bulgaria
Sri Jayawardenepura Kotte	 Sri Lanka
St. George's	 Grenada
St. Helier	 Jersey
St. John's	 Antigua and Barbuda
St. Peter Port	 Guernsey
St. Pierre	 Saint Pierre and Miquelon
Stanley	 Falkland Islands
Stepanakert	 Nagorno-Karabakh Republic
Stockholm	 Sweden
La Paz	 Bolivia
Sukhumi	 Abkhazia
Suva	 Fiji
Taipei	 Taiwan
Tallinn	 Estonia
Tarawa	 Kiribati
Tashkent	 Uzbekistan
Tbilisi	 Georgia
Tegucigalpa	 Honduras
