Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,20130327,20284307,21378117,22733049,23560654,24404567,25424094,25909852,26482622,27466101,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492,43844111
Afghanistan,AFG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,15864189721.7541,15224554096.6723,20123047323.9537,22278932459.8335,23184760643.2096,26587457905.2075,29047794273.4873,33788985658.8879,35313783776.8727,43009573651.5262,50028298434.7102,51116377179.4871,60931092223.9816,67669597049.6616,73169249312.8305,77739868999.5339,77790300893.8725,84288052074.0782,90563706789.4257,99263716985.9417,100842500976.582,86285361406.7876,86390860386.6555,91785604089.2035,95777311957.0149,..
Albania,ALB,"Population, total",SP.POP.TOTL,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2860708,2816902,2773767,2731293,2689469,2648285,2607733,2567801,2528480,2489762,2451636,2411658,2377128,2349580
Albania,ALB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,12646245987.9846,14042083060.5684,15124887062.2764,16120057147.5647,17322255555.9567,18467464907.8968,20787510495.8572,23130407650.4765,25083488950.6145,26024009008.3592,28135098512.0321,29855395065.3598,30121295248.203,31180783009.3242,32994925406.7245,34229964839.0322,35677556946.1048,37458817986.7081,39215945527.7411,41673142612.5849,40507857600.1072,44716889223.2177,53331216101.2034,59163175573.7554,62983719349.186,66180593569.155
Algeria,DZA,"Population, total",SP.POP.TOTL,30903893,31331221,31750835,32175818,32628286,33109249,33623506,34189416,34816961,35490445,36188236,36903376,37646166,38414171,39205031,40019529,40850721,41689299,42505035,43294546,44042091,44761099,45477389,46164219,46814308,47435312
Algeria,DZA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,270969277248.438,290980239996.101,308647302999.039,335974932266.294,358731640787.695,388091365329.823,414635348538.446,449937338158.161,472556861555.812,480773540054.85,513685333401.144,535948921230.911,538443804097.457,543013544899.97,565280032550.007,541233810012.029,545393972006.106,556023170169.916,570984006976.819,589311312706.742,549034369411.233,636203327641.136,703281061758.231,766089120032.63,810478199033.9,864985687661.687
American Samoa,ASM,"Population, total",SP.POP.TOTL,56855,57053,57062,56971,56818,56617,56374,56113,55828,55528,55228,54895,54489,54006,53466,52878,52245,51586,50908,50209,49761,49225,48342,47521,46765,46029
American Samoa,ASM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,65685,65852,66506,69486,74325,77421,79585,81877,83495,83888,80706,77783,76834,75194,73737,72174,72181,73763,75162,76474,77380,78364,79705,80856,81938,82904
Andorra,AND,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4823305038.27554,4557689143.53922,5001807986.47795,5691345967.53543,6008379253.99836,6272341250.55784,6710953287.24858
