# From https://www.nist.gov/pml/special-publication-811/nist-guide-si-chapter-4-two-classes-si-units-and-si-prefixes
#Quantity	Special Name	Special symbol	Expression in terms of other SI units	Expression in terms of SI base units
# Fixed newton, etc to have consistent unit ordering, kg · m
# Fixed Cd to be cd
plane angle          	radian(b)	rad	1(b)	m/m
solid angle	steradian(b)	sr(c)	1(b)	m2/m2
frequency	hertz(d)	Hz	 	s-1
force	newton	N	 	kg · m · s-2
pressure, stress	pascal	Pa	N/m2	m-1 · kg · s-2
energy, work, amount of heat	joule	J	N · m	kg · m2 · s-2
power, radiant flux	watt	W	J/s	kg · m2 · s-3
electric charge, amount of electricity	coulomb	C	 	s · A
electric potential difference(e), electromotive force	volt	V	W/A	kg · m2 · s-3 · A-1
capacitance	farad	F	C/V	kg-1 · m-2 · s4 · A2
electric resistance	ohm	Ω	V/A	kg · m2 · s-3 · A-2
electric conductance	siemens	S	A/V	kg-1 · m-2 · s3 · A2
magnetic flux	weber	Wb	V · s	kg · m2 · s-2 · A-1
magnetic flux density	tesla	T	Wb/m2	kg · s-2 · A-1
inductance	henry	H	Wb/A	kg · m2 · s-2 · A-2
Celsius temperature	degree Celsius (f)	°C	 	K
luminous flux	lumen	lm	cd · sr(c)	cd
illuminance	lux	lx	lm/m2	m-2· cd
activity referred to a radionuclide(g)	becquerel(d)	Bq	 	s-1
absorbed dose, specific energy (imparted), kerma	gray	Gy	J/kg	m2· s-2
dose equivalent, ambient dose equivalent, directional dose equivalent, personal dose equivalent	sievert (h)	Sv	J/kg	m2· s-2
catalytic activity	katal	kat	 	s-1· mol
