locale	currency	currency_format_length	currency_display	input	expected
af	USD	accounting	symbol	0.0	USD 0,00
af	USD	accounting	symbol	1.2	USD 1,20
af	USD	accounting	symbol	0.00831765	USD 0,01
af	USD	accounting	symbol	1234565.0	USD 1 234 565,00
af	USD	accounting	symbol	-1230.05	(USD 1 230,05)
af	EUR	accounting	symbol	0.0	€0,00
af	EUR	accounting	symbol	1.2	€1,20
af	EUR	accounting	symbol	0.00831765	€0,01
af	EUR	accounting	symbol	1234565.0	€1 234 565,00
af	EUR	accounting	symbol	-1230.05	(€1 230,05)
af	JPY	accounting	symbol	0.0	JP¥0
af	JPY	accounting	symbol	1.2	JP¥1
af	JPY	accounting	symbol	0.00831765	JP¥0
af	JPY	accounting	symbol	1234565.0	JP¥1 234 565
af	JPY	accounting	symbol	-1230.05	(JP¥1 230)
af	RUB	accounting	symbol	0.0	RUB 0,00
af	RUB	accounting	symbol	1.2	RUB 1,20
af	RUB	accounting	symbol	0.00831765	RUB 0,01
af	RUB	accounting	symbol	1234565.0	RUB 1 234 565,00
af	RUB	accounting	symbol	-1230.05	(RUB 1 230,05)
af	EGP	accounting	symbol	0.0	EGP 0,00
af	EGP	accounting	symbol	1.2	EGP 1,20
af	EGP	accounting	symbol	0.00831765	EGP 0,01
af	EGP	accounting	symbol	1234565.0	EGP 1 234 565,00
af	EGP	accounting	symbol	-1230.05	(EGP 1 230,05)
af		accounting	symbol	0.0	0
af		accounting	symbol	1.2	1,2
af		accounting	symbol	0.00831765	0,008318
af		accounting	symbol	1234565.0	1 234 565
af		accounting	symbol	-1230.05	-1 230,05
am	USD	accounting	symbol	0.0	US$0.00
am	USD	accounting	symbol	1.2	US$1.20
am	USD	accounting	symbol	0.00831765	US$0.01
am	USD	accounting	symbol	1234565.0	US$1,234,565.00
am	USD	accounting	symbol	-1230.05	(US$1,230.05)
am	EUR	accounting	symbol	0.0	€0.00
am	EUR	accounting	symbol	1.2	€1.20
am	EUR	accounting	symbol	0.00831765	€0.01
am	EUR	accounting	symbol	1234565.0	€1,234,565.00
am	EUR	accounting	symbol	-1230.05	(€1,230.05)
am	JPY	accounting	symbol	0.0	JP¥0
am	JPY	accounting	symbol	1.2	JP¥1
am	JPY	accounting	symbol	0.00831765	JP¥0
am	JPY	accounting	symbol	1234565.0	JP¥1,234,565
am	JPY	accounting	symbol	-1230.05	(JP¥1,230)
