locale	currency	currency_format_length	currency_display	input	expected
ar	AED	accounting	symbol	0.0	؜0.00 د.إ.‏
ar	AED	accounting	symbol	1.2	؜1.20 د.إ.‏
ar	AED	accounting	symbol	0.00831765	؜0.01 د.إ.‏
ar	AED	accounting	symbol	1234565.0	؜1,234,565.00 د.إ.‏
ar	AED	accounting	symbol	-1230.05	(؜1,230.05 د.إ.‏)
ar	AFN	accounting	symbol	0.0	؜0 AFN
ar	AFN	accounting	symbol	1.2	؜1 AFN
ar	AFN	accounting	symbol	0.00831765	؜0 AFN
ar	AFN	accounting	symbol	1234565.0	؜1,234,565 AFN
ar	AFN	accounting	symbol	-1230.05	(؜1,230 AFN)
ar	ALL	accounting	symbol	0.0	؜0 ALL
ar	ALL	accounting	symbol	1.2	؜1 ALL
ar	ALL	accounting	symbol	0.00831765	؜0 ALL
ar	ALL	accounting	symbol	1234565.0	؜1,234,565 ALL
ar	ALL	accounting	symbol	-1230.05	(؜1,230 ALL)
ar	AMD	accounting	symbol	0.0	؜0.00 AMD
ar	AMD	accounting	symbol	1.2	؜1.20 AMD
ar	AMD	accounting	symbol	0.00831765	؜0.01 AMD
ar	AMD	accounting	symbol	1234565.0	؜1,234,565.00 AMD
ar	AMD	accounting	symbol	-1230.05	(؜1,230.05 AMD)
ar	AOA	accounting	symbol	0.0	؜0.00 AOA
ar	AOA	accounting	symbol	1.2	؜1.20 AOA
ar	AOA	accounting	symbol	0.00831765	؜0.01 AOA
ar	AOA	accounting	symbol	1234565.0	؜1,234,565.00 AOA
ar	AOA	accounting	symbol	-1230.05	(؜1,230.05 AOA)
ar	ARS	accounting	symbol	0.0	؜0.00 ARS
ar	ARS	accounting	symbol	1.2	؜1.20 ARS
ar	ARS	accounting	symbol	0.00831765	؜0.01 ARS
ar	ARS	accounting	symbol	1234565.0	؜1,234,565.00 ARS
ar	ARS	accounting	symbol	-1230.05	(؜1,230.05 ARS)
ar	AUD	accounting	symbol	0.0	؜0.00 AU$
ar	AUD	accounting	symbol	1.2	؜1.20 AU$
ar	AUD	accounting	symbol	0.00831765	؜0.01 AU$
ar	AUD	accounting	symbol	1234565.0	؜1,234,565.00 AU$
ar	AUD	accounting	symbol	-1230.05	(؜1,230.05 AU$)
ar	AWG	accounting	symbol	0.0	؜0.00 AWG
ar	AWG	accounting	symbol	1.2	؜1.20 AWG
ar	AWG	accounting	symbol	0.00831765	؜0.01 AWG
ar	AWG	accounting	symbol	1234565.0	؜1,234,565.00 AWG
ar	AWG	accounting	symbol	-1230.05	(؜1,230.05 AWG)
ar	AZN	accounting	symbol	0.0	؜0.00 AZN
ar	AZN	accounting	symbol	1.2	؜1.20 AZN
ar	AZN	accounting	symbol	0.00831765	؜0.01 AZN
ar	AZN	accounting	symbol	1234565.0	؜1,234,565.00 AZN
ar	AZN	accounting	symbol	-1230.05	(؜1,230.05 AZN)
ar	BAM	accounting	symbol	0.0	؜0.00 BAM
ar	BAM	accounting	symbol	1.2	؜1.20 BAM
ar	BAM	accounting	symbol	0.00831765	؜0.01 BAM
ar	BAM	accounting	symbol	1234565.0	؜1,234,565.00 BAM
ar	BAM	accounting	symbol	-1230.05	(؜1,230.05 BAM)
ar	BBD	accounting	symbol	0.0	؜0.00 BBD
ar	BBD	accounting	symbol	1.2	؜1.20 BBD
ar	BBD	accounting	symbol	0.00831765	؜0.01 BBD
ar	BBD	accounting	symbol	1234565.0	؜1,234,565.00 BBD
ar	BBD	accounting	symbol	-1230.05	(؜1,230.05 BBD)
ar	BDT	accounting	symbol	0.0	؜0.00 BDT
ar	BDT	accounting	symbol	1.2	؜1.20 BDT
ar	BDT	accounting	symbol	0.00831765	؜0.01 BDT
ar	BDT	accounting	symbol	1234565.0	؜1,234,565.00 BDT
ar	BDT	accounting	symbol	-1230.05	(؜1,230.05 BDT)
ar	BHD	accounting	symbol	0.0	؜0.000 د.ب.‏
ar	BHD	accounting	symbol	1.2	؜1.200 د.ب.‏
ar	BHD	accounting	symbol	0.00831765	؜0.008 د.ب.‏
ar	BHD	accounting	symbol	1234565.0	؜1,234,565.000 د.ب.‏
ar	BHD	accounting	symbol	-1230.05	(؜1,230.050 د.ب.‏)
ar	BIF	accounting	symbol	0.0	؜0 BIF
ar	BIF	accounting	symbol	1.2	؜1 BIF
ar	BIF	accounting	symbol	0.00831765	؜0 BIF
ar	BIF	accounting	symbol	1234565.0	؜1,234,565 BIF
ar	BIF	accounting	symbol	-1230.05	(؜1,230 BIF)
ar	BMD	accounting	symbol	0.0	؜0.00 BMD
ar	BMD	accounting	symbol	1.2	؜1.20 BMD
ar	BMD	accounting	symbol	0.00831765	؜0.01 BMD
ar	BMD	accounting	symbol	1234565.0	؜1,234,565.00 BMD
ar	BMD	accounting	symbol	-1230.05	(؜1,230.05 BMD)
ar	BND	accounting	symbol	0.0	؜0.00 BND
ar	BND	accounting	symbol	1.2	؜1.20 BND
ar	BND	accounting	symbol	0.00831765	؜0.01 BND
ar	BND	accounting	symbol	1234565.0	؜1,234,565.00 BND
ar	BND	accounting	symbol	-1230.05	(؜1,230.05 BND)
ar	BOB	accounting	symbol	0.0	؜0.00 BOB
ar	BOB	accounting	symbol	1.2	؜1.20 BOB
ar	BOB	accounting	symbol	0.00831765	؜0.01 BOB
ar	BOB	accounting	symbol	1234565.0	؜1,234,565.00 BOB
ar	BOB	accounting	symbol	-1230.05	(؜1,230.05 BOB)
ar	BRL	accounting	symbol	0.0	؜0.00 R$
ar	BRL	accounting	symbol	1.2	؜1.20 R$
ar	BRL	accounting	symbol	0.00831765	؜0.01 R$
ar	BRL	accounting	symbol	1234565.0	؜1,234,565.00 R$
ar	BRL	accounting	symbol	-1230.05	(؜1,230.05 R$)
ar	BSD	accounting	symbol	0.0	؜0.00 BSD
ar	BSD	accounting	symbol	1.2	؜1.20 BSD
ar	BSD	accounting	symbol	0.00831765	؜0.01 BSD
ar	BSD	accounting	symbol	1234565.0	؜1,234,565.00 BSD
ar	BSD	accounting	symbol	-1230.05	(؜1,230.05 BSD)
ar	BTN	accounting	symbol	0.0	؜0.00 BTN
ar	BTN	accounting	symbol	1.2	؜1.20 BTN
ar	BTN	accounting	symbol	0.00831765	؜0.01 BTN
ar	BTN	accounting	symbol	1234565.0	؜1,234,565.00 BTN
ar	BTN	accounting	symbol	-1230.05	(؜1,230.05 BTN)
ar	BWP	accounting	symbol	0.0	؜0.00 BWP
ar	BWP	accounting	symbol	1.2	؜1.20 BWP
ar	BWP	accounting	symbol	0.00831765	؜0.01 BWP
ar	BWP	accounting	symbol	1234565.0	؜1,234,565.00 BWP
ar	BWP	accounting	symbol	-1230.05	(؜1,230.05 BWP)
ar	BYN	accounting	symbol	0.0	؜0.00 BYN
ar	BYN	accounting	symbol	1.2	؜1.20 BYN
ar	BYN	accounting	symbol	0.00831765	؜0.01 BYN
ar	BYN	accounting	symbol	1234565.0	؜1,234,565.00 BYN
ar	BYN	accounting	symbol	-1230.05	(؜1,230.05 BYN)
ar	BZD	accounting	symbol	0.0	؜0.00 BZD
ar	BZD	accounting	symbol	1.2	؜1.20 BZD
ar	BZD	accounting	symbol	0.00831765	؜0.01 BZD
ar	BZD	accounting	symbol	1234565.0	؜1,234,565.00 BZD
ar	BZD	accounting	symbol	-1230.05	(؜1,230.05 BZD)
ar	CAD	accounting	symbol	0.0	؜0.00 CA$
ar	CAD	accounting	symbol	1.2	؜1.20 CA$
ar	CAD	accounting	symbol	0.00831765	؜0.01 CA$
ar	CAD	accounting	symbol	1234565.0	؜1,234,565.00 CA$
ar	CAD	accounting	symbol	-1230.05	(؜1,230.05 CA$)
ar	CDF	accounting	symbol	0.0	؜0.00 CDF
ar	CDF	accounting	symbol	1.2	؜1.20 CDF
ar	CDF	accounting	symbol	0.00831765	؜0.01 CDF
ar	CDF	accounting	symbol	1234565.0	؜1,234,565.00 CDF
ar	CDF	accounting	symbol	-1230.05	(؜1,230.05 CDF)
ar	CHF	accounting	symbol	0.0	؜0.00 CHF
ar	CHF	accounting	symbol	1.2	؜1.20 CHF
ar	CHF	accounting	symbol	0.00831765	؜0.01 CHF
ar	CHF	accounting	symbol	1234565.0	؜1,234,565.00 CHF
ar	CHF	accounting	symbol	-1230.05	(؜1,230.05 CHF)
ar	CLP	accounting	symbol	0.0	؜0 CLP
ar	CLP	accounting	symbol	1.2	؜1 CLP
ar	CLP	accounting	symbol	0.00831765	؜0 CLP
ar	CLP	accounting	symbol	1234565.0	؜1,234,565 CLP
ar	CLP	accounting	symbol	-1230.05	(؜1,230 CLP)
ar	CNY	accounting	symbol	0.0	؜0.00 CN¥
ar	CNY	accounting	symbol	1.2	؜1.20 CN¥
ar	CNY	accounting	symbol	0.00831765	؜0.01 CN¥
ar	CNY	accounting	symbol	1234565.0	؜1,234,565.00 CN¥
ar	CNY	accounting	symbol	-1230.05	(؜1,230.05 CN¥)
ar	COP	accounting	symbol	0.0	؜0 COP
ar	COP	accounting	symbol	1.2	؜1 COP
ar	COP	accounting	symbol	0.00831765	؜0 COP
ar	COP	accounting	symbol	1234565.0	؜1,234,565 COP
ar	COP	accounting	symbol	-1230.05	(؜1,230 COP)
ar	CRC	accounting	symbol	0.0	؜0.00 CRC
ar	CRC	accounting	symbol	1.2	؜1.20 CRC
ar	CRC	accounting	symbol	0.00831765	؜0.01 CRC
ar	CRC	accounting	symbol	1234565.0	؜1,234,565.00 CRC
ar	CRC	accounting	symbol	-1230.05	(؜1,230.05 CRC)
ar	CUP	accounting	symbol	0.0	؜0.00 CUP
ar	CUP	accounting	symbol	1.2	؜1.20 CUP
ar	CUP	accounting	symbol	0.00831765	؜0.01 CUP
ar	CUP	accounting	symbol	1234565.0	؜1,234,565.00 CUP
ar	CUP	accounting	symbol	-1230.05	(؜1,230.05 CUP)
ar	CVE	accounting	symbol	0.0	؜0.00 CVE
ar	CVE	accounting	symbol	1.2	؜1.20 CVE
ar	CVE	accounting	symbol	0.00831765	؜0.01 CVE
ar	CVE	accounting	symbol	1234565.0	؜1,234,565.00 CVE
ar	CVE	accounting	symbol	-1230.05	(؜1,230.05 CVE)
ar	CZK	accounting	symbol	0.0	؜0.00 CZK
ar	CZK	accounting	symbol	1.2	؜1.20 CZK
ar	CZK	accounting	symbol	0.00831765	؜0.01 CZK
ar	CZK	accounting	symbol	1234565.0	؜1,234,565.00 CZK
ar	CZK	accounting	symbol	-1230.05	(؜1,230.05 CZK)
ar	DJF	accounting	symbol	0.0	؜0 DJF
ar	DJF	accounting	symbol	1.2	؜1 DJF
ar	DJF	accounting	symbol	0.00831765	؜0 DJF
ar	DJF	accounting	symbol	1234565.0	؜1,234,565 DJF
ar	DJF	accounting	symbol	-1230.05	(؜1,230 DJF)
ar	DKK	accounting	symbol	0.0	؜0.00 DKK
ar	DKK	accounting	symbol	1.2	؜1.20 DKK
ar	DKK	accounting	symbol	0.00831765	؜0.01 DKK
ar	DKK	accounting	symbol	1234565.0	؜1,234,565.00 DKK
ar	DKK	accounting	symbol	-1230.05	(؜1,230.05 DKK)
ar	DOP	accounting	symbol	0.0	؜0.00 DOP
ar	DOP	accounting	symbol	1.2	؜1.20 DOP
ar	DOP	accounting	symbol	0.00831765	؜0.01 DOP
ar	DOP	accounting	symbol	1234565.0	؜1,234,565.00 DOP
ar	DOP	accounting	symbol	-1230.05	(؜1,230.05 DOP)
ar	DZD	accounting	symbol	0.0	؜0.00 د.ج.‏
ar	DZD	accounting	symbol	1.2	؜1.20 د.ج.‏
ar	DZD	accounting	symbol	0.00831765	؜0.01 د.ج.‏
ar	DZD	accounting	symbol	1234565.0	؜1,234,565.00 د.ج.‏
ar	DZD	accounting	symbol	-1230.05	(؜1,230.05 د.ج.‏)
ar	ERN	accounting	symbol	0.0	؜0.00 ERN
ar	ERN	accounting	symbol	1.2	؜1.20 ERN
ar	ERN	accounting	symbol	0.00831765	؜0.01 ERN
ar	ERN	accounting	symbol	1234565.0	؜1,234,565.00 ERN
ar	ERN	accounting	symbol	-1230.05	(؜1,230.05 ERN)
ar	ETB	accounting	symbol	0.0	؜0.00 ETB
ar	ETB	accounting	symbol	1.2	؜1.20 ETB
ar	ETB	accounting	symbol	0.00831765	؜0.01 ETB
ar	ETB	accounting	symbol	1234565.0	؜1,234,565.00 ETB
ar	ETB	accounting	symbol	-1230.05	(؜1,230.05 ETB)
ar	FJD	accounting	symbol	0.0	؜0.00 FJD
ar	FJD	accounting	symbol	1.2	؜1.20 FJD
ar	FJD	accounting	symbol	0.00831765	؜0.01 FJD
ar	FJD	accounting	symbol	1234565.0	؜1,234,565.00 FJD
ar	FJD	accounting	symbol	-1230.05	(؜1,230.05 FJD)
ar	FKP	accounting	symbol	0.0	؜0.00 FKP
ar	FKP	accounting	symbol	1.2	؜1.20 FKP
ar	FKP	accounting	symbol	0.00831765	؜0.01 FKP
ar	FKP	accounting	symbol	1234565.0	؜1,234,565.00 FKP
ar	FKP	accounting	symbol	-1230.05	(؜1,230.05 FKP)
ar	GBP	accounting	symbol	0.0	؜0.00 UK£
ar	GBP	accounting	symbol	1.2	؜1.20 UK£
ar	GBP	accounting	symbol	0.00831765	؜0.01 UK£
ar	GBP	accounting	symbol	1234565.0	؜1,234,565.00 UK£
ar	GBP	accounting	symbol	-1230.05	(؜1,230.05 UK£)
ar	GEL	accounting	symbol	0.0	؜0.00 GEL
ar	GEL	accounting	symbol	1.2	؜1.20 GEL
ar	GEL	accounting	symbol	0.00831765	؜0.01 GEL
ar	GEL	accounting	symbol	1234565.0	؜1,234,565.00 GEL
ar	GEL	accounting	symbol	-1230.05	(؜1,230.05 GEL)
ar	GHS	accounting	symbol	0.0	؜0.00 GHS
ar	GHS	accounting	symbol	1.2	؜1.20 GHS
ar	GHS	accounting	symbol	0.00831765	؜0.01 GHS
ar	GHS	accounting	symbol	1234565.0	؜1,234,565.00 GHS
ar	GHS	accounting	symbol	-1230.05	(؜1,230.05 GHS)
ar	GIP	accounting	symbol	0.0	؜0.00 GIP
ar	GIP	accounting	symbol	1.2	؜1.20 GIP
ar	GIP	accounting	symbol	0.00831765	؜0.01 GIP
ar	GIP	accounting	symbol	1234565.0	؜1,234,565.00 GIP
ar	GIP	accounting	symbol	-1230.05	(؜1,230.05 GIP)
ar	GMD	accounting	symbol	0.0	؜0.00 GMD
ar	GMD	accounting	symbol	1.2	؜1.20 GMD
ar	GMD	accounting	symbol	0.00831765	؜0.01 GMD
ar	GMD	accounting	symbol	1234565.0	؜1,234,565.00 GMD
ar	GMD	accounting	symbol	-1230.05	(؜1,230.05 GMD)
ar	GNF	accounting	symbol	0.0	؜0 GNF
ar	GNF	accounting	symbol	1.2	؜1 GNF
ar	GNF	accounting	symbol	0.00831765	؜0 GNF
ar	GNF	accounting	symbol	1234565.0	؜1,234,565 GNF
ar	GNF	accounting	symbol	-1230.05	(؜1,230 GNF)
ar	GTQ	accounting	symbol	0.0	؜0.00 GTQ
ar	GTQ	accounting	symbol	1.2	؜1.20 GTQ
ar	GTQ	accounting	symbol	0.00831765	؜0.01 GTQ
ar	GTQ	accounting	symbol	1234565.0	؜1,234,565.00 GTQ
ar	GTQ	accounting	symbol	-1230.05	(؜1,230.05 GTQ)
ar	GYD	accounting	symbol	0.0	؜0.00 GYD
ar	GYD	accounting	symbol	1.2	؜1.20 GYD
ar	GYD	accounting	symbol	0.00831765	؜0.01 GYD
ar	GYD	accounting	symbol	1234565.0	؜1,234,565.00 GYD
ar	GYD	accounting	symbol	-1230.05	(؜1,230.05 GYD)
ar	HKD	accounting	symbol	0.0	؜0.00 HK$
ar	HKD	accounting	symbol	1.2	؜1.20 HK$
ar	HKD	accounting	symbol	0.00831765	؜0.01 HK$
ar	HKD	accounting	symbol	1234565.0	؜1,234,565.00 HK$
ar	HKD	accounting	symbol	-1230.05	(؜1,230.05 HK$)
ar	HNL	accounting	symbol	0.0	؜0.00 HNL
ar	HNL	accounting	symbol	1.2	؜1.20 HNL
ar	HNL	accounting	symbol	0.00831765	؜0.01 HNL
ar	HNL	accounting	symbol	1234565.0	؜1,234,565.00 HNL
