locale	currency	currency_format	value_format_length	currency_display	input	expected
ar	AED	standard	decimal	symbol	0.0	‏0.00 د.إ.‏
ar	AED	standard	decimal	symbol	1.2	‏1.20 د.إ.‏
ar	AED	standard	decimal	symbol	0.00831765	‏0.01 د.إ.‏
ar	AED	standard	decimal	symbol	1234565.0	‏1,234,565.00 د.إ.‏
ar	AED	standard	decimal	symbol	-1230.05	‏‎-1,230.05 د.إ.‏
ar	AED	standard	compact-short	symbol	0.0	‏0 د.إ.‏
ar	AED	standard	compact-short	symbol	1.2	‏1.2 د.إ.‏
ar	AED	standard	compact-short	symbol	0.00831765	‏0.0083 د.إ.‏
ar	AED	standard	compact-short	symbol	1234565.0	‏1.2 مليون د.إ.‏
ar	AED	standard	compact-short	symbol	-1230.05	‎-‏1.2 ألف د.إ.‏
ar	AED	accounting	decimal	symbol	0.0	؜0.00 د.إ.‏
ar	AED	accounting	decimal	symbol	1.2	؜1.20 د.إ.‏
ar	AED	accounting	decimal	symbol	0.00831765	؜0.01 د.إ.‏
ar	AED	accounting	decimal	symbol	1234565.0	؜1,234,565.00 د.إ.‏
ar	AED	accounting	decimal	symbol	-1230.05	(؜1,230.05 د.إ.‏)
ar	AED	accounting	compact-short	symbol	0.0	؜0 د.إ.‏
ar	AED	accounting	compact-short	symbol	1.2	؜1.2 د.إ.‏
ar	AED	accounting	compact-short	symbol	0.00831765	؜0.0083 د.إ.‏
ar	AED	accounting	compact-short	symbol	1234565.0	‏1.2 مليون د.إ.‏
ar	AED	accounting	compact-short	symbol	-1230.05	‎-‏1.2 ألف د.إ.‏
ar	AFN	standard	decimal	symbol	0.0	‏0 AFN
ar	AFN	standard	decimal	symbol	1.2	‏1 AFN
ar	AFN	standard	decimal	symbol	0.00831765	‏0 AFN
ar	AFN	standard	decimal	symbol	1234565.0	‏1,234,565 AFN
ar	AFN	standard	decimal	symbol	-1230.05	‏‎-1,230 AFN
ar	AFN	standard	compact-short	symbol	0.0	‏0 AFN
ar	AFN	standard	compact-short	symbol	1.2	‏1.2 AFN
ar	AFN	standard	compact-short	symbol	0.00831765	‏0.0083 AFN
ar	AFN	standard	compact-short	symbol	1234565.0	‏1.2 مليون AFN
ar	AFN	standard	compact-short	symbol	-1230.05	‎-‏1.2 ألف AFN
ar	AFN	accounting	decimal	symbol	0.0	؜0 AFN
ar	AFN	accounting	decimal	symbol	1.2	؜1 AFN
ar	AFN	accounting	decimal	symbol	0.00831765	؜0 AFN
ar	AFN	accounting	decimal	symbol	1234565.0	؜1,234,565 AFN
ar	AFN	accounting	decimal	symbol	-1230.05	(؜1,230 AFN)
ar	AFN	accounting	compact-short	symbol	0.0	؜0 AFN
ar	AFN	accounting	compact-short	symbol	1.2	؜1.2 AFN
ar	AFN	accounting	compact-short	symbol	0.00831765	؜0.0083 AFN
ar	AFN	accounting	compact-short	symbol	1234565.0	‏1.2 مليون AFN
