locale	currency	currency_format_type	number_format_length	currency_display	input	expected
ar	USD	accounting	long	symbol	-5.0E12	‎-‏5 ترليون US$
ar	USD	accounting	long	symbol	-1.5E12	‎-‏1.5 ترليون US$
ar	USD	accounting	long	symbol	-1.0E12	‎-‏1 ترليون US$
ar	USD	accounting	long	symbol	-5.0E11	‎-‏500 مليار US$
ar	USD	accounting	long	symbol	-1.5E11	‎-‏150 مليار US$
ar	USD	accounting	long	symbol	-1.0E11	‎-‏100 مليار US$
ar	USD	accounting	long	symbol	-5.0E10	‎-‏50 مليار US$
ar	USD	accounting	long	symbol	-1.5E10	‎-‏15 مليار US$
ar	USD	accounting	long	symbol	-1.0E10	‎-‏10 مليار US$
ar	USD	accounting	long	symbol	-5.0E9	‎-‏5 مليار US$
ar	USD	accounting	long	symbol	-1.5E9	‎-‏1.5 مليار US$
ar	USD	accounting	long	symbol	-1.0E9	‎-‏1 مليار US$
ar	USD	accounting	long	symbol	-5.0E8	‎-‏500 مليون US$
ar	USD	accounting	long	symbol	-1.5E8	‎-‏150 مليون US$
ar	USD	accounting	long	symbol	-1.0E8	‎-‏100 مليون US$
ar	USD	accounting	long	symbol	-5.0E7	‎-‏50 مليون US$
ar	USD	accounting	long	symbol	-1.5E7	‎-‏15 مليون US$
ar	USD	accounting	long	symbol	-1.0E7	‎-‏10 مليون US$
ar	USD	accounting	long	symbol	-5000000.0	‎-‏5 مليون US$
ar	USD	accounting	long	symbol	-1500000.0	‎-‏1.5 مليون US$
ar	USD	accounting	long	symbol	-1234567.0	‎-‏1.2 مليون US$
ar	USD	accounting	long	symbol	-1234565.0	‎-‏1.2 مليون US$
ar	USD	accounting	long	symbol	-1000000.0	‎-‏1 مليون US$
ar	USD	accounting	long	symbol	-999999.9	‎-‏1 مليون US$
ar	USD	accounting	long	symbol	-500000.0	‎-‏500 ألف US$
ar	USD	accounting	long	symbol	-150000.0	‎-‏150 ألف US$
ar	USD	accounting	long	symbol	-100000.0	‎-‏100 ألف US$
ar	USD	accounting	long	symbol	-50000.0	‎-‏50 ألف US$
ar	USD	accounting	long	symbol	-15000.0	‎-‏15 ألف US$
ar	USD	accounting	long	symbol	-10000.0	‎-‏10 ألف US$
ar	USD	accounting	long	symbol	-5000.0	‎-‏5 آلاف US$
ar	USD	accounting	long	symbol	-1500.0	‎-‏1.5 ألف US$
ar	USD	accounting	long	symbol	-1234.56	‎-‏1.2 ألف US$
ar	USD	accounting	long	symbol	-1000.0	‎-‏1 ألف US$
ar	USD	accounting	long	symbol	-999.9	‎-‏1 ألف US$
ar	USD	accounting	long	symbol	-500.0	(؜500 US$)
