locale	currency	currency_format_type	number_format_length	currency_display	input	expected
af	USD	standard		name	0.0	0,00 VSA-dollar
af	USD	standard		name	1.2	1,20 VSA-dollar
af	USD	standard		name	0.00831765	0,01 VSA-dollar
af	USD	standard		name	1234565.0	1 234 565,00 VSA-dollar
af	USD	standard		name	-1230.05	-1 230,05 VSA-dollar
af	EUR	standard		name	0.0	0,00 euro
af	EUR	standard		name	1.2	1,20 euro
af	EUR	standard		name	0.00831765	0,01 euro
af	EUR	standard		name	1234565.0	1 234 565,00 euro
af	EUR	standard		name	-1230.05	-1 230,05 euro
af	JPY	standard		name	0.0	0 Japannese jen
af	JPY	standard		name	1.2	1 Japannese jen
af	JPY	standard		name	0.00831765	0 Japannese jen
af	JPY	standard		name	1234565.0	1 234 565 Japannese jen
af	JPY	standard		name	-1230.05	-1 230 Japannese jen
af	RUB	standard		name	0.0	0,00 Russiese roebel
af	RUB	standard		name	1.2	1,20 Russiese roebel
af	RUB	standard		name	0.00831765	0,01 Russiese roebel
af	RUB	standard		name	1234565.0	1 234 565,00 Russiese roebel
af	RUB	standard		name	-1230.05	-1 230,05 Russiese roebel
af	EGP	standard		name	0.0	0,00 Egiptiese pond
af	EGP	standard		name	1.2	1,20 Egiptiese pond
af	EGP	standard		name	0.00831765	0,01 Egiptiese pond
af	EGP	standard		name	1234565.0	1 234 565,00 Egiptiese pond
af	EGP	standard		name	-1230.05	-1 230,05 Egiptiese pond
am	USD	standard		name	0.0	0.00 የአሜሪካን ዶላር
am	USD	standard		name	1.2	1.20 የአሜሪካን ዶላር
am	USD	standard		name	0.00831765	0.01 የአሜሪካን ዶላር
am	USD	standard		name	1234565.0	1,234,565.00 የአሜሪካን ዶላር
am	USD	standard		name	-1230.05	-1,230.05 የአሜሪካን ዶላር
am	EUR	standard		name	0.0	0.00 ዩሮ
am	EUR	standard		name	1.2	1.20 ዩሮ
am	EUR	standard		name	0.00831765	0.01 ዩሮ
am	EUR	standard		name	1234565.0	1,234,565.00 ዩሮ
am	EUR	standard		name	-1230.05	-1,230.05 ዩሮ
am	JPY	standard		name	0.0	0 የጃፓን የን
am	JPY	standard		name	1.2	1 የጃፓን የን
am	JPY	standard		name	0.00831765	0 የጃፓን የን
am	JPY	standard		name	1234565.0	1,234,565 የጃፓን የን
am	JPY	standard		name	-1230.05	-1,230 የጃፓን የን
am	RUB	standard		name	0.0	0.00 የሩስያ ሩብል
am	RUB	standard		name	1.2	1.20 የሩስያ ሩብል
am	RUB	standard		name	0.00831765	0.01 የሩስያ ሩብል
am	RUB	standard		name	1234565.0	1,234,565.00 የሩስያ ሩብል
am	RUB	standard		name	-1230.05	-1,230.05 የሩስያ ሩብል
am	EGP	standard		name	0.0	0.00 የግብጽ ፓውንድ
am	EGP	standard		name	1.2	1.20 የግብጽ ፓውንድ
am	EGP	standard		name	0.00831765	0.01 የግብጽ ፓውንድ
am	EGP	standard		name	1234565.0	1,234,565.00 የግብጽ ፓውንድ
am	EGP	standard		name	-1230.05	-1,230.05 የግብጽ ፓውንድ
as	USD	standard		name	0.0	০.০০ ইউ. এছ. ডলাৰ
as	USD	standard		name	1.2	১.২০ ইউ. এছ. ডলাৰ
as	USD	standard		name	0.00831765	০.০১ ইউ. এছ. ডলাৰ
