locale	currency	currency_format_type	number_format_length	currency_display	input	expected
ar	AED	accounting	short	code	0.0	؜0 AED
ar	AED	accounting	short	code	1.2	؜1.2 AED
ar	AED	accounting	short	code	0.00831765	؜0.0083 AED
ar	AED	accounting	short	code	1234565.0	‏1.2 مليون AED
ar	AED	accounting	short	code	-1230.05	‎-‏1.2 ألف AED
ar	AFN	accounting	short	code	0.0	؜0 AFN
ar	AFN	accounting	short	code	1.2	؜1.2 AFN
ar	AFN	accounting	short	code	0.00831765	؜0.0083 AFN
ar	AFN	accounting	short	code	1234565.0	‏1.2 مليون AFN
ar	AFN	accounting	short	code	-1230.05	‎-‏1.2 ألف AFN
ar	ALL	accounting	short	code	0.0	؜0 ALL
ar	ALL	accounting	short	code	1.2	؜1.2 ALL
ar	ALL	accounting	short	code	0.00831765	؜0.0083 ALL
ar	ALL	accounting	short	code	1234565.0	‏1.2 مليون ALL
ar	ALL	accounting	short	code	-1230.05	‎-‏1.2 ألف ALL
ar	AMD	accounting	short	code	0.0	؜0 AMD
ar	AMD	accounting	short	code	1.2	؜1.2 AMD
ar	AMD	accounting	short	code	0.00831765	؜0.0083 AMD
ar	AMD	accounting	short	code	1234565.0	‏1.2 مليون AMD
ar	AMD	accounting	short	code	-1230.05	‎-‏1.2 ألف AMD
ar	AOA	accounting	short	code	0.0	؜0 AOA
ar	AOA	accounting	short	code	1.2	؜1.2 AOA
ar	AOA	accounting	short	code	0.00831765	؜0.0083 AOA
ar	AOA	accounting	short	code	1234565.0	‏1.2 مليون AOA
ar	AOA	accounting	short	code	-1230.05	‎-‏1.2 ألف AOA
ar	ARS	accounting	short	code	0.0	؜0 ARS
ar	ARS	accounting	short	code	1.2	؜1.2 ARS
ar	ARS	accounting	short	code	0.00831765	؜0.0083 ARS
ar	ARS	accounting	short	code	1234565.0	‏1.2 مليون ARS
ar	ARS	accounting	short	code	-1230.05	‎-‏1.2 ألف ARS
ar	AUD	accounting	short	code	0.0	؜0 AUD
ar	AUD	accounting	short	code	1.2	؜1.2 AUD
ar	AUD	accounting	short	code	0.00831765	؜0.0083 AUD
ar	AUD	accounting	short	code	1234565.0	‏1.2 مليون AUD
