locale	currency	currency_format_type	number_format_length	currency_display	input	expected
af	USD	standard		code	0.0	USD 0,00
af	USD	standard		code	1.2	USD 1,20
af	USD	standard		code	0.00831765	USD 0,01
af	USD	standard		code	1234565.0	USD 1 234 565,00
af	USD	standard		code	-1230.05	-USD 1 230,05
af	USD	standard	short	code	0.0	USD 0
af	USD	standard	short	code	1.2	USD 1,2
af	USD	standard	short	code	0.00831765	USD 0,0083
af	USD	standard	short	code	1234565.0	USD 1,2 m
af	USD	standard	short	code	-1230.05	-USD 1,2 k
af	USD	standard	long	code	0.0	USD 0
af	USD	standard	long	code	1.2	USD 1,2
af	USD	standard	long	code	0.00831765	USD 0,0083
af	USD	standard	long	code	1234565.0	USD 1,2 m
af	USD	standard	long	code	-1230.05	-USD 1,2 k
af	USD	accounting		code	0.0	USD 0,00
af	USD	accounting		code	1.2	USD 1,20
af	USD	accounting		code	0.00831765	USD 0,01
af	USD	accounting		code	1234565.0	USD 1 234 565,00
af	USD	accounting		code	-1230.05	(USD 1 230,05)
af	USD	accounting	short	code	0.0	USD 0
af	USD	accounting	short	code	1.2	USD 1,2
af	USD	accounting	short	code	0.00831765	USD 0,0083
af	USD	accounting	short	code	1234565.0	USD 1,2 m
af	USD	accounting	short	code	-1230.05	-USD 1,2 k
af	USD	accounting	long	code	0.0	USD 0
af	USD	accounting	long	code	1.2	USD 1,2
af	USD	accounting	long	code	0.00831765	USD 0,0083
af	USD	accounting	long	code	1234565.0	USD 1,2 m
af	USD	accounting	long	code	-1230.05	-USD 1,2 k
af	EUR	standard		code	0.0	EUR 0,00
af	EUR	standard		code	1.2	EUR 1,20
af	EUR	standard		code	0.00831765	EUR 0,01
af	EUR	standard		code	1234565.0	EUR 1 234 565,00
af	EUR	standard		code	-1230.05	-EUR 1 230,05
af	EUR	standard	short	code	0.0	EUR 0
af	EUR	standard	short	code	1.2	EUR 1,2
af	EUR	standard	short	code	0.00831765	EUR 0,0083
af	EUR	standard	short	code	1234565.0	EUR 1,2 m
af	EUR	standard	short	code	-1230.05	-EUR 1,2 k
af	EUR	standard	long	code	0.0	EUR 0
af	EUR	standard	long	code	1.2	EUR 1,2
af	EUR	standard	long	code	0.00831765	EUR 0,0083
af	EUR	standard	long	code	1234565.0	EUR 1,2 m
af	EUR	standard	long	code	-1230.05	-EUR 1,2 k
af	EUR	accounting		code	0.0	EUR 0,00
af	EUR	accounting		code	1.2	EUR 1,20
af	EUR	accounting		code	0.00831765	EUR 0,01
af	EUR	accounting		code	1234565.0	EUR 1 234 565,00
af	EUR	accounting		code	-1230.05	(EUR 1 230,05)
af	EUR	accounting	short	code	0.0	EUR 0
af	EUR	accounting	short	code	1.2	EUR 1,2
af	EUR	accounting	short	code	0.00831765	EUR 0,0083
af	EUR	accounting	short	code	1234565.0	EUR 1,2 m
af	EUR	accounting	short	code	-1230.05	-EUR 1,2 k
af	EUR	accounting	long	code	0.0	EUR 0
af	EUR	accounting	long	code	1.2	EUR 1,2
af	EUR	accounting	long	code	0.00831765	EUR 0,0083
af	EUR	accounting	long	code	1234565.0	EUR 1,2 m
af	EUR	accounting	long	code	-1230.05	-EUR 1,2 k
af	JPY	standard		code	0.0	JPY 0
af	JPY	standard		code	1.2	JPY 1
af	JPY	standard		code	0.00831765	JPY 0
af	JPY	standard		code	1234565.0	JPY 1 234 565
af	JPY	standard		code	-1230.05	-JPY 1 230
af	JPY	standard	short	code	0.0	JPY 0
af	JPY	standard	short	code	1.2	JPY 1,2
af	JPY	standard	short	code	0.00831765	JPY 0,0083
af	JPY	standard	short	code	1234565.0	JPY 1,2 m
af	JPY	standard	short	code	-1230.05	-JPY 1,2 k
af	JPY	standard	long	code	0.0	JPY 0
af	JPY	standard	long	code	1.2	JPY 1,2
af	JPY	standard	long	code	0.00831765	JPY 0,0083
af	JPY	standard	long	code	1234565.0	JPY 1,2 m
af	JPY	standard	long	code	-1230.05	-JPY 1,2 k
af	JPY	accounting		code	0.0	JPY 0
af	JPY	accounting		code	1.2	JPY 1
af	JPY	accounting		code	0.00831765	JPY 0
af	JPY	accounting		code	1234565.0	JPY 1 234 565
af	JPY	accounting		code	-1230.05	(JPY 1 230)
af	JPY	accounting	short	code	0.0	JPY 0
af	JPY	accounting	short	code	1.2	JPY 1,2
af	JPY	accounting	short	code	0.00831765	JPY 0,0083
af	JPY	accounting	short	code	1234565.0	JPY 1,2 m
af	JPY	accounting	short	code	-1230.05	-JPY 1,2 k
af	JPY	accounting	long	code	0.0	JPY 0
af	JPY	accounting	long	code	1.2	JPY 1,2
af	JPY	accounting	long	code	0.00831765	JPY 0,0083
af	JPY	accounting	long	code	1234565.0	JPY 1,2 m
af	JPY	accounting	long	code	-1230.05	-JPY 1,2 k
af	RUB	standard		code	0.0	RUB 0,00
af	RUB	standard		code	1.2	RUB 1,20
af	RUB	standard		code	0.00831765	RUB 0,01
af	RUB	standard		code	1234565.0	RUB 1 234 565,00
af	RUB	standard		code	-1230.05	-RUB 1 230,05
af	RUB	standard	short	code	0.0	RUB 0
af	RUB	standard	short	code	1.2	RUB 1,2
af	RUB	standard	short	code	0.00831765	RUB 0,0083
af	RUB	standard	short	code	1234565.0	RUB 1,2 m
af	RUB	standard	short	code	-1230.05	-RUB 1,2 k
af	RUB	standard	long	code	0.0	RUB 0
af	RUB	standard	long	code	1.2	RUB 1,2
af	RUB	standard	long	code	0.00831765	RUB 0,0083
af	RUB	standard	long	code	1234565.0	RUB 1,2 m
af	RUB	standard	long	code	-1230.05	-RUB 1,2 k
af	RUB	accounting		code	0.0	RUB 0,00
af	RUB	accounting		code	1.2	RUB 1,20
af	RUB	accounting		code	0.00831765	RUB 0,01
af	RUB	accounting		code	1234565.0	RUB 1 234 565,00
af	RUB	accounting		code	-1230.05	(RUB 1 230,05)
af	RUB	accounting	short	code	0.0	RUB 0
af	RUB	accounting	short	code	1.2	RUB 1,2
af	RUB	accounting	short	code	0.00831765	RUB 0,0083
af	RUB	accounting	short	code	1234565.0	RUB 1,2 m
af	RUB	accounting	short	code	-1230.05	-RUB 1,2 k
af	RUB	accounting	long	code	0.0	RUB 0
af	RUB	accounting	long	code	1.2	RUB 1,2
af	RUB	accounting	long	code	0.00831765	RUB 0,0083
af	RUB	accounting	long	code	1234565.0	RUB 1,2 m
af	RUB	accounting	long	code	-1230.05	-RUB 1,2 k
af	EGP	standard		code	0.0	EGP 0,00
af	EGP	standard		code	1.2	EGP 1,20
af	EGP	standard		code	0.00831765	EGP 0,01
af	EGP	standard		code	1234565.0	EGP 1 234 565,00
af	EGP	standard		code	-1230.05	-EGP 1 230,05
af	EGP	standard	short	code	0.0	EGP 0
af	EGP	standard	short	code	1.2	EGP 1,2
af	EGP	standard	short	code	0.00831765	EGP 0,0083
af	EGP	standard	short	code	1234565.0	EGP 1,2 m
af	EGP	standard	short	code	-1230.05	-EGP 1,2 k
af	EGP	standard	long	code	0.0	EGP 0
af	EGP	standard	long	code	1.2	EGP 1,2
af	EGP	standard	long	code	0.00831765	EGP 0,0083
af	EGP	standard	long	code	1234565.0	EGP 1,2 m
af	EGP	standard	long	code	-1230.05	-EGP 1,2 k
af	EGP	accounting		code	0.0	EGP 0,00
af	EGP	accounting		code	1.2	EGP 1,20
af	EGP	accounting		code	0.00831765	EGP 0,01
af	EGP	accounting		code	1234565.0	EGP 1 234 565,00
af	EGP	accounting		code	-1230.05	(EGP 1 230,05)
af	EGP	accounting	short	code	0.0	EGP 0
af	EGP	accounting	short	code	1.2	EGP 1,2
af	EGP	accounting	short	code	0.00831765	EGP 0,0083
af	EGP	accounting	short	code	1234565.0	EGP 1,2 m
af	EGP	accounting	short	code	-1230.05	-EGP 1,2 k
af	EGP	accounting	long	code	0.0	EGP 0
af	EGP	accounting	long	code	1.2	EGP 1,2
af	EGP	accounting	long	code	0.00831765	EGP 0,0083
af	EGP	accounting	long	code	1234565.0	EGP 1,2 m
af	EGP	accounting	long	code	-1230.05	-EGP 1,2 k
am	USD	standard		code	0.0	USD 0.00
am	USD	standard		code	1.2	USD 1.20
am	USD	standard		code	0.00831765	USD 0.01
am	USD	standard		code	1234565.0	USD 1,234,565.00
am	USD	standard		code	-1230.05	-USD 1,230.05
am	USD	standard	short	code	0.0	USD 0
am	USD	standard	short	code	1.2	USD 1.2
am	USD	standard	short	code	0.00831765	USD 0.0083
am	USD	standard	short	code	1234565.0	USD 1.2 ሚ
am	USD	standard	short	code	-1230.05	-USD 1.2 ሺ
am	USD	standard	long	code	0.0	USD 0
am	USD	standard	long	code	1.2	USD 1.2
am	USD	standard	long	code	0.00831765	USD 0.0083
am	USD	standard	long	code	1234565.0	USD 1.2 ሚ
am	USD	standard	long	code	-1230.05	-USD 1.2 ሺ
am	USD	accounting		code	0.0	USD 0.00
am	USD	accounting		code	1.2	USD 1.20
am	USD	accounting		code	0.00831765	USD 0.01
am	USD	accounting		code	1234565.0	USD 1,234,565.00
am	USD	accounting		code	-1230.05	(USD 1,230.05)
am	USD	accounting	short	code	0.0	USD 0
am	USD	accounting	short	code	1.2	USD 1.2
am	USD	accounting	short	code	0.00831765	USD 0.0083
am	USD	accounting	short	code	1234565.0	USD 1.2 ሚ
am	USD	accounting	short	code	-1230.05	-USD 1.2 ሺ
am	USD	accounting	long	code	0.0	USD 0
am	USD	accounting	long	code	1.2	USD 1.2
am	USD	accounting	long	code	0.00831765	USD 0.0083
am	USD	accounting	long	code	1234565.0	USD 1.2 ሚ
am	USD	accounting	long	code	-1230.05	-USD 1.2 ሺ
am	EUR	standard		code	0.0	EUR 0.00
am	EUR	standard		code	1.2	EUR 1.20
am	EUR	standard		code	0.00831765	EUR 0.01
am	EUR	standard		code	1234565.0	EUR 1,234,565.00
am	EUR	standard		code	-1230.05	-EUR 1,230.05
am	EUR	standard	short	code	0.0	EUR 0
am	EUR	standard	short	code	1.2	EUR 1.2
am	EUR	standard	short	code	0.00831765	EUR 0.0083
am	EUR	standard	short	code	1234565.0	EUR 1.2 ሚ
am	EUR	standard	short	code	-1230.05	-EUR 1.2 ሺ
am	EUR	standard	long	code	0.0	EUR 0
am	EUR	standard	long	code	1.2	EUR 1.2
am	EUR	standard	long	code	0.00831765	EUR 0.0083
am	EUR	standard	long	code	1234565.0	EUR 1.2 ሚ
am	EUR	standard	long	code	-1230.05	-EUR 1.2 ሺ
am	EUR	accounting		code	0.0	EUR 0.00
am	EUR	accounting		code	1.2	EUR 1.20
am	EUR	accounting		code	0.00831765	EUR 0.01
am	EUR	accounting		code	1234565.0	EUR 1,234,565.00
am	EUR	accounting		code	-1230.05	(EUR 1,230.05)
am	EUR	accounting	short	code	0.0	EUR 0
am	EUR	accounting	short	code	1.2	EUR 1.2
am	EUR	accounting	short	code	0.00831765	EUR 0.0083
am	EUR	accounting	short	code	1234565.0	EUR 1.2 ሚ
am	EUR	accounting	short	code	-1230.05	-EUR 1.2 ሺ
