lang	langCode
http://www.wikidata.org/entity/Q143	eo
http://www.wikidata.org/entity/Q150	fr
http://www.wikidata.org/entity/Q188	de
http://www.wikidata.org/entity/Q102172	li
http://www.wikidata.org/entity/Q1025090	cdd
http://www.wikidata.org/entity/Q10322099	cds
http://www.wikidata.org/entity/Q10322106	ukl
http://www.wikidata.org/entity/Q1039346	sii
http://www.wikidata.org/entity/Q1048980	cmn-sg
http://www.wikidata.org/entity/Q1055287	ysn
http://www.wikidata.org/entity/Q10577443	zmt
http://www.wikidata.org/entity/Q10577823	zmg
http://www.wikidata.org/entity/Q1057898	egl
http://www.wikidata.org/entity/Q106085	gmq
http://www.wikidata.org/entity/Q1063911	tzl
http://www.wikidata.org/entity/Q1066766	uzn
http://www.wikidata.org/entity/Q1066787	uzs
http://www.wikidata.org/entity/Q1068097	opm
http://www.wikidata.org/entity/Q1068112	xmm
http://www.wikidata.org/entity/Q1069489	sqr
http://www.wikidata.org/entity/Q10729616	aoc
http://www.wikidata.org/entity/Q1075050	qwm
http://www.wikidata.org/entity/Q1077450	ono
http://www.wikidata.org/entity/Q10860505	frk
http://www.wikidata.org/entity/Q108662	gme
http://www.wikidata.org/entity/Q1088025	osp
http://www.wikidata.org/entity/Q1089069	kzk
http://www.wikidata.org/entity/Q1094190	csl
http://www.wikidata.org/entity/Q10950308	etz
http://www.wikidata.org/entity/Q10957277	xla
http://www.wikidata.org/entity/Q10961696	swc
http://www.wikidata.org/entity/Q10974017	var
http://www.wikidata.org/entity/Q10975683	aqp
http://www.wikidata.org/entity/Q11001730	dic
http://www.wikidata.org/entity/Q11002130	emk
http://www.wikidata.org/entity/Q11022615	alm
http://www.wikidata.org/entity/Q11028033	mlq
http://www.wikidata.org/entity/Q11028974	kss
http://www.wikidata.org/entity/Q11031321	kzc
http://www.wikidata.org/entity/Q1108934	hmd
http://www.wikidata.org/entity/Q1109927	byu
http://www.wikidata.org/entity/Q1115317	mji
http://www.wikidata.org/entity/Q1115875	es-CO
http://www.wikidata.org/entity/Q11159067	wec
http://www.wikidata.org/entity/Q11159524	xkg
http://www.wikidata.org/entity/Q1122188	emx
http://www.wikidata.org/entity/Q11252539	axb
http://www.wikidata.org/entity/Q11259563	lmi
http://www.wikidata.org/entity/Q112893	lol
http://www.wikidata.org/entity/Q1133089	cks
http://www.wikidata.org/entity/Q1137945	xaa
http://www.wikidata.org/entity/Q1138351	gct
http://www.wikidata.org/entity/Q1139349	kdo
http://www.wikidata.org/entity/Q1142333	tlb
http://www.wikidata.org/entity/Q1143040	enq
http://www.wikidata.org/entity/Q1153276	mla
http://www.wikidata.org/entity/Q1156228	en-ZA
http://www.wikidata.org/entity/Q1157729	bpa
http://www.wikidata.org/entity/Q1158971	dnj
http://www.wikidata.org/entity/Q1160372	lzz
http://www.wikidata.org/entity/Q116849	cbn
http://www.wikidata.org/entity/Q11732376	kmo
http://www.wikidata.org/entity/Q11732468	moq
http://www.wikidata.org/entity/Q11732526	nxr
http://www.wikidata.org/entity/Q11732569	ped
http://www.wikidata.org/entity/Q11732691	tif
http://www.wikidata.org/entity/Q11775688	lbs
http://www.wikidata.org/entity/Q1185119	wya
http://www.wikidata.org/entity/Q1185127	lou
http://www.wikidata.org/entity/Q1185133	see
http://www.wikidata.org/entity/Q1186896	ppl
http://www.wikidata.org/entity/Q1190494	xgl
http://www.wikidata.org/entity/Q1192295	ktz
http://www.wikidata.org/entity/Q1193495	xvi
http://www.wikidata.org/entity/Q1193712	sl-rozaj
http://www.wikidata.org/entity/Q1199751	mfa
http://www.wikidata.org/entity/Q1207611	cro
http://www.wikidata.org/entity/Q12086766	be-ua
http://www.wikidata.org/entity/Q12179308	jic
