TMASB ; Ashgabat
KNBAS ; Basseterre
BEBRU ; Brussels
GUAPR ; Hagåtña # GU : Guam
SBHIR ; Honiara # SB : Solomon Islands
IDJKT ; Jakarta # ID : Indonesia
PSRMH ; Ramallah and Gaza # PS : State of Palestine
TGLFW ; Lomé # TG : Togo
MVMLE ; Malé # MV : Maldives
BHAMH ; Manama # BH : Bahrain
WFMAU ; Mata-Utu # WF : Wallis and Futuna
MXMEX ; Mexico City # MX : Mexico
TOTBU ; Nukuʻalofa # TO : Tonga
TTPOS ; Port of Spain # TT : Trinidad and Tobago
VGRAD ; Road Town # VG : British Virgin Islands
GDSTG ; St. George's # GD : Grenada
JESTH ; St. Helier # JE : Jersey
AGSJO ; St. John's # AG : Antigua and Barbuda
GGSPT ; St. Peter Port # GG : Guernsey
PMFSP ; St. Pierre # PM : Saint Pierre and Miquelon
FOTOR ; Tórshavn # FO : Faroe Islands
BTTHI ; Thimphu # BT : Bhutan
MNULN ; Ulan Bator # MN : Mongolia
USWAS ; Washington, D.C. # US : United States
BR  SSZ 	 ; Baixada Santista (Santos) # BR : Brazil
BR  VIX ; Grande Vitória # BR : Brazil
CN  DLC ; Dalian # CN : China
CN  FOC ; Fuzhou, Fujian # CN : China
CN  CAN ; Guangzhou # CN : China
DZ  ALG ; Algiers
EG  ALY ; Alexandria
EG  CAI ; Cairo
IT  NAP ; Naples
IT  ROM ; Rome
PT  LIS ; Lisbon
RU  LED ; Saint Petersburg
SA  MAK ; Mecca 
