Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771
Afghanistan,AFG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,35304957443.1429,43009154649.9821,50021140843.8365,51116377178.898,59828650003.497,65243022274.6353,69269064108.3461,72264460583.4333,71002992402.2763,75541822529.0687,78452629305.5163,83114293808.3467,81613248721.1909,67497245890.7719,..
Albania,ALB,"Population, total",SP.POP.TOTL,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689
Albania,ALB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,12286421765.5495,13582158059.1547,14578898002.6769,15606803804.4588,16816639912.577,18018684855.0701,20227034212.5993,22237723231.5777,24373830536.1474,25391433784.8499,27768115043.705,29663113513.8575,30302683016.9371,31131463018.4765,32827519380.2111,33983933600.3434,35303753953.2809,36786681442.605,38643987272.43,40583177886.8439,39293117640.589,42893918405.8024,50726571305.5172
Algeria,DZA,"Population, total",SP.POP.TOTL,30774621,31200985,31624696,32055883,32510186,32956690,33435080,33983827,34569592,35196037,35856344,36543541,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969,44903225
Algeria,DZA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,248948935948.487,267745804336.254,284220886795.88,311380241646.746,331728480780.195,359612549048.173,381244409880.702,415419245788.917,436091592079.418,444815149747.257,469889943457.945,489874209849.271,491032042032.186,488124391408.29,494451390132.55,464956187403.212,466787785435.932,478552633868.987,490775041727.01,504951788300.27,487566225423.157,528115992891.357,581573909062.74
American Samoa,ASM,"Population, total",SP.POP.TOTL,58230,58324,58177,57941,57626,57254,56837,56383,55891,55366,54849,54310,53691,52995,52217,51368,50448,49463,48424,47321,46189,45035,44273
American Samoa,ASM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,66097,67820,70849,73907,76933,79826,80221,78168,76055,73852,71519,70567,71013,71367,71621,71746,72540,73837,75013,76343,77700,79034,79824
Andorra,AND,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Population, total",SP.POP.TOTL,16394062,16941587,17516139,18124342,18771125,19450959,20162340,20909684,21691522,22507674,23364185,24259111,25188292,26147002,27128337,28127721,29154746,30208628,31273533,32353588,33428486,34503774,35588987
Angola,AGO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,45772315254.3698,49213910365.9721,59175578993.5397,62844806635.9541,70905271597.5722,83803345013.3697,95403168926.3056,111899908428.72,121260301272.988,131518248036.708,139036880719.971,148439200654.428,170976260040.987,185392062309.03,206980819803.485,194201093550.639,194190298891.968,204590021604.228,203271990590.934,202535402620.151,193734766839.983,206625791722.663,229564126513.46
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,75055,76215,77195,78075,78941,79869,80895,82016,83251,84534,85695,86729,87674,88497,89236,89941,90564,91119,91626,92117,92664,93219,93763
Antigua and Barbuda,ATG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1371374700.96477,1367084680.31725,1377138460.00608,1497558848.7734,1620672868.76659,1792794061.42793,2084353489.03188,2340651906.97128,2375397191.66091,2110887079.84261,2000047402.64945,1989464693.26504,1901046386.74869,1873511840.29188,1858657765.77635,1791853932.76206,1825199679.71101,1876707882.73479,2058386525.84355,2164267402.3151,1838937343.79421,2025526062.68614,2395273758.3918
Argentina,ARG,"Population, total",SP.POP.TOTL,37070774,37480493,37885028,38278164,38668796,39070501,39476851,39876111,40273769,40684338,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747,46234830
Argentina,ARG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,416543213705.884,406229568312.825,359287109112.954,403170047755.339,418044160252.763,467987564262.799,568706551176.912,641116244910.274,680954189844.421,640794035796.418,711692954086.858,774475577247.848,800317625378.88,831394119040.572,822682190494.641,850943025662.517,865728756878.777,1012802784987.51,999477911340.463,993329077050.985,918298042996.465,1069805554258.12,1203325015659.96
Armenia,ARM,"Population, total",SP.POP.TOTL,3168523,3133133,3105037,3084102,3065745,3047246,3026486,3004393,2983421,2964296,2946293,2928976,2914421,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974,2780469
Armenia,ARM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,8402228179.66485,9408755566.66737,10865435005.7348,12611808302.9975,14426393524.0208,16956037657.7612,19886529023.2614,23371139898.2539,25589642245.0294,21750889670.9294,22669393132.4502,23905121367.1988,28085043286.0165,30249264888.7339,30546350169.5526,30350856297.5624,32159509361.2082,36931688582.4612,39052063120.3201,42652316566.7278,38961302963.8699,42471212172.4859,50440272220.046
Aruba,ABW,"Population, total",SP.POP.TOTL,89101,90691,91781,92701,93540,94483,95606,96787,97996,99212,100341,101288,102112,102880,103594,104257,104874,105439,105962,106442,106585,106537,106445
Aruba,ABW,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2701341765.05967,2830330548.85077,2732825493.34063,2948154409.06483,3225142561.19387,2731089989.38386,3418951190.49316,3238653855.78611,3764169074.84711,3367789337.97827,3238190996.06096,3285948815.775,3394609470.00529,3570577791.51326,3676303526.63929,3729142478.29994,3762715342.46141,3872113603.24205,4015089998.57761,4080041119.3874,3203000775.91083,4256039165.50417,5009515336.11602
