locale	style	input	expected
af	decimal	1.5E10	15 000 000 000
af	percent	-12.0	-1 200%
af	percent	1.5E10	1 500 000 000 000%
af	scientific	-5.0E12	-5E12
af	scientific	-2.5	-2,5E0
af	scientific	-0.05	-5E-2
af	scientific	0.15000000000000002	1,5E-1
af	compact-short	-5.0E8	-500 m
af	compact-short	-1.5E7	-15 m
af	compact-short	-1234567.0	-1,2 m
af	compact-short	-1500.0	-1,5 k
af	compact-short	-0.0015	-0,0015
af	compact-short	4.9999999999999996E-6	0,000005
af	compact-short	1000.0	1 k
af	compact-short	50000.0	50 k
af	compact-short	500000.0	500 k
af	compact-long	-5.0E11	-500 miljard
af	compact-long	-1234567.0	-1,2 miljoen
af	compact-long	-150.0	-150
af	compact-long	-0.015	-0,015
af	compact-long	-1.23E-4	-0,00012
af	compact-long	-5.0E-5	-0,00005
af	compact-long	1.0E-4	0,0001
af	compact-long	10.0	10
af	compact-long	10000.0	10 duisend
af	compact-long	5000000.0	5 miljoen
af	compact-long	1.0E10	10 miljard
ak	decimal	-1.5E12	-1,500,000,000,000
ak	decimal	-1234567.0	-1,234,567
ak	decimal	-150000.0	-150,000
ak	decimal	-150.0	-150
ak	decimal	-0.015	-0.015
ak	decimal	-1.5E-6	-0.000002
ak	decimal	1.0E-4	0.0001
ak	decimal	0.001	0.001
ak	decimal	100.0	100
ak	decimal	500000.0	500,000
ak	decimal	1.0E9	1,000,000,000
ak	decimal	1.0E10	10,000,000,000
ak	percent	-1.5E12	-150,000,000,000,000%
ak	percent	-1.0E8	-10,000,000,000%
ak	percent	-1.5E-6	-0.00015%
ak	percent	4.9999999999999996E-6	0.0005%
ak	percent	1.5000000000000001E-4	0.015%
ak	percent	5.0E-4	0.05%
ak	percent	0.001	0.1%
ak	percent	100.0	10,000%
ak	percent	1.0E9	100,000,000,000%
ak	percent	5.0E10	5,000,000,000,000%
ak	scientific	0.01	1E-2
ak	scientific	999999.9	9.999999E5
ak	compact-short	-5.0E10	-50G
ak	compact-short	-1.0E9	-1G
ak	compact-short	-100000.0	-100K
ak	compact-short	-10000.0	-10K
ak	compact-short	-100.0	-100
ak	compact-short	-1.0	-1
ak	compact-short	-0.1	-0.1
ak	compact-short	-0.001	-0.001
ak	compact-short	-5.0E-4	-0.0005
ak	compact-short	-1.5000000000000001E-4	-0.00015
ak	compact-short	5.0E-5	0.00005
ak	compact-short	1.0E8	100M
ak	compact-short	5.0E11	500G
ak	compact-long	-1.2	-1.2
ak	compact-long	-0.05	-0.05
ak	compact-long	1.5	1.5
ak	compact-long	1.5E10	ɔpepepem 15
am	decimal	-1.5	-1.5
am	decimal	0.135	0.135
am	decimal	999999.9	999,999.9
am	decimal	1.0E7	10,000,000
am	percent	0.135	13.5%
am	percent	1.0E7	1,000,000,000%
am	scientific	-1.0E11	-1E11
am	scientific	-1.0E8	-1E8
am	scientific	-1234567.0	-1.234567E6
am	scientific	-15000.0	-1.5E4
am	scientific	-1.0E-5	-1E-5
am	scientific	1.5000000000000001E-4	1.5E-4
am	scientific	5.0E-4	5E-4
am	scientific	0.001	1E-3
am	scientific	100.0	1E2
am	scientific	10000.0	1E4
am	scientific	1.0E9	1E9
am	scientific	5.0E10	5E10
am	compact-short	-5.0E7	-50 ሚ
am	compact-long	-1.0E10	-10 ቢሊዮን
am	compact-long	-1.0E9	-1 ቢሊዮን
am	compact-long	-100000.0	-100 ሺ
am	compact-long	-100.0	-100
am	compact-long	-50.0	-50
am	compact-long	-5.0	-5
am	compact-long	-0.5	-0.5
am	compact-long	-0.001	-0.001
am	compact-long	-1.0E-4	-0.0001
am	compact-long	5.0E-5	0.00005
am	compact-long	15000.0	15 ሺ
am	compact-long	150000.0	150 ሺ
am	compact-long	5.0E11	500 ቢሊዮን
as	decimal	-1500000.0	-১৫,০০,০০০
as	decimal	-1500.0	-১,৫০০
as	decimal	-150.0	-১৫০
as	decimal	-0.015	-০.০১৫
as	decimal	-0.0015	-০.০০১৫
as	decimal	1.0E-4	০.০০০১
as	decimal	0.5	০.৫
as	decimal	5.0	৫
as	decimal	50000.0	৫০,০০০
as	decimal	1000000.0	১০,০০,০০০
as	decimal	5000000.0	৫০,০০,০০০
as	decimal	1.0E10	১০,০০,০০,০০,০০০
as	percent	-1.0E8	-১০,০০,০০,০০,০০০%
as	percent	-1500.0	-১,৫০,০০০%
as	percent	-0.0015	-০.১৫%
as	percent	4.9999999999999996E-6	০.০০০৫%
as	percent	1.5000000000000001E-4	০.০১৫%
as	percent	5.0E-4	০.০৫%
as	percent	50000.0	৫০,০০,০০০%
as	percent	500000.0	৫,০০,০০,০০০%
as	percent	5.0E10	৫০,০০,০০,০০,০০,০০০%
as	scientific	-1.5E10	-১.৫E১০
as	scientific	5.0E7	৫E৭
as	compact-short	-5.0E10	-৫০ শঃ কোঃ
as	compact-short	-100000.0	-১ লাখ
as	compact-short	-5.0	-৫
as	compact-short	-0.5	-০.৫
as	compact-short	-5.0E-4	-০.০০০৫
as	compact-short	-1.5000000000000002E-5	-০.০০০০১৫
as	compact-short	0.0015	০.০০১৫
as	compact-short	0.015	০.০১৫
as	compact-short	150.0	১৫০
as	compact-short	1500.0	১.৫ হাজাৰ
as	compact-long	-5.0E12	-৫ শত পৰাৰ্দ্ধ
as	compact-long	-5.0E7	-৫০ নিযুত
as	compact-long	-999999.9	-১ নিযুত
as	compact-long	999.9	১ হাজাৰ
as	compact-long	1.5E9	১.৫ শত কোটি
az	decimal	-5.0E12	-5.000.000.000.000
az	decimal	-1.0E7	-10.000.000
az	decimal	-0.135	-0,135
az	decimal	0.15000000000000002	0,15
az	decimal	999.9	999,9
az	decimal	1.5E9	1.500.000.000
az	percent	-1.0E12	-100.000.000.000.000%
az	percent	-5.0E7	-5.000.000.000%
az	percent	-0.05	-5%
az	percent	-1.0E-6	-0,0001%
az	scientific	-0.05	-5E-2
az	scientific	0.15000000000000002	1,5E-1
az	scientific	1.5E10	1,5E10
az	compact-short	-5.0E8	-500 mln
az	compact-short	-1.5E7	-15 mln
az	compact-short	-1234567.0	-1,2 mln
az	compact-short	-15000.0	-15K
az	compact-short	0.005	0,005
az	compact-short	500.0	500
az	compact-short	1000.0	1K
az	compact-short	50000.0	50K
az	compact-short	1.5E8	150 mln
az	compact-short	5.0E9	5 mlrd
az	compact-long	-1.0E11	-100 milyard
az	compact-long	-150000.0	-150 min
az	compact-long	-1.0E-5	-0,00001
az	compact-long	0.001	0,001
az	compact-long	100.0	100
az	compact-long	10000.0	10 min
az	compact-long	100000.0	100 min
az	compact-long	1.0E9	1 milyard
az	compact-long	1.5E11	150 milyard
az_Latn	decimal	-5.0E12	-5.000.000.000.000
az_Latn	decimal	-2.5	-2,5
az_Latn	decimal	999.9	999,9
az_Latn	decimal	1.5E9	1.500.000.000
az_Latn	percent	-5.0E12	-500.000.000.000.000%
az_Latn	percent	-999999.9	-99.999.990%
az_Latn	percent	-2.5	-250%
az_Latn	percent	999.9	99.990%
az_Latn	percent	1.5E9	150.000.000.000%
az_Latn	percent	1.5E10	1.500.000.000.000%
az_Latn	scientific	-1.2	-1,2E0
az_Latn	scientific	0.15000000000000002	1,5E-1
az_Latn	compact-short	-1.5E12	-1,5 trln
az_Latn	compact-short	-15000.0	-15K
az_Latn	compact-short	-1.5E-6	-0,0000015
az_Latn	compact-short	4.9999999999999996E-6	0,000005
az_Latn	compact-short	1.5000000000000001E-4	0,00015
az_Latn	compact-short	1.5E11	150 mlrd
az_Latn	compact-long	-150000.0	-150 min
az_Latn	compact-long	-150.0	-150
az_Latn	compact-long	-0.015	-0,015
az_Latn	compact-long	1.0E-4	0,0001
az_Latn	compact-long	1.5000000000000001E-4	0,00015
az_Latn	compact-long	0.001	0,001
az_Latn	compact-long	100.0	100
az_Latn	compact-long	50000.0	50 min
az_Latn	compact-long	500000.0	500 min
az_Latn	compact-long	5000000.0	5 milyon
az_Latn	compact-long	1.0E9	1 milyard
az_Latn	compact-long	1.0E10	10 milyard
ba	decimal	-1.5E11	-150 000 000 000
ba	decimal	-5.0E9	-5 000 000 000
ba	decimal	-1.5E8	-150 000 000
ba	decimal	-100000.0	-100 000
ba	decimal	-500.0	-500
ba	decimal	-0.005	-0.005
ba	decimal	1.5E7	15 000 000
ba	decimal	5.0E8	500 000 000
