locale	number_format	format_length	currency	input	expected
ar	currency		AED	0.0	‏0.00 د.إ.‏
ar	currency		AED	1.2	‏1.20 د.إ.‏
ar	currency		AED	0.00831765	‏0.01 د.إ.‏
ar	currency		AED	1234565.0	‏1,234,565.00 د.إ.‏
ar	currency		AED	-1230.05	‏‎-1,230.05 د.إ.‏
ar	currency		AFN	0.0	‏0 AFN
ar	currency		AFN	1.2	‏1 AFN
ar	currency		AFN	0.00831765	‏0 AFN
ar	currency		AFN	1234565.0	‏1,234,565 AFN
ar	currency		AFN	-1230.05	‏‎-1,230 AFN
ar	currency		ALL	0.0	‏0 ALL
ar	currency		ALL	1.2	‏1 ALL
ar	currency		ALL	0.00831765	‏0 ALL
ar	currency		ALL	1234565.0	‏1,234,565 ALL
ar	currency		ALL	-1230.05	‏‎-1,230 ALL
ar	currency		AMD	0.0	‏0.00 AMD
ar	currency		AMD	1.2	‏1.20 AMD
ar	currency		AMD	0.00831765	‏0.01 AMD
ar	currency		AMD	1234565.0	‏1,234,565.00 AMD
ar	currency		AMD	-1230.05	‏‎-1,230.05 AMD
ar	currency		AOA	0.0	‏0.00 AOA
ar	currency		AOA	1.2	‏1.20 AOA
ar	currency		AOA	0.00831765	‏0.01 AOA
ar	currency		AOA	1234565.0	‏1,234,565.00 AOA
ar	currency		AOA	-1230.05	‏‎-1,230.05 AOA
ar	currency		ARS	0.0	‏0.00 ARS
ar	currency		ARS	1.2	‏1.20 ARS
ar	currency		ARS	0.00831765	‏0.01 ARS
ar	currency		ARS	1234565.0	‏1,234,565.00 ARS
ar	currency		ARS	-1230.05	‏‎-1,230.05 ARS
ar	currency		AUD	0.0	‏0.00 AU$
ar	currency		AUD	1.2	‏1.20 AU$
ar	currency		AUD	0.00831765	‏0.01 AU$
ar	currency		AUD	1234565.0	‏1,234,565.00 AU$
ar	currency		AUD	-1230.05	‏‎-1,230.05 AU$
ar	currency		AWG	0.0	‏0.00 AWG
ar	currency		AWG	1.2	‏1.20 AWG
ar	currency		AWG	0.00831765	‏0.01 AWG
ar	currency		AWG	1234565.0	‏1,234,565.00 AWG
ar	currency		AWG	-1230.05	‏‎-1,230.05 AWG
ar	currency		AZN	0.0	‏0.00 AZN
ar	currency		AZN	1.2	‏1.20 AZN
