locale	style	input	expected
af	decimal	0.0	0
af	decimal	1.0	1
af	decimal	1.2	1,2
af	decimal	12.0	12
af	decimal	123.0	123
af	decimal	1234.56	1 234,56
af	decimal	1234567.0	1 234 567
af	decimal	-1234.56	-1 234,56
af	decimal	1.23E-4	0,000123
af	decimal	-0.0	-0
af	percent	0.0	0%
af	percent	1.0	100%
af	percent	1.2	120%
af	percent	12.0	1 200%
af	percent	123.0	12 300%
af	percent	1234.56	123 456%
af	percent	1234567.0	123 456 700%
af	percent	-1234.56	-123 456%
af	percent	1.23E-4	0,0123%
af	percent	-0.0	-0%
af	scientific	0.0	0E0
af	scientific	1.0	1E0
af	scientific	1.2	1,2E0
af	scientific	12.0	1,2E1
af	scientific	123.0	1,23E2
af	scientific	1234.56	1,23456E3
af	scientific	1234567.0	1,234567E6
af	scientific	-1234.56	-1,23456E3
af	scientific	1.23E-4	1,23E-4
af	scientific	-0.0	-0E0
af	compact-short	0.0	0
af	compact-short	1.0	1
af	compact-short	1.2	1,2
af	compact-short	12.0	12
af	compact-short	123.0	123
af	compact-short	1234.56	1,2 k
af	compact-short	1234567.0	1,2 m
af	compact-short	-1234.56	-1,2 k
af	compact-short	1.23E-4	0,00012
af	compact-short	-0.0	-0
af	compact-long	0.0	0
af	compact-long	1.0	1
af	compact-long	1.2	1,2
af	compact-long	12.0	12
af	compact-long	123.0	123
af	compact-long	1234.56	1,2 duisend
af	compact-long	1234567.0	1,2 miljoen
af	compact-long	-1234.56	-1,2 duisend
af	compact-long	1.23E-4	0,00012
af	compact-long	-0.0	-0
ak	decimal	0.0	0
ak	decimal	1.0	1
ak	decimal	1.2	1.2
ak	decimal	12.0	12
ak	decimal	123.0	123
ak	decimal	1234.56	1,234.56
ak	decimal	1234567.0	1,234,567
ak	decimal	-1234.56	-1,234.56
ak	decimal	1.23E-4	0.000123
ak	decimal	-0.0	-0
ak	percent	0.0	0%
ak	percent	1.0	100%
ak	percent	1.2	120%
ak	percent	12.0	1,200%
ak	percent	123.0	12,300%
ak	percent	1234.56	123,456%
ak	percent	1234567.0	123,456,700%
ak	percent	-1234.56	-123,456%
ak	percent	1.23E-4	0.0123%
ak	percent	-0.0	-0%
ak	scientific	0.0	0E0
ak	scientific	1.0	1E0
ak	scientific	1.2	1.2E0
ak	scientific	12.0	1.2E1
ak	scientific	123.0	1.23E2
ak	scientific	1234.56	1.23456E3
ak	scientific	1234567.0	1.234567E6
ak	scientific	-1234.56	-1.23456E3
ak	scientific	1.23E-4	1.23E-4
ak	scientific	-0.0	-0E0
ak	compact-short	0.0	0
ak	compact-short	1.0	1
ak	compact-short	1.2	1.2
ak	compact-short	12.0	12
ak	compact-short	123.0	123
ak	compact-short	1234.56	1.2K
ak	compact-short	1234567.0	1.2M
ak	compact-short	-1234.56	-1.2K
ak	compact-short	1.23E-4	0.00012
ak	compact-short	-0.0	-0
ak	compact-long	0.0	0
ak	compact-long	1.0	1
ak	compact-long	1.2	1.2
ak	compact-long	12.0	12
ak	compact-long	123.0	123
ak	compact-long	1234.56	apem 1.2
ak	compact-long	1234567.0	ɔpepem 1.2
ak	compact-long	-1234.56	-apem 1.2
ak	compact-long	1.23E-4	0.00012
ak	compact-long	-0.0	-0
am	decimal	0.0	0
am	decimal	1.0	1
am	decimal	1.2	1.2
am	decimal	12.0	12
am	decimal	123.0	123
am	decimal	1234.56	1,234.56
am	decimal	1234567.0	1,234,567
am	decimal	-1234.56	-1,234.56
am	decimal	1.23E-4	0.000123
am	decimal	-0.0	-0
am	percent	0.0	0%
am	percent	1.0	100%
am	percent	1.2	120%
am	percent	12.0	1,200%
am	percent	123.0	12,300%
am	percent	1234.56	123,456%
am	percent	1234567.0	123,456,700%
am	percent	-1234.56	-123,456%
am	percent	1.23E-4	0.0123%
am	percent	-0.0	-0%
am	scientific	0.0	0E0
am	scientific	1.0	1E0
am	scientific	1.2	1.2E0
am	scientific	12.0	1.2E1
am	scientific	123.0	1.23E2
am	scientific	1234.56	1.23456E3
am	scientific	1234567.0	1.234567E6
am	scientific	-1234.56	-1.23456E3
am	scientific	1.23E-4	1.23E-4
am	scientific	-0.0	-0E0
am	compact-short	0.0	0
am	compact-short	1.0	1
am	compact-short	1.2	1.2
am	compact-short	12.0	12
am	compact-short	123.0	123
am	compact-short	1234.56	1.2 ሺ
am	compact-short	1234567.0	1.2 ሚ
am	compact-short	-1234.56	-1.2 ሺ
am	compact-short	1.23E-4	0.00012
am	compact-short	-0.0	-0
am	compact-long	0.0	0
am	compact-long	1.0	1
am	compact-long	1.2	1.2
am	compact-long	12.0	12
am	compact-long	123.0	123
am	compact-long	1234.56	1.2 ሺ
am	compact-long	1234567.0	1.2 ሚሊዮን
am	compact-long	-1234.56	-1.2 ሺ
am	compact-long	1.23E-4	0.00012
am	compact-long	-0.0	-0
as	decimal	0.0	০
as	decimal	1.0	১
as	decimal	1.2	১.২
as	decimal	12.0	১২
as	decimal	123.0	১২৩
as	decimal	1234.56	১,২৩৪.৫৬
as	decimal	1234567.0	১২,৩৪,৫৬৭
as	decimal	-1234.56	-১,২৩৪.৫৬
as	decimal	1.23E-4	০.০০০১২৩
as	decimal	-0.0	-০
as	percent	0.0	০%
as	percent	1.0	১০০%
as	percent	1.2	১২০%
as	percent	12.0	১,২০০%
as	percent	123.0	১২,৩০০%
as	percent	1234.56	১,২৩,৪৫৬%
as	percent	1234567.0	১২,৩৪,৫৬,৭০০%
as	percent	-1234.56	-১,২৩,৪৫৬%
as	percent	1.23E-4	০.০১২৩%
as	percent	-0.0	-০%
as	scientific	0.0	০E০
as	scientific	1.0	১E০
as	scientific	1.2	১.২E০
as	scientific	12.0	১.২E১
as	scientific	123.0	১.২৩E২
as	scientific	1234.56	১.২৩৪৫৬E৩
as	scientific	1234567.0	১.২৩৪৫৬৭E৬
as	scientific	-1234.56	-১.২৩৪৫৬E৩
as	scientific	1.23E-4	১.২৩E-৪
as	scientific	-0.0	-০E০
as	compact-short	0.0	০
as	compact-short	1.0	১
as	compact-short	1.2	১.২
as	compact-short	12.0	১২
as	compact-short	123.0	১২৩
as	compact-short	1234.56	১.২ হাজাৰ
as	compact-short	1234567.0	১.২ নিযুত
as	compact-short	-1234.56	-১.২ হাজাৰ
as	compact-short	1.23E-4	০.০০০১২
as	compact-short	-0.0	-০
as	compact-long	0.0	০
as	compact-long	1.0	১
as	compact-long	1.2	১.২
as	compact-long	12.0	১২
as	compact-long	123.0	১২৩
as	compact-long	1234.56	১.২ হাজাৰ
as	compact-long	1234567.0	১.২ নিযুত
as	compact-long	-1234.56	-১.২ হাজাৰ
as	compact-long	1.23E-4	০.০০০১২
as	compact-long	-0.0	-০
az	decimal	0.0	0
az	decimal	1.0	1
az	decimal	1.2	1,2
az	decimal	12.0	12
az	decimal	123.0	123
az	decimal	1234.56	1.234,56
az	decimal	1234567.0	1.234.567
az	decimal	-1234.56	-1.234,56
az	decimal	1.23E-4	0,000123
az	decimal	-0.0	-0
az	percent	0.0	0%
az	percent	1.0	100%
az	percent	1.2	120%
az	percent	12.0	1.200%
az	percent	123.0	12.300%
az	percent	1234.56	123.456%
az	percent	1234567.0	123.456.700%
az	percent	-1234.56	-123.456%
az	percent	1.23E-4	0,0123%
az	percent	-0.0	-0%
az	scientific	0.0	0E0
az	scientific	1.0	1E0
az	scientific	1.2	1,2E0
az	scientific	12.0	1,2E1
az	scientific	123.0	1,23E2
az	scientific	1234.56	1,23456E3
az	scientific	1234567.0	1,234567E6
az	scientific	-1234.56	-1,23456E3
az	scientific	1.23E-4	1,23E-4
az	scientific	-0.0	-0E0
az	compact-short	0.0	0
az	compact-short	1.0	1
az	compact-short	1.2	1,2
az	compact-short	12.0	12
az	compact-short	123.0	123
az	compact-short	1234.56	1,2K
az	compact-short	1234567.0	1,2 mln
az	compact-short	-1234.56	-1,2K
az	compact-short	1.23E-4	0,00012
az	compact-short	-0.0	-0
az	compact-long	0.0	0
az	compact-long	1.0	1
az	compact-long	1.2	1,2
az	compact-long	12.0	12
az	compact-long	123.0	123
az	compact-long	1234.56	1,2 min
az	compact-long	1234567.0	1,2 milyon
az	compact-long	-1234.56	-1,2 min
az	compact-long	1.23E-4	0,00012
az	compact-long	-0.0	-0
az_Latn	decimal	0.0	0
az_Latn	decimal	1.0	1
az_Latn	decimal	1.2	1,2
az_Latn	decimal	12.0	12
az_Latn	decimal	123.0	123
az_Latn	decimal	1234.56	1.234,56
az_Latn	decimal	1234567.0	1.234.567
az_Latn	decimal	-1234.56	-1.234,56
az_Latn	decimal	1.23E-4	0,000123
az_Latn	decimal	-0.0	-0
az_Latn	percent	0.0	0%
az_Latn	percent	1.0	100%
az_Latn	percent	1.2	120%
az_Latn	percent	12.0	1.200%
az_Latn	percent	123.0	12.300%
az_Latn	percent	1234.56	123.456%
az_Latn	percent	1234567.0	123.456.700%
