locale	number_format	compact_length	currency_length	currency	input	expected
ar	compact-currency	short	long	USD	-5.0E12	‎-5 ترليون دولار أمريكي
ar	compact-currency	short	long	USD	-1.5E12	‎-1.5 ترليون دولار أمريكي
ar	compact-currency	short	long	USD	-1.0E12	‎-1 ترليون دولار أمريكي
ar	compact-currency	short	long	USD	-5.0E11	‎-500 مليار دولار أمريكي
ar	compact-currency	short	long	USD	-1.5E11	‎-150 مليار دولار أمريكي
ar	compact-currency	short	long	USD	-1.0E11	‎-100 مليار دولار أمريكي
ar	compact-currency	short	long	USD	-5.0E10	‎-50 مليار دولار أمريكي
ar	compact-currency	short	long	USD	-1.5E10	‎-15 مليار دولار أمريكي
ar	compact-currency	short	long	USD	-1.0E10	‎-10 مليار دولار أمريكي
ar	compact-currency	short	long	USD	-5.0E9	‎-5 مليار دولار أمريكي
ar	compact-currency	short	long	USD	-1.5E9	‎-1.5 مليار دولار أمريكي
ar	compact-currency	short	long	USD	-1.0E9	‎-1 مليار دولار أمريكي
ar	compact-currency	short	long	USD	-5.0E8	‎-500 مليون دولار أمريكي
ar	compact-currency	short	long	USD	-1.5E8	‎-150 مليون دولار أمريكي
ar	compact-currency	short	long	USD	-1.0E8	‎-100 مليون دولار أمريكي
ar	compact-currency	short	long	USD	-5.0E7	‎-50 مليون دولار أمريكي
ar	compact-currency	short	long	USD	-1.5E7	‎-15 مليون دولار أمريكي
ar	compact-currency	short	long	USD	-1.0E7	‎-10 مليون دولار أمريكي
ar	compact-currency	short	long	USD	-5000000.0	‎-5 مليون دولار أمريكي
ar	compact-currency	short	long	USD	-1500000.0	‎-1.5 مليون دولار أمريكي
ar	compact-currency	short	long	USD	-1234567.0	‎-1.2 مليون دولار أمريكي
ar	compact-currency	short	long	USD	-1234565.0	‎-1.2 مليون دولار أمريكي
ar	compact-currency	short	long	USD	-1000000.0	‎-1 مليون دولار أمريكي
ar	compact-currency	short	long	USD	-999999.9	‎-1 مليون دولار أمريكي
ar	compact-currency	short	long	USD	-500000.0	‎-500 ألف دولار أمريكي
ar	compact-currency	short	long	USD	-150000.0	‎-150 ألف دولار أمريكي
ar	compact-currency	short	long	USD	-100000.0	‎-100 ألف دولار أمريكي
ar	compact-currency	short	long	USD	-50000.0	‎-50 ألف دولار أمريكي
ar	compact-currency	short	long	USD	-15000.0	‎-15 ألف دولار أمريكي
ar	compact-currency	short	long	USD	-10000.0	‎-10 ألف دولار أمريكي
ar	compact-currency	short	long	USD	-5000.0	‎-5 آلاف دولار أمريكي
ar	compact-currency	short	long	USD	-1500.0	‎-1.5 ألف دولار أمريكي
ar	compact-currency	short	long	USD	-1234.56	‎-1.2 ألف دولار أمريكي
ar	compact-currency	short	long	USD	-1000.0	‎-1 ألف دولار أمريكي
ar	compact-currency	short	long	USD	-999.9	‎-1 ألف دولار أمريكي
ar	compact-currency	short	long	USD	-500.0	‎-500 دولار أمريكي
ar	compact-currency	short	long	USD	-150.0	‎-150 دولار أمريكي
