locale	number_format	format_length	input	expected
ar	decimal		-5.0E12	‎-5,000,000,000,000
ar	decimal		-1.5E12	‎-1,500,000,000,000
ar	decimal		-1.0E12	‎-1,000,000,000,000
ar	decimal		-5.0E11	‎-500,000,000,000
ar	decimal		-1.5E11	‎-150,000,000,000
ar	decimal		-1.0E11	‎-100,000,000,000
ar	decimal		-5.0E10	‎-50,000,000,000
ar	decimal		-1.5E10	‎-15,000,000,000
ar	decimal		-1.0E10	‎-10,000,000,000
ar	decimal		-5.0E9	‎-5,000,000,000
ar	decimal		-1.5E9	‎-1,500,000,000
ar	decimal		-1.0E9	‎-1,000,000,000
ar	decimal		-5.0E8	‎-500,000,000
ar	decimal		-1.5E8	‎-150,000,000
ar	decimal		-1.0E8	‎-100,000,000
ar	decimal		-5.0E7	‎-50,000,000
ar	decimal		-1.5E7	‎-15,000,000
ar	decimal		-1.0E7	‎-10,000,000
ar	decimal		-5000000.0	‎-5,000,000
ar	decimal		-1500000.0	‎-1,500,000
ar	decimal		-1234567.0	‎-1,234,567
ar	decimal		-1234565.0	‎-1,234,565
ar	decimal		-1000000.0	‎-1,000,000
ar	decimal		-999999.9	‎-999,999.9
ar	decimal		-500000.0	‎-500,000
ar	decimal		-150000.0	‎-150,000
ar	decimal		-100000.0	‎-100,000
ar	decimal		-50000.0	‎-50,000
ar	decimal		-15000.0	‎-15,000
ar	decimal		-10000.0	‎-10,000
ar	decimal		-5000.0	‎-5,000
ar	decimal		-1500.0	‎-1,500
ar	decimal		-1234.56	‎-1,234.56
ar	decimal		-1000.0	‎-1,000
ar	decimal		-999.9	‎-999.9
ar	decimal		-500.0	‎-500
ar	decimal		-150.0	‎-150
ar	decimal		-123.0	‎-123
ar	decimal		-100.0	‎-100
ar	decimal		-50.0	‎-50
ar	decimal		-15.0	‎-15
ar	decimal		-12.0	‎-12
ar	decimal		-10.0	‎-10
ar	decimal		-5.0	‎-5
ar	decimal		-3.5	‎-3.5
ar	decimal		-2.5	‎-2.5
ar	decimal		-1.5	‎-1.5
ar	decimal		-1.2	‎-1.2
ar	decimal		-1.0	‎-1
ar	decimal		-0.5	‎-0.5
ar	decimal		-0.15000000000000002	‎-0.15
ar	decimal		-0.135	‎-0.135
ar	decimal		-0.125	‎-0.125
ar	decimal		-0.1	‎-0.1
ar	decimal		-0.05	‎-0.05
ar	decimal		-0.015	‎-0.015
ar	decimal		-0.01	‎-0.01
ar	decimal		-0.00831765	‎-0.008318
ar	decimal		-0.005	‎-0.005
ar	decimal		-0.0015	‎-0.0015
ar	decimal		-0.001	‎-0.001
ar	decimal		-5.0E-4	‎-0.0005
ar	decimal		-1.5000000000000001E-4	‎-0.00015
ar	decimal		-1.23E-4	‎-0.000123
ar	decimal		-1.0E-4	‎-0.0001
ar	decimal		-5.0E-5	‎-0.00005
ar	decimal		-1.5000000000000002E-5	‎-0.000015
ar	decimal		-1.0E-5	‎-0.00001
ar	decimal		-4.9999999999999996E-6	‎-0.000005
ar	decimal		-1.5E-6	‎-0.000002
ar	decimal		-1.0E-6	‎-0.000001
ar	decimal		-0.0	‎-0
ar	decimal		1.0E-6	0.000001
ar	decimal		1.5E-6	0.000002
ar	decimal		4.9999999999999996E-6	0.000005
ar	decimal		1.0E-5	0.00001
ar	decimal		1.5000000000000002E-5	0.000015
ar	decimal		5.0E-5	0.00005
ar	decimal		1.0E-4	0.0001
ar	decimal		1.23E-4	0.000123
ar	decimal		1.5000000000000001E-4	0.00015
ar	decimal		5.0E-4	0.0005
