locale	number_format	format_length	currency	input	expected
af	compact-currency	short	USD	0.0	USD 0
af	compact-currency	short	USD	1.2	USD 1,2
af	compact-currency	short	USD	0.00831765	USD 0,0083
af	compact-currency	short	USD	1234565.0	USD 1,2 m
af	compact-currency	short	USD	-1230.05	-USD 1,2 k
af	compact-currency	short	EUR	0.0	€0
af	compact-currency	short	EUR	1.2	€1,2
af	compact-currency	short	EUR	0.00831765	€0,0083
af	compact-currency	short	EUR	1234565.0	€1,2 m
af	compact-currency	short	EUR	-1230.05	-€1,2 k
af	compact-currency	short	JPY	0.0	JP¥0
af	compact-currency	short	JPY	1.2	JP¥1,2
af	compact-currency	short	JPY	0.00831765	JP¥0,0083
af	compact-currency	short	JPY	1234565.0	JP¥1,2 m
af	compact-currency	short	JPY	-1230.05	-JP¥1,2 k
af	compact-currency	short	CHF	0.0	CHF 0
af	compact-currency	short	CHF	1.2	CHF 1,2
af	compact-currency	short	CHF	0.00831765	CHF 0,0083
af	compact-currency	short	CHF	1234565.0	CHF 1,2 m
af	compact-currency	short	CHF	-1230.05	-CHF 1,2 k
af	compact-currency	short	INR	0.0	₹0
af	compact-currency	short	INR	1.2	₹1,2
af	compact-currency	short	INR	0.00831765	₹0,0083
af	compact-currency	short	INR	1234565.0	₹1,2 m
af	compact-currency	short	INR	-1230.05	-₹1,2 k
af	compact-currency	short	EGP	0.0	EGP 0
af	compact-currency	short	EGP	1.2	EGP 1,2
af	compact-currency	short	EGP	0.00831765	EGP 0,0083
af	compact-currency	short	EGP	1234565.0	EGP 1,2 m
af	compact-currency	short	EGP	-1230.05	-EGP 1,2 k
af	compact-currency	long	USD	0.0	USD 0
af	compact-currency	long	USD	1.2	USD 1,2
af	compact-currency	long	USD	0.00831765	USD 0,0083
af	compact-currency	long	USD	1234565.0	USD 1,2 m
af	compact-currency	long	USD	-1230.05	-USD 1,2 k
af	compact-currency	long	EUR	0.0	€0
af	compact-currency	long	EUR	1.2	€1,2
af	compact-currency	long	EUR	0.00831765	€0,0083
af	compact-currency	long	EUR	1234565.0	€1,2 m
af	compact-currency	long	EUR	-1230.05	-€1,2 k
af	compact-currency	long	JPY	0.0	JP¥0
af	compact-currency	long	JPY	1.2	JP¥1,2
af	compact-currency	long	JPY	0.00831765	JP¥0,0083
af	compact-currency	long	JPY	1234565.0	JP¥1,2 m
af	compact-currency	long	JPY	-1230.05	-JP¥1,2 k
af	compact-currency	long	CHF	0.0	CHF 0
af	compact-currency	long	CHF	1.2	CHF 1,2
af	compact-currency	long	CHF	0.00831765	CHF 0,0083
af	compact-currency	long	CHF	1234565.0	CHF 1,2 m
af	compact-currency	long	CHF	-1230.05	-CHF 1,2 k
af	compact-currency	long	INR	0.0	₹0
af	compact-currency	long	INR	1.2	₹1,2
af	compact-currency	long	INR	0.00831765	₹0,0083
af	compact-currency	long	INR	1234565.0	₹1,2 m
af	compact-currency	long	INR	-1230.05	-₹1,2 k
af	compact-currency	long	EGP	0.0	EGP 0
af	compact-currency	long	EGP	1.2	EGP 1,2
af	compact-currency	long	EGP	0.00831765	EGP 0,0083
af	compact-currency	long	EGP	1234565.0	EGP 1,2 m
af	compact-currency	long	EGP	-1230.05	-EGP 1,2 k
am	compact-currency	short	USD	0.0	US$0
am	compact-currency	short	USD	1.2	US$1.2
am	compact-currency	short	USD	0.00831765	US$0.0083
am	compact-currency	short	USD	1234565.0	US$1.2 ሚ
am	compact-currency	short	USD	-1230.05	-US$1.2 ሺ
am	compact-currency	short	EUR	0.0	€0
am	compact-currency	short	EUR	1.2	€1.2
am	compact-currency	short	EUR	0.00831765	€0.0083
am	compact-currency	short	EUR	1234565.0	€1.2 ሚ
am	compact-currency	short	EUR	-1230.05	-€1.2 ሺ
am	compact-currency	short	JPY	0.0	JP¥0
am	compact-currency	short	JPY	1.2	JP¥1.2
am	compact-currency	short	JPY	0.00831765	JP¥0.0083
am	compact-currency	short	JPY	1234565.0	JP¥1.2 ሚ
am	compact-currency	short	JPY	-1230.05	-JP¥1.2 ሺ
am	compact-currency	short	CHF	0.0	CHF 0
am	compact-currency	short	CHF	1.2	CHF 1.2
am	compact-currency	short	CHF	0.00831765	CHF 0.0083
am	compact-currency	short	CHF	1234565.0	CHF 1.2 ሚ
am	compact-currency	short	CHF	-1230.05	-CHF 1.2 ሺ
am	compact-currency	short	INR	0.0	₹0
am	compact-currency	short	INR	1.2	₹1.2
am	compact-currency	short	INR	0.00831765	₹0.0083
am	compact-currency	short	INR	1234565.0	₹1.2 ሚ
am	compact-currency	short	INR	-1230.05	-₹1.2 ሺ
am	compact-currency	short	EGP	0.0	EGP 0
am	compact-currency	short	EGP	1.2	EGP 1.2
am	compact-currency	short	EGP	0.00831765	EGP 0.0083
am	compact-currency	short	EGP	1234565.0	EGP 1.2 ሚ
am	compact-currency	short	EGP	-1230.05	-EGP 1.2 ሺ
am	compact-currency	long	USD	0.0	US$0
am	compact-currency	long	USD	1.2	US$1.2
am	compact-currency	long	USD	0.00831765	US$0.0083
am	compact-currency	long	USD	1234565.0	US$1.2 ሚ
am	compact-currency	long	USD	-1230.05	-US$1.2 ሺ
am	compact-currency	long	EUR	0.0	€0
am	compact-currency	long	EUR	1.2	€1.2
am	compact-currency	long	EUR	0.00831765	€0.0083
am	compact-currency	long	EUR	1234565.0	€1.2 ሚ
am	compact-currency	long	EUR	-1230.05	-€1.2 ሺ
am	compact-currency	long	JPY	0.0	JP¥0
am	compact-currency	long	JPY	1.2	JP¥1.2
am	compact-currency	long	JPY	0.00831765	JP¥0.0083
am	compact-currency	long	JPY	1234565.0	JP¥1.2 ሚ
am	compact-currency	long	JPY	-1230.05	-JP¥1.2 ሺ
am	compact-currency	long	CHF	0.0	CHF 0
am	compact-currency	long	CHF	1.2	CHF 1.2
am	compact-currency	long	CHF	0.00831765	CHF 0.0083
am	compact-currency	long	CHF	1234565.0	CHF 1.2 ሚ
am	compact-currency	long	CHF	-1230.05	-CHF 1.2 ሺ
am	compact-currency	long	INR	0.0	₹0
am	compact-currency	long	INR	1.2	₹1.2
am	compact-currency	long	INR	0.00831765	₹0.0083
am	compact-currency	long	INR	1234565.0	₹1.2 ሚ
am	compact-currency	long	INR	-1230.05	-₹1.2 ሺ
am	compact-currency	long	EGP	0.0	EGP 0
am	compact-currency	long	EGP	1.2	EGP 1.2
am	compact-currency	long	EGP	0.00831765	EGP 0.0083
am	compact-currency	long	EGP	1234565.0	EGP 1.2 ሚ
am	compact-currency	long	EGP	-1230.05	-EGP 1.2 ሺ
as	compact-currency	short	USD	0.0	US$ ০
as	compact-currency	short	USD	1.2	US$ ১.২
as	compact-currency	short	USD	0.00831765	US$ ০.০০৮৩
as	compact-currency	short	USD	1234565.0	US$ ১.২ নিযুত
as	compact-currency	short	USD	-1230.05	-US$ ১.২ হাজাৰ
as	compact-currency	short	EUR	0.0	€ ০
as	compact-currency	short	EUR	1.2	€ ১.২
as	compact-currency	short	EUR	0.00831765	€ ০.০০৮৩
as	compact-currency	short	EUR	1234565.0	€ ১.২ নিযুত
as	compact-currency	short	EUR	-1230.05	-€ ১.২ হাজাৰ
as	compact-currency	short	JPY	0.0	JP¥ ০
as	compact-currency	short	JPY	1.2	JP¥ ১.২
as	compact-currency	short	JPY	0.00831765	JP¥ ০.০০৮৩
as	compact-currency	short	JPY	1234565.0	JP¥ ১.২ নিযুত
as	compact-currency	short	JPY	-1230.05	-JP¥ ১.২ হাজাৰ
as	compact-currency	short	CHF	0.0	CHF ০
as	compact-currency	short	CHF	1.2	CHF ১.২
as	compact-currency	short	CHF	0.00831765	CHF ০.০০৮৩
as	compact-currency	short	CHF	1234565.0	CHF ১.২ নিযুত
as	compact-currency	short	CHF	-1230.05	-CHF ১.২ হাজাৰ
as	compact-currency	short	INR	0.0	₹ ০
as	compact-currency	short	INR	1.2	₹ ১.২
as	compact-currency	short	INR	0.00831765	₹ ০.০০৮৩
as	compact-currency	short	INR	1234565.0	₹ ১.২ নিযুত
as	compact-currency	short	INR	-1230.05	-₹ ১.২ হাজাৰ
as	compact-currency	short	EGP	0.0	EGP ০
as	compact-currency	short	EGP	1.2	EGP ১.২
as	compact-currency	short	EGP	0.00831765	EGP ০.০০৮৩
as	compact-currency	short	EGP	1234565.0	EGP ১.২ নিযুত
as	compact-currency	short	EGP	-1230.05	-EGP ১.২ হাজাৰ
as	compact-currency	long	USD	0.0	US$ ০
as	compact-currency	long	USD	1.2	US$ ১.২
as	compact-currency	long	USD	0.00831765	US$ ০.০০৮৩
as	compact-currency	long	USD	1234565.0	US$ ১.২ নিযুত
as	compact-currency	long	USD	-1230.05	-US$ ১.২ হাজাৰ
as	compact-currency	long	EUR	0.0	€ ০
as	compact-currency	long	EUR	1.2	€ ১.২
as	compact-currency	long	EUR	0.00831765	€ ০.০০৮৩
as	compact-currency	long	EUR	1234565.0	€ ১.২ নিযুত
as	compact-currency	long	EUR	-1230.05	-€ ১.২ হাজাৰ
as	compact-currency	long	JPY	0.0	JP¥ ০
as	compact-currency	long	JPY	1.2	JP¥ ১.২
as	compact-currency	long	JPY	0.00831765	JP¥ ০.০০৮৩
as	compact-currency	long	JPY	1234565.0	JP¥ ১.২ নিযুত
as	compact-currency	long	JPY	-1230.05	-JP¥ ১.২ হাজাৰ
as	compact-currency	long	CHF	0.0	CHF ০
as	compact-currency	long	CHF	1.2	CHF ১.২
as	compact-currency	long	CHF	0.00831765	CHF ০.০০৮৩
as	compact-currency	long	CHF	1234565.0	CHF ১.২ নিযুত
as	compact-currency	long	CHF	-1230.05	-CHF ১.২ হাজাৰ
as	compact-currency	long	INR	0.0	₹ ০
as	compact-currency	long	INR	1.2	₹ ১.২
as	compact-currency	long	INR	0.00831765	₹ ০.০০৮৩
as	compact-currency	long	INR	1234565.0	₹ ১.২ নিযুত
as	compact-currency	long	INR	-1230.05	-₹ ১.২ হাজাৰ
as	compact-currency	long	EGP	0.0	EGP ০
as	compact-currency	long	EGP	1.2	EGP ১.২
as	compact-currency	long	EGP	0.00831765	EGP ০.০০৮৩
as	compact-currency	long	EGP	1234565.0	EGP ১.২ নিযুত
as	compact-currency	long	EGP	-1230.05	-EGP ১.২ হাজাৰ
az	compact-currency	short	USD	0.0	0 US$
az	compact-currency	short	USD	1.2	1,2 US$
az	compact-currency	short	USD	0.00831765	0,0083 US$
az	compact-currency	short	USD	1234565.0	1,2 mln US$
az	compact-currency	short	USD	-1230.05	-1,2K US$
az	compact-currency	short	EUR	0.0	0 €
az	compact-currency	short	EUR	1.2	1,2 €
az	compact-currency	short	EUR	0.00831765	0,0083 €
az	compact-currency	short	EUR	1234565.0	1,2 mln €
az	compact-currency	short	EUR	-1230.05	-1,2K €
az	compact-currency	short	JPY	0.0	0 JP¥
az	compact-currency	short	JPY	1.2	1,2 JP¥
az	compact-currency	short	JPY	0.00831765	0,0083 JP¥
az	compact-currency	short	JPY	1234565.0	1,2 mln JP¥
az	compact-currency	short	JPY	-1230.05	-1,2K JP¥
az	compact-currency	short	CHF	0.0	0 CHF
az	compact-currency	short	CHF	1.2	1,2 CHF
az	compact-currency	short	CHF	0.00831765	0,0083 CHF
az	compact-currency	short	CHF	1234565.0	1,2 mln CHF
az	compact-currency	short	CHF	-1230.05	-1,2K CHF
az	compact-currency	short	INR	0.0	0 ₹
az	compact-currency	short	INR	1.2	1,2 ₹
az	compact-currency	short	INR	0.00831765	0,0083 ₹
az	compact-currency	short	INR	1234565.0	1,2 mln ₹
az	compact-currency	short	INR	-1230.05	-1,2K ₹
az	compact-currency	short	EGP	0.0	0 EGP
az	compact-currency	short	EGP	1.2	1,2 EGP
az	compact-currency	short	EGP	0.00831765	0,0083 EGP
az	compact-currency	short	EGP	1234565.0	1,2 mln EGP
az	compact-currency	short	EGP	-1230.05	-1,2K EGP
az	compact-currency	long	USD	0.0	0 US$
az	compact-currency	long	USD	1.2	1,2 US$
az	compact-currency	long	USD	0.00831765	0,0083 US$
az	compact-currency	long	USD	1234565.0	1,2 mln US$
az	compact-currency	long	USD	-1230.05	-1,2K US$
az	compact-currency	long	EUR	0.0	0 €
az	compact-currency	long	EUR	1.2	1,2 €
az	compact-currency	long	EUR	0.00831765	0,0083 €
az	compact-currency	long	EUR	1234565.0	1,2 mln €
az	compact-currency	long	EUR	-1230.05	-1,2K €
az	compact-currency	long	JPY	0.0	0 JP¥
az	compact-currency	long	JPY	1.2	1,2 JP¥
az	compact-currency	long	JPY	0.00831765	0,0083 JP¥
az	compact-currency	long	JPY	1234565.0	1,2 mln JP¥
az	compact-currency	long	JPY	-1230.05	-1,2K JP¥
az	compact-currency	long	CHF	0.0	0 CHF
az	compact-currency	long	CHF	1.2	1,2 CHF
az	compact-currency	long	CHF	0.00831765	0,0083 CHF
az	compact-currency	long	CHF	1234565.0	1,2 mln CHF
