locale	style	input	expected
en_US	decimal	-5.0E12	-5,000,000,000,000
en_US	decimal	-1.5E12	-1,500,000,000,000
en_US	decimal	-1.0E12	-1,000,000,000,000
en_US	decimal	-5.0E11	-500,000,000,000
en_US	decimal	-1.5E11	-150,000,000,000
en_US	decimal	-1.0E11	-100,000,000,000
en_US	decimal	-5.0E10	-50,000,000,000
en_US	decimal	-1.5E10	-15,000,000,000
en_US	decimal	-1.0E10	-10,000,000,000
en_US	decimal	-5.0E9	-5,000,000,000
en_US	decimal	-1.5E9	-1,500,000,000
en_US	decimal	-1.0E9	-1,000,000,000
en_US	decimal	-5.0E8	-500,000,000
en_US	decimal	-1.5E8	-150,000,000
en_US	decimal	-1.0E8	-100,000,000
en_US	decimal	-5.0E7	-50,000,000
en_US	decimal	-1.5E7	-15,000,000
en_US	decimal	-1.0E7	-10,000,000
en_US	decimal	-5000000.0	-5,000,000
en_US	decimal	-1500000.0	-1,500,000
en_US	decimal	-1234567.0	-1,234,567
en_US	decimal	-1000000.0	-1,000,000
en_US	decimal	-999999.9	-999,999.9
en_US	decimal	-500000.0	-500,000
en_US	decimal	-150000.0	-150,000
en_US	decimal	-100000.0	-100,000
en_US	decimal	-50000.0	-50,000
en_US	decimal	-15000.0	-15,000
en_US	decimal	-10000.0	-10,000
en_US	decimal	-5000.0	-5,000
en_US	decimal	-1500.0	-1,500
en_US	decimal	-1000.0	-1,000
en_US	decimal	-999.9	-999.9
en_US	decimal	-500.0	-500
en_US	decimal	-150.0	-150
en_US	decimal	-123.0	-123
en_US	decimal	-100.0	-100
en_US	decimal	-50.0	-50
en_US	decimal	-15.0	-15
en_US	decimal	-12.0	-12
en_US	decimal	-10.0	-10
en_US	decimal	-5.0	-5
en_US	decimal	-3.5	-3.5
en_US	decimal	-2.5	-2.5
en_US	decimal	-1.5	-1.5
en_US	decimal	-1.2	-1.2
en_US	decimal	-1.0	-1
en_US	decimal	-0.5	-0.5
en_US	decimal	-0.15000000000000002	-0.15
en_US	decimal	-0.135	-0.135
en_US	decimal	-0.125	-0.125
en_US	decimal	-0.1	-0.1
en_US	decimal	-0.05	-0.05
en_US	decimal	-0.015	-0.015
en_US	decimal	-0.01	-0.01
en_US	decimal	-0.005	-0.005
en_US	decimal	-0.0015	-0.0015
en_US	decimal	-0.001	-0.001
en_US	decimal	-5.0E-4	-0.0005
en_US	decimal	-1.5000000000000001E-4	-0.00015
en_US	decimal	-1.23E-4	-0.000123
en_US	decimal	-1.0E-4	-0.0001
en_US	decimal	-5.0E-5	-0.00005
en_US	decimal	-1.5000000000000002E-5	-0.000015
en_US	decimal	-1.0E-5	-0.00001
en_US	decimal	-4.9999999999999996E-6	-0.000005
en_US	decimal	-1.5E-6	-0.000002
en_US	decimal	-1.0E-6	-0.000001
en_US	decimal	1.0E-6	0.000001
en_US	decimal	1.5E-6	0.000002
en_US	decimal	4.9999999999999996E-6	0.000005
en_US	decimal	1.0E-5	0.00001
en_US	decimal	1.5000000000000002E-5	0.000015
en_US	decimal	5.0E-5	0.00005
en_US	decimal	1.0E-4	0.0001
en_US	decimal	1.5000000000000001E-4	0.00015
en_US	decimal	5.0E-4	0.0005
en_US	decimal	0.001	0.001
en_US	decimal	0.0015	0.0015
en_US	decimal	0.005	0.005
en_US	decimal	0.01	0.01
en_US	decimal	0.015	0.015
en_US	decimal	0.05	0.05
en_US	decimal	0.1	0.1
en_US	decimal	0.125	0.125
en_US	decimal	0.135	0.135
en_US	decimal	0.15000000000000002	0.15
en_US	decimal	0.5	0.5
en_US	decimal	1.5	1.5
en_US	decimal	2.5	2.5
en_US	decimal	3.5	3.5
en_US	decimal	5.0	5
en_US	decimal	10.0	10
en_US	decimal	15.0	15
en_US	decimal	50.0	50
en_US	decimal	100.0	100
en_US	decimal	150.0	150
en_US	decimal	500.0	500
en_US	decimal	999.9	999.9
en_US	decimal	1000.0	1,000
en_US	decimal	1500.0	1,500
en_US	decimal	5000.0	5,000
en_US	decimal	10000.0	10,000
en_US	decimal	15000.0	15,000
en_US	decimal	50000.0	50,000
en_US	decimal	100000.0	100,000
en_US	decimal	150000.0	150,000
en_US	decimal	500000.0	500,000
en_US	decimal	999999.9	999,999.9
en_US	decimal	1000000.0	1,000,000
en_US	decimal	1500000.0	1,500,000
en_US	decimal	5000000.0	5,000,000
en_US	decimal	1.0E7	10,000,000
en_US	decimal	1.5E7	15,000,000
en_US	decimal	5.0E7	50,000,000
en_US	decimal	1.0E8	100,000,000
en_US	decimal	1.5E8	150,000,000
en_US	decimal	5.0E8	500,000,000
en_US	decimal	1.0E9	1,000,000,000
en_US	decimal	1.5E9	1,500,000,000
en_US	decimal	5.0E9	5,000,000,000
en_US	decimal	1.0E10	10,000,000,000
en_US	decimal	1.5E10	15,000,000,000
en_US	decimal	5.0E10	50,000,000,000
en_US	decimal	1.0E11	100,000,000,000
en_US	decimal	1.5E11	150,000,000,000
en_US	decimal	5.0E11	500,000,000,000
en_US	decimal	1.0E12	1,000,000,000,000
en_US	decimal	1.5E12	1,500,000,000,000
en_US	decimal	5.0E12	5,000,000,000,000
en_US	percent	-5.0E12	-500,000,000,000,000%
en_US	percent	-1.5E12	-150,000,000,000,000%
en_US	percent	-1.0E12	-100,000,000,000,000%
en_US	percent	-5.0E11	-50,000,000,000,000%
en_US	percent	-1.5E11	-15,000,000,000,000%
en_US	percent	-1.0E11	-10,000,000,000,000%
en_US	percent	-5.0E10	-5,000,000,000,000%
en_US	percent	-1.5E10	-1,500,000,000,000%
en_US	percent	-1.0E10	-1,000,000,000,000%
en_US	percent	-5.0E9	-500,000,000,000%
en_US	percent	-1.5E9	-150,000,000,000%
en_US	percent	-1.0E9	-100,000,000,000%
en_US	percent	-5.0E8	-50,000,000,000%
en_US	percent	-1.5E8	-15,000,000,000%
en_US	percent	-1.0E8	-10,000,000,000%
en_US	percent	-5.0E7	-5,000,000,000%
en_US	percent	-1.5E7	-1,500,000,000%
en_US	percent	-1.0E7	-1,000,000,000%
en_US	percent	-5000000.0	-500,000,000%
en_US	percent	-1500000.0	-150,000,000%
en_US	percent	-1234567.0	-123,456,700%
en_US	percent	-1000000.0	-100,000,000%
en_US	percent	-999999.9	-99,999,990%
en_US	percent	-500000.0	-50,000,000%
en_US	percent	-150000.0	-15,000,000%
en_US	percent	-100000.0	-10,000,000%
en_US	percent	-50000.0	-5,000,000%
en_US	percent	-15000.0	-1,500,000%
en_US	percent	-10000.0	-1,000,000%
en_US	percent	-5000.0	-500,000%
en_US	percent	-1500.0	-150,000%
en_US	percent	-1000.0	-100,000%
en_US	percent	-999.9	-99,990%
en_US	percent	-500.0	-50,000%
en_US	percent	-150.0	-15,000%
en_US	percent	-123.0	-12,300%
en_US	percent	-100.0	-10,000%
en_US	percent	-50.0	-5,000%
en_US	percent	-15.0	-1,500%
en_US	percent	-12.0	-1,200%
en_US	percent	-10.0	-1,000%
en_US	percent	-5.0	-500%
en_US	percent	-3.5	-350%
en_US	percent	-2.5	-250%
en_US	percent	-1.5	-150%
en_US	percent	-1.2	-120%
en_US	percent	-1.0	-100%
en_US	percent	-0.5	-50%
en_US	percent	-0.15000000000000002	-15%
en_US	percent	-0.135	-13.5%
en_US	percent	-0.125	-12.5%
en_US	percent	-0.1	-10%
en_US	percent	-0.05	-5%
en_US	percent	-0.015	-1.5%
en_US	percent	-0.01	-1%
en_US	percent	-0.005	-0.5%
en_US	percent	-0.0015	-0.15%
en_US	percent	-0.001	-0.1%
en_US	percent	-5.0E-4	-0.05%
en_US	percent	-1.5000000000000001E-4	-0.015%
en_US	percent	-1.23E-4	-0.0123%
en_US	percent	-1.0E-4	-0.01%
en_US	percent	-5.0E-5	-0.005%
en_US	percent	-1.5000000000000002E-5	-0.0015%
en_US	percent	-1.0E-5	-0.001%
en_US	percent	-4.9999999999999996E-6	-0.0005%
en_US	percent	-1.5E-6	-0.00015%
en_US	percent	-1.0E-6	-0.0001%
en_US	percent	1.0E-6	0.0001%
en_US	percent	1.5E-6	0.00015%
en_US	percent	4.9999999999999996E-6	0.0005%
en_US	percent	1.0E-5	0.001%
en_US	percent	1.5000000000000002E-5	0.0015%
en_US	percent	5.0E-5	0.005%
en_US	percent	1.0E-4	0.01%
en_US	percent	1.5000000000000001E-4	0.015%
en_US	percent	5.0E-4	0.05%
en_US	percent	0.001	0.1%
en_US	percent	0.0015	0.15%
en_US	percent	0.005	0.5%
en_US	percent	0.01	1%
en_US	percent	0.015	1.5%
en_US	percent	0.05	5%
en_US	percent	0.1	10%
en_US	percent	0.125	12.5%
en_US	percent	0.135	13.5%
en_US	percent	0.15000000000000002	15%
en_US	percent	0.5	50%
en_US	percent	1.5	150%
en_US	percent	2.5	250%
en_US	percent	3.5	350%
en_US	percent	5.0	500%
en_US	percent	10.0	1,000%
en_US	percent	15.0	1,500%
en_US	percent	50.0	5,000%
en_US	percent	100.0	10,000%
en_US	percent	150.0	15,000%
en_US	percent	500.0	50,000%
en_US	percent	999.9	99,990%
en_US	percent	1000.0	100,000%
en_US	percent	1500.0	150,000%
en_US	percent	5000.0	500,000%
en_US	percent	10000.0	1,000,000%
en_US	percent	15000.0	1,500,000%
en_US	percent	50000.0	5,000,000%
en_US	percent	100000.0	10,000,000%
en_US	percent	150000.0	15,000,000%
en_US	percent	500000.0	50,000,000%
en_US	percent	999999.9	99,999,990%
en_US	percent	1000000.0	100,000,000%
en_US	percent	1500000.0	150,000,000%
en_US	percent	5000000.0	500,000,000%
en_US	percent	1.0E7	1,000,000,000%
en_US	percent	1.5E7	1,500,000,000%
en_US	percent	5.0E7	5,000,000,000%
en_US	percent	1.0E8	10,000,000,000%
en_US	percent	1.5E8	15,000,000,000%
en_US	percent	5.0E8	50,000,000,000%
en_US	percent	1.0E9	100,000,000,000%
en_US	percent	1.5E9	150,000,000,000%
en_US	percent	5.0E9	500,000,000,000%
en_US	percent	1.0E10	1,000,000,000,000%
en_US	percent	1.5E10	1,500,000,000,000%
en_US	percent	5.0E10	5,000,000,000,000%
en_US	percent	1.0E11	10,000,000,000,000%
en_US	percent	1.5E11	15,000,000,000,000%
en_US	percent	5.0E11	50,000,000,000,000%
en_US	percent	1.0E12	100,000,000,000,000%
en_US	percent	1.5E12	150,000,000,000,000%
en_US	percent	5.0E12	500,000,000,000,000%
en_US	scientific	-5.0E12	-5E12
en_US	scientific	-1.5E12	-1.5E12
en_US	scientific	-1.0E12	-1E12
en_US	scientific	-5.0E11	-5E11
en_US	scientific	-1.5E11	-1.5E11
en_US	scientific	-1.0E11	-1E11
en_US	scientific	-5.0E10	-5E10
en_US	scientific	-1.5E10	-1.5E10
en_US	scientific	-1.0E10	-1E10
en_US	scientific	-5.0E9	-5E9
en_US	scientific	-1.5E9	-1.5E9
en_US	scientific	-1.0E9	-1E9
en_US	scientific	-5.0E8	-5E8
en_US	scientific	-1.5E8	-1.5E8
en_US	scientific	-1.0E8	-1E8
en_US	scientific	-5.0E7	-5E7
en_US	scientific	-1.5E7	-1.5E7
en_US	scientific	-1.0E7	-1E7
en_US	scientific	-5000000.0	-5E6
en_US	scientific	-1500000.0	-1.5E6
en_US	scientific	-1234567.0	-1.234567E6
en_US	scientific	-1000000.0	-1E6
en_US	scientific	-999999.9	-9.999999E5
en_US	scientific	-500000.0	-5E5
