locale	number_format	compact_length	currency_length	currency	input	expected
af	compact-currency	short	short	USD	0.0	USD 0
af	compact-currency	short	short	USD	1.2	USD 1,2
af	compact-currency	short	short	USD	0.00831765	USD 0,0083
af	compact-currency	short	short	USD	1234565.0	USD 1,2 m
af	compact-currency	short	short	USD	-1230.05	-USD 1,2 k
af	compact-currency	short	short	EUR	0.0	€0
af	compact-currency	short	short	EUR	1.2	€1,2
af	compact-currency	short	short	EUR	0.00831765	€0,0083
af	compact-currency	short	short	EUR	1234565.0	€1,2 m
af	compact-currency	short	short	EUR	-1230.05	-€1,2 k
af	compact-currency	short	short	JPY	0.0	JP¥0
af	compact-currency	short	short	JPY	1.2	JP¥1,2
af	compact-currency	short	short	JPY	0.00831765	JP¥0,0083
af	compact-currency	short	short	JPY	1234565.0	JP¥1,2 m
af	compact-currency	short	short	JPY	-1230.05	-JP¥1,2 k
af	compact-currency	short	short	CHF	0.0	CHF 0
af	compact-currency	short	short	CHF	1.2	CHF 1,2
af	compact-currency	short	short	CHF	0.00831765	CHF 0,0083
af	compact-currency	short	short	CHF	1234565.0	CHF 1,2 m
af	compact-currency	short	short	CHF	-1230.05	-CHF 1,2 k
af	compact-currency	short	short	INR	0.0	₹0
af	compact-currency	short	short	INR	1.2	₹1,2
af	compact-currency	short	short	INR	0.00831765	₹0,0083
af	compact-currency	short	short	INR	1234565.0	₹1,2 m
af	compact-currency	short	short	INR	-1230.05	-₹1,2 k
af	compact-currency	short	short	EGP	0.0	EGP 0
af	compact-currency	short	short	EGP	1.2	EGP 1,2
af	compact-currency	short	short	EGP	0.00831765	EGP 0,0083
af	compact-currency	short	short	EGP	1234565.0	EGP 1,2 m
af	compact-currency	short	short	EGP	-1230.05	-EGP 1,2 k
af	compact-currency	short	long	USD	0.0	0 VSA-dollar
af	compact-currency	short	long	USD	1.2	1,2 VSA-dollar
af	compact-currency	short	long	USD	0.00831765	0,0083 VSA-dollar
af	compact-currency	short	long	USD	1234565.0	1,2 m VSA-dollar
af	compact-currency	short	long	USD	-1230.05	-1,2 k VSA-dollar
af	compact-currency	short	long	EUR	0.0	0 euro
af	compact-currency	short	long	EUR	1.2	1,2 euro
af	compact-currency	short	long	EUR	0.00831765	0,0083 euro
af	compact-currency	short	long	EUR	1234565.0	1,2 m euro
af	compact-currency	short	long	EUR	-1230.05	-1,2 k euro
af	compact-currency	short	long	JPY	0.0	0 Japannese jen
af	compact-currency	short	long	JPY	1.2	1,2 Japannese jen
af	compact-currency	short	long	JPY	0.00831765	0,0083 Japannese jen
af	compact-currency	short	long	JPY	1234565.0	1,2 m Japannese jen
af	compact-currency	short	long	JPY	-1230.05	-1,2 k Japannese jen
af	compact-currency	short	long	CHF	0.0	0 Switserse frank
af	compact-currency	short	long	CHF	1.2	1,2 Switserse frank
af	compact-currency	short	long	CHF	0.00831765	0,0083 Switserse frank
af	compact-currency	short	long	CHF	1234565.0	1,2 m Switserse frank
af	compact-currency	short	long	CHF	-1230.05	-1,2 k Switserse frank
af	compact-currency	short	long	INR	0.0	0 Indiese roepee
af	compact-currency	short	long	INR	1.2	1,2 Indiese roepee
af	compact-currency	short	long	INR	0.00831765	0,0083 Indiese roepee
af	compact-currency	short	long	INR	1234565.0	1,2 m Indiese roepee
af	compact-currency	short	long	INR	-1230.05	-1,2 k Indiese roepee
af	compact-currency	short	long	EGP	0.0	0 Egiptiese pond
af	compact-currency	short	long	EGP	1.2	1,2 Egiptiese pond
af	compact-currency	short	long	EGP	0.00831765	0,0083 Egiptiese pond
af	compact-currency	short	long	EGP	1234565.0	1,2 m Egiptiese pond
af	compact-currency	short	long	EGP	-1230.05	-1,2 k Egiptiese pond
af	compact-currency	short	iso-code	USD	0.0	USD 0
af	compact-currency	short	iso-code	USD	1.2	USD 1,2
af	compact-currency	short	iso-code	USD	0.00831765	USD 0,0083
af	compact-currency	short	iso-code	USD	1234565.0	USD 1,2 m
af	compact-currency	short	iso-code	USD	-1230.05	-USD 1,2 k
af	compact-currency	short	iso-code	EUR	0.0	EUR 0
af	compact-currency	short	iso-code	EUR	1.2	EUR 1,2
af	compact-currency	short	iso-code	EUR	0.00831765	EUR 0,0083
af	compact-currency	short	iso-code	EUR	1234565.0	EUR 1,2 m
af	compact-currency	short	iso-code	EUR	-1230.05	-EUR 1,2 k
af	compact-currency	short	iso-code	JPY	0.0	JPY 0
af	compact-currency	short	iso-code	JPY	1.2	JPY 1,2
af	compact-currency	short	iso-code	JPY	0.00831765	JPY 0,0083
af	compact-currency	short	iso-code	JPY	1234565.0	JPY 1,2 m
af	compact-currency	short	iso-code	JPY	-1230.05	-JPY 1,2 k
af	compact-currency	short	iso-code	CHF	0.0	CHF 0
af	compact-currency	short	iso-code	CHF	1.2	CHF 1,2
af	compact-currency	short	iso-code	CHF	0.00831765	CHF 0,0083
af	compact-currency	short	iso-code	CHF	1234565.0	CHF 1,2 m
af	compact-currency	short	iso-code	CHF	-1230.05	-CHF 1,2 k
af	compact-currency	short	iso-code	INR	0.0	INR 0
af	compact-currency	short	iso-code	INR	1.2	INR 1,2
af	compact-currency	short	iso-code	INR	0.00831765	INR 0,0083
af	compact-currency	short	iso-code	INR	1234565.0	INR 1,2 m
af	compact-currency	short	iso-code	INR	-1230.05	-INR 1,2 k
af	compact-currency	short	iso-code	EGP	0.0	EGP 0
af	compact-currency	short	iso-code	EGP	1.2	EGP 1,2
af	compact-currency	short	iso-code	EGP	0.00831765	EGP 0,0083
af	compact-currency	short	iso-code	EGP	1234565.0	EGP 1,2 m
af	compact-currency	short	iso-code	EGP	-1230.05	-EGP 1,2 k
am	compact-currency	short	short	USD	0.0	US$0
am	compact-currency	short	short	USD	1.2	US$1.2
am	compact-currency	short	short	USD	0.00831765	US$0.0083
am	compact-currency	short	short	USD	1234565.0	US$1.2 ሚ
am	compact-currency	short	short	USD	-1230.05	-US$1.2 ሺ
am	compact-currency	short	short	EUR	0.0	€0
am	compact-currency	short	short	EUR	1.2	€1.2
am	compact-currency	short	short	EUR	0.00831765	€0.0083
am	compact-currency	short	short	EUR	1234565.0	€1.2 ሚ
am	compact-currency	short	short	EUR	-1230.05	-€1.2 ሺ
am	compact-currency	short	short	JPY	0.0	JP¥0
am	compact-currency	short	short	JPY	1.2	JP¥1.2
am	compact-currency	short	short	JPY	0.00831765	JP¥0.0083
am	compact-currency	short	short	JPY	1234565.0	JP¥1.2 ሚ
am	compact-currency	short	short	JPY	-1230.05	-JP¥1.2 ሺ
am	compact-currency	short	short	CHF	0.0	CHF 0
am	compact-currency	short	short	CHF	1.2	CHF 1.2
am	compact-currency	short	short	CHF	0.00831765	CHF 0.0083
am	compact-currency	short	short	CHF	1234565.0	CHF 1.2 ሚ
am	compact-currency	short	short	CHF	-1230.05	-CHF 1.2 ሺ
am	compact-currency	short	short	INR	0.0	₹0
am	compact-currency	short	short	INR	1.2	₹1.2
am	compact-currency	short	short	INR	0.00831765	₹0.0083
am	compact-currency	short	short	INR	1234565.0	₹1.2 ሚ
am	compact-currency	short	short	INR	-1230.05	-₹1.2 ሺ
am	compact-currency	short	short	EGP	0.0	EGP 0
am	compact-currency	short	short	EGP	1.2	EGP 1.2
am	compact-currency	short	short	EGP	0.00831765	EGP 0.0083
am	compact-currency	short	short	EGP	1234565.0	EGP 1.2 ሚ
am	compact-currency	short	short	EGP	-1230.05	-EGP 1.2 ሺ
am	compact-currency	short	long	USD	0.0	0 የአሜሪካን ዶላር
am	compact-currency	short	long	USD	1.2	1.2 የአሜሪካን ዶላር
am	compact-currency	short	long	USD	0.00831765	0.0083 የአሜሪካን ዶላር
am	compact-currency	short	long	USD	1234565.0	1.2 ሚ የአሜሪካን ዶላር
am	compact-currency	short	long	USD	-1230.05	-1.2 ሺ የአሜሪካን ዶላር
am	compact-currency	short	long	EUR	0.0	0 ዩሮ
am	compact-currency	short	long	EUR	1.2	1.2 ዩሮ
am	compact-currency	short	long	EUR	0.00831765	0.0083 ዩሮ
am	compact-currency	short	long	EUR	1234565.0	1.2 ሚ ዩሮ
am	compact-currency	short	long	EUR	-1230.05	-1.2 ሺ ዩሮ
am	compact-currency	short	long	JPY	0.0	0 የጃፓን የን
am	compact-currency	short	long	JPY	1.2	1.2 የጃፓን የን
am	compact-currency	short	long	JPY	0.00831765	0.0083 የጃፓን የን
am	compact-currency	short	long	JPY	1234565.0	1.2 ሚ የጃፓን የን
am	compact-currency	short	long	JPY	-1230.05	-1.2 ሺ የጃፓን የን
am	compact-currency	short	long	CHF	0.0	0 የስዊስ ፍራንክ
am	compact-currency	short	long	CHF	1.2	1.2 የስዊስ ፍራንክ
am	compact-currency	short	long	CHF	0.00831765	0.0083 የስዊስ ፍራንክ
am	compact-currency	short	long	CHF	1234565.0	1.2 ሚ የስዊስ ፍራንክ
am	compact-currency	short	long	CHF	-1230.05	-1.2 ሺ የስዊስ ፍራንክ
am	compact-currency	short	long	INR	0.0	0 የሕንድ ሩፒ
am	compact-currency	short	long	INR	1.2	1.2 የሕንድ ሩፒ
am	compact-currency	short	long	INR	0.00831765	0.0083 የሕንድ ሩፒ
am	compact-currency	short	long	INR	1234565.0	1.2 ሚ የሕንድ ሩፒ
am	compact-currency	short	long	INR	-1230.05	-1.2 ሺ የሕንድ ሩፒ
am	compact-currency	short	long	EGP	0.0	0 የግብጽ ፓውንድ
am	compact-currency	short	long	EGP	1.2	1.2 የግብጽ ፓውንድ
am	compact-currency	short	long	EGP	0.00831765	0.0083 የግብጽ ፓውንድ
am	compact-currency	short	long	EGP	1234565.0	1.2 ሚ የግብጽ ፓውንድ
am	compact-currency	short	long	EGP	-1230.05	-1.2 ሺ የግብጽ ፓውንድ
am	compact-currency	short	iso-code	USD	0.0	USD 0
am	compact-currency	short	iso-code	USD	1.2	USD 1.2
am	compact-currency	short	iso-code	USD	0.00831765	USD 0.0083
am	compact-currency	short	iso-code	USD	1234565.0	USD 1.2 ሚ
am	compact-currency	short	iso-code	USD	-1230.05	-USD 1.2 ሺ
am	compact-currency	short	iso-code	EUR	0.0	EUR 0
am	compact-currency	short	iso-code	EUR	1.2	EUR 1.2
am	compact-currency	short	iso-code	EUR	0.00831765	EUR 0.0083
am	compact-currency	short	iso-code	EUR	1234565.0	EUR 1.2 ሚ
am	compact-currency	short	iso-code	EUR	-1230.05	-EUR 1.2 ሺ
am	compact-currency	short	iso-code	JPY	0.0	JPY 0
am	compact-currency	short	iso-code	JPY	1.2	JPY 1.2
am	compact-currency	short	iso-code	JPY	0.00831765	JPY 0.0083
am	compact-currency	short	iso-code	JPY	1234565.0	JPY 1.2 ሚ
am	compact-currency	short	iso-code	JPY	-1230.05	-JPY 1.2 ሺ
am	compact-currency	short	iso-code	CHF	0.0	CHF 0
am	compact-currency	short	iso-code	CHF	1.2	CHF 1.2
am	compact-currency	short	iso-code	CHF	0.00831765	CHF 0.0083
am	compact-currency	short	iso-code	CHF	1234565.0	CHF 1.2 ሚ
am	compact-currency	short	iso-code	CHF	-1230.05	-CHF 1.2 ሺ
am	compact-currency	short	iso-code	INR	0.0	INR 0
am	compact-currency	short	iso-code	INR	1.2	INR 1.2
am	compact-currency	short	iso-code	INR	0.00831765	INR 0.0083
am	compact-currency	short	iso-code	INR	1234565.0	INR 1.2 ሚ
am	compact-currency	short	iso-code	INR	-1230.05	-INR 1.2 ሺ
am	compact-currency	short	iso-code	EGP	0.0	EGP 0
am	compact-currency	short	iso-code	EGP	1.2	EGP 1.2
am	compact-currency	short	iso-code	EGP	0.00831765	EGP 0.0083
am	compact-currency	short	iso-code	EGP	1234565.0	EGP 1.2 ሚ
am	compact-currency	short	iso-code	EGP	-1230.05	-EGP 1.2 ሺ
as	compact-currency	short	short	USD	0.0	US$ ০
as	compact-currency	short	short	USD	1.2	US$ ১.২
as	compact-currency	short	short	USD	0.00831765	US$ ০.০০৮৩
as	compact-currency	short	short	USD	1234565.0	US$ ১.২ নিযুত
as	compact-currency	short	short	USD	-1230.05	-US$ ১.২ হাজাৰ
as	compact-currency	short	short	EUR	0.0	€ ০
as	compact-currency	short	short	EUR	1.2	€ ১.২
as	compact-currency	short	short	EUR	0.00831765	€ ০.০০৮৩
as	compact-currency	short	short	EUR	1234565.0	€ ১.২ নিযুত
as	compact-currency	short	short	EUR	-1230.05	-€ ১.২ হাজাৰ
as	compact-currency	short	short	JPY	0.0	JP¥ ০
as	compact-currency	short	short	JPY	1.2	JP¥ ১.২
as	compact-currency	short	short	JPY	0.00831765	JP¥ ০.০০৮৩
as	compact-currency	short	short	JPY	1234565.0	JP¥ ১.২ নিযুত
as	compact-currency	short	short	JPY	-1230.05	-JP¥ ১.২ হাজাৰ
as	compact-currency	short	short	CHF	0.0	CHF ০
as	compact-currency	short	short	CHF	1.2	CHF ১.২
as	compact-currency	short	short	CHF	0.00831765	CHF ০.০০৮৩
as	compact-currency	short	short	CHF	1234565.0	CHF ১.২ নিযুত
as	compact-currency	short	short	CHF	-1230.05	-CHF ১.২ হাজাৰ
as	compact-currency	short	short	INR	0.0	₹ ০
as	compact-currency	short	short	INR	1.2	₹ ১.২
as	compact-currency	short	short	INR	0.00831765	₹ ০.০০৮৩
as	compact-currency	short	short	INR	1234565.0	₹ ১.২ নিযুত
as	compact-currency	short	short	INR	-1230.05	-₹ ১.২ হাজাৰ
as	compact-currency	short	short	EGP	0.0	EGP ০
as	compact-currency	short	short	EGP	1.2	EGP ১.২
as	compact-currency	short	short	EGP	0.00831765	EGP ০.০০৮৩
as	compact-currency	short	short	EGP	1234565.0	EGP ১.২ নিযুত
as	compact-currency	short	short	EGP	-1230.05	-EGP ১.২ হাজাৰ
as	compact-currency	short	long	USD	0.0	০ ইউ. এছ. ডলাৰ
as	compact-currency	short	long	USD	1.2	১.২ ইউ. এছ. ডলাৰ
as	compact-currency	short	long	USD	0.00831765	০.০০৮৩ ইউ. এছ. ডলাৰ
as	compact-currency	short	long	USD	1234565.0	১.২ নিযুত ইউ. এছ. ডলাৰ
as	compact-currency	short	long	USD	-1230.05	-১.২ হাজাৰ ইউ. এছ. ডলাৰ
as	compact-currency	short	long	EUR	0.0	০ ইউৰো
as	compact-currency	short	long	EUR	1.2	১.২ ইউৰো
as	compact-currency	short	long	EUR	0.00831765	০.০০৮৩ ইউৰো
as	compact-currency	short	long	EUR	1234565.0	১.২ নিযুত ইউৰো
as	compact-currency	short	long	EUR	-1230.05	-১.২ হাজাৰ ইউৰো
as	compact-currency	short	long	JPY	0.0	০ জাপানী য়েন
as	compact-currency	short	long	JPY	1.2	১.২ জাপানী য়েন
as	compact-currency	short	long	JPY	0.00831765	০.০০৮৩ জাপানী য়েন
as	compact-currency	short	long	JPY	1234565.0	১.২ নিযুত জাপানী য়েন
as	compact-currency	short	long	JPY	-1230.05	-১.২ হাজাৰ জাপানী য়েন
as	compact-currency	short	long	CHF	0.0	০ চুইছ ফ্ৰেংক
as	compact-currency	short	long	CHF	1.2	১.২ চুইছ ফ্ৰেংক
as	compact-currency	short	long	CHF	0.00831765	০.০০৮৩ চুইছ ফ্ৰেংক
as	compact-currency	short	long	CHF	1234565.0	১.২ নিযুত চুইছ ফ্ৰেংক
as	compact-currency	short	long	CHF	-1230.05	-১.২ হাজাৰ চুইছ ফ্ৰেংক
as	compact-currency	short	long	INR	0.0	০ ভাৰতীয় ৰুপী
as	compact-currency	short	long	INR	1.2	১.২ ভাৰতীয় ৰুপী
as	compact-currency	short	long	INR	0.00831765	০.০০৮৩ ভাৰতীয় ৰুপী
as	compact-currency	short	long	INR	1234565.0	১.২ নিযুত ভাৰতীয় ৰুপী
as	compact-currency	short	long	INR	-1230.05	-১.২ হাজাৰ ভাৰতীয় ৰুপী
as	compact-currency	short	long	EGP	0.0	০ ইজিপ্তৰ পাউণ্ড
as	compact-currency	short	long	EGP	1.2	১.২ ইজিপ্তৰ পাউণ্ড
as	compact-currency	short	long	EGP	0.00831765	০.০০৮৩ ইজিপ্তৰ পাউণ্ড
as	compact-currency	short	long	EGP	1234565.0	১.২ নিযুত ইজিপ্তৰ পাউণ্ড
as	compact-currency	short	long	EGP	-1230.05	-১.২ হাজাৰ ইজিপ্তৰ পাউণ্ড
as	compact-currency	short	iso-code	USD	0.0	USD ০
as	compact-currency	short	iso-code	USD	1.2	USD ১.২
as	compact-currency	short	iso-code	USD	0.00831765	USD ০.০০৮৩
as	compact-currency	short	iso-code	USD	1234565.0	USD ১.২ নিযুত
as	compact-currency	short	iso-code	USD	-1230.05	-USD ১.২ হাজাৰ
as	compact-currency	short	iso-code	EUR	0.0	EUR ০
as	compact-currency	short	iso-code	EUR	1.2	EUR ১.২
as	compact-currency	short	iso-code	EUR	0.00831765	EUR ০.০০৮৩
as	compact-currency	short	iso-code	EUR	1234565.0	EUR ১.২ নিযুত
as	compact-currency	short	iso-code	EUR	-1230.05	-EUR ১.২ হাজাৰ
as	compact-currency	short	iso-code	JPY	0.0	JPY ০
as	compact-currency	short	iso-code	JPY	1.2	JPY ১.২
as	compact-currency	short	iso-code	JPY	0.00831765	JPY ০.০০৮৩
as	compact-currency	short	iso-code	JPY	1234565.0	JPY ১.২ নিযুত
as	compact-currency	short	iso-code	JPY	-1230.05	-JPY ১.২ হাজাৰ
as	compact-currency	short	iso-code	CHF	0.0	CHF ০
as	compact-currency	short	iso-code	CHF	1.2	CHF ১.২
as	compact-currency	short	iso-code	CHF	0.00831765	CHF ০.০০৮৩
as	compact-currency	short	iso-code	CHF	1234565.0	CHF ১.২ নিযুত
as	compact-currency	short	iso-code	CHF	-1230.05	-CHF ১.২ হাজাৰ
