locale	number_format	format_length	currency	input	expected
ar	compact-currency	long	AED	0.0	‏0 د.إ.‏
ar	compact-currency	long	AED	1.2	‏1.2 د.إ.‏
ar	compact-currency	long	AED	0.00831765	‏0.0083 د.إ.‏
ar	compact-currency	long	AED	1234565.0	‏1.2 مليون د.إ.‏
ar	compact-currency	long	AED	-1230.05	‎-‏1.2 ألف د.إ.‏
ar	compact-currency	long	AFN	0.0	‏0 AFN
ar	compact-currency	long	AFN	1.2	‏1.2 AFN
ar	compact-currency	long	AFN	0.00831765	‏0.0083 AFN
ar	compact-currency	long	AFN	1234565.0	‏1.2 مليون AFN
ar	compact-currency	long	AFN	-1230.05	‎-‏1.2 ألف AFN
ar	compact-currency	long	ALL	0.0	‏0 ALL
ar	compact-currency	long	ALL	1.2	‏1.2 ALL
ar	compact-currency	long	ALL	0.00831765	‏0.0083 ALL
ar	compact-currency	long	ALL	1234565.0	‏1.2 مليون ALL
ar	compact-currency	long	ALL	-1230.05	‎-‏1.2 ألف ALL
ar	compact-currency	long	AMD	0.0	‏0 AMD
ar	compact-currency	long	AMD	1.2	‏1.2 AMD
ar	compact-currency	long	AMD	0.00831765	‏0.0083 AMD
ar	compact-currency	long	AMD	1234565.0	‏1.2 مليون AMD
ar	compact-currency	long	AMD	-1230.05	‎-‏1.2 ألف AMD
ar	compact-currency	long	AOA	0.0	‏0 AOA
ar	compact-currency	long	AOA	1.2	‏1.2 AOA
ar	compact-currency	long	AOA	0.00831765	‏0.0083 AOA
ar	compact-currency	long	AOA	1234565.0	‏1.2 مليون AOA
ar	compact-currency	long	AOA	-1230.05	‎-‏1.2 ألف AOA
ar	compact-currency	long	ARS	0.0	‏0 ARS
ar	compact-currency	long	ARS	1.2	‏1.2 ARS
ar	compact-currency	long	ARS	0.00831765	‏0.0083 ARS
ar	compact-currency	long	ARS	1234565.0	‏1.2 مليون ARS
ar	compact-currency	long	ARS	-1230.05	‎-‏1.2 ألف ARS
ar	compact-currency	long	AUD	0.0	‏0 AU$
ar	compact-currency	long	AUD	1.2	‏1.2 AU$
ar	compact-currency	long	AUD	0.00831765	‏0.0083 AU$
ar	compact-currency	long	AUD	1234565.0	‏1.2 مليون AU$
ar	compact-currency	long	AUD	-1230.05	‎-‏1.2 ألف AU$
ar	compact-currency	long	AWG	0.0	‏0 AWG
ar	compact-currency	long	AWG	1.2	‏1.2 AWG
ar	compact-currency	long	AWG	0.00831765	‏0.0083 AWG
ar	compact-currency	long	AWG	1234565.0	‏1.2 مليون AWG
ar	compact-currency	long	AWG	-1230.05	‎-‏1.2 ألف AWG
ar	compact-currency	long	AZN	0.0	‏0 AZN
ar	compact-currency	long	AZN	1.2	‏1.2 AZN
ar	compact-currency	long	AZN	0.00831765	‏0.0083 AZN
ar	compact-currency	long	AZN	1234565.0	‏1.2 مليون AZN
ar	compact-currency	long	AZN	-1230.05	‎-‏1.2 ألف AZN
ar	compact-currency	long	BAM	0.0	‏0 BAM
ar	compact-currency	long	BAM	1.2	‏1.2 BAM
ar	compact-currency	long	BAM	0.00831765	‏0.0083 BAM
ar	compact-currency	long	BAM	1234565.0	‏1.2 مليون BAM
ar	compact-currency	long	BAM	-1230.05	‎-‏1.2 ألف BAM
ar	compact-currency	long	BBD	0.0	‏0 BBD
ar	compact-currency	long	BBD	1.2	‏1.2 BBD
ar	compact-currency	long	BBD	0.00831765	‏0.0083 BBD
ar	compact-currency	long	BBD	1234565.0	‏1.2 مليون BBD
ar	compact-currency	long	BBD	-1230.05	‎-‏1.2 ألف BBD
ar	compact-currency	long	BDT	0.0	‏0 BDT
ar	compact-currency	long	BDT	1.2	‏1.2 BDT
ar	compact-currency	long	BDT	0.00831765	‏0.0083 BDT
ar	compact-currency	long	BDT	1234565.0	‏1.2 مليون BDT
ar	compact-currency	long	BDT	-1230.05	‎-‏1.2 ألف BDT
ar	compact-currency	long	BHD	0.0	‏0 د.ب.‏
ar	compact-currency	long	BHD	1.2	‏1.2 د.ب.‏
ar	compact-currency	long	BHD	0.00831765	‏0.0083 د.ب.‏
ar	compact-currency	long	BHD	1234565.0	‏1.2 مليون د.ب.‏
ar	compact-currency	long	BHD	-1230.05	‎-‏1.2 ألف د.ب.‏
ar	compact-currency	long	BIF	0.0	‏0 BIF
ar	compact-currency	long	BIF	1.2	‏1.2 BIF
ar	compact-currency	long	BIF	0.00831765	‏0.0083 BIF
ar	compact-currency	long	BIF	1234565.0	‏1.2 مليون BIF
ar	compact-currency	long	BIF	-1230.05	‎-‏1.2 ألف BIF
ar	compact-currency	long	BMD	0.0	‏0 BMD
ar	compact-currency	long	BMD	1.2	‏1.2 BMD
ar	compact-currency	long	BMD	0.00831765	‏0.0083 BMD
ar	compact-currency	long	BMD	1234565.0	‏1.2 مليون BMD
ar	compact-currency	long	BMD	-1230.05	‎-‏1.2 ألف BMD
ar	compact-currency	long	BND	0.0	‏0 BND
ar	compact-currency	long	BND	1.2	‏1.2 BND
ar	compact-currency	long	BND	0.00831765	‏0.0083 BND
ar	compact-currency	long	BND	1234565.0	‏1.2 مليون BND
ar	compact-currency	long	BND	-1230.05	‎-‏1.2 ألف BND
ar	compact-currency	long	BOB	0.0	‏0 BOB
ar	compact-currency	long	BOB	1.2	‏1.2 BOB
ar	compact-currency	long	BOB	0.00831765	‏0.0083 BOB
ar	compact-currency	long	BOB	1234565.0	‏1.2 مليون BOB
ar	compact-currency	long	BOB	-1230.05	‎-‏1.2 ألف BOB
ar	compact-currency	long	BRL	0.0	‏0 R$
ar	compact-currency	long	BRL	1.2	‏1.2 R$
ar	compact-currency	long	BRL	0.00831765	‏0.0083 R$
ar	compact-currency	long	BRL	1234565.0	‏1.2 مليون R$
ar	compact-currency	long	BRL	-1230.05	‎-‏1.2 ألف R$
ar	compact-currency	long	BSD	0.0	‏0 BSD
ar	compact-currency	long	BSD	1.2	‏1.2 BSD
ar	compact-currency	long	BSD	0.00831765	‏0.0083 BSD
ar	compact-currency	long	BSD	1234565.0	‏1.2 مليون BSD
ar	compact-currency	long	BSD	-1230.05	‎-‏1.2 ألف BSD
ar	compact-currency	long	BTN	0.0	‏0 BTN
ar	compact-currency	long	BTN	1.2	‏1.2 BTN
ar	compact-currency	long	BTN	0.00831765	‏0.0083 BTN
ar	compact-currency	long	BTN	1234565.0	‏1.2 مليون BTN
ar	compact-currency	long	BTN	-1230.05	‎-‏1.2 ألف BTN
ar	compact-currency	long	BWP	0.0	‏0 BWP
ar	compact-currency	long	BWP	1.2	‏1.2 BWP
