locale	number_format	compact_length	currency_length	currency	input	expected
af	compact-currency	long	short	USD	0.0	USD 0
af	compact-currency	long	short	USD	1.2	USD 1,2
af	compact-currency	long	short	USD	0.00831765	USD 0,0083
af	compact-currency	long	short	USD	1234565.0	USD 1,2 m
af	compact-currency	long	short	USD	-1230.05	-USD 1,2 k
af	compact-currency	long	short	EUR	0.0	€0
af	compact-currency	long	short	EUR	1.2	€1,2
af	compact-currency	long	short	EUR	0.00831765	€0,0083
af	compact-currency	long	short	EUR	1234565.0	€1,2 m
af	compact-currency	long	short	EUR	-1230.05	-€1,2 k
af	compact-currency	long	short	JPY	0.0	JP¥0
af	compact-currency	long	short	JPY	1.2	JP¥1,2
af	compact-currency	long	short	JPY	0.00831765	JP¥0,0083
af	compact-currency	long	short	JPY	1234565.0	JP¥1,2 m
af	compact-currency	long	short	JPY	-1230.05	-JP¥1,2 k
af	compact-currency	long	short	CHF	0.0	CHF 0
af	compact-currency	long	short	CHF	1.2	CHF 1,2
af	compact-currency	long	short	CHF	0.00831765	CHF 0,0083
af	compact-currency	long	short	CHF	1234565.0	CHF 1,2 m
af	compact-currency	long	short	CHF	-1230.05	-CHF 1,2 k
af	compact-currency	long	short	INR	0.0	₹0
af	compact-currency	long	short	INR	1.2	₹1,2
af	compact-currency	long	short	INR	0.00831765	₹0,0083
af	compact-currency	long	short	INR	1234565.0	₹1,2 m
af	compact-currency	long	short	INR	-1230.05	-₹1,2 k
af	compact-currency	long	short	EGP	0.0	EGP 0
af	compact-currency	long	short	EGP	1.2	EGP 1,2
af	compact-currency	long	short	EGP	0.00831765	EGP 0,0083
af	compact-currency	long	short	EGP	1234565.0	EGP 1,2 m
af	compact-currency	long	short	EGP	-1230.05	-EGP 1,2 k
af	compact-currency	long	long	USD	0.0	0 VSA-dollar
af	compact-currency	long	long	USD	1.2	1,2 VSA-dollar
af	compact-currency	long	long	USD	0.00831765	0,0083 VSA-dollar
af	compact-currency	long	long	USD	1234565.0	1,2 miljoen VSA-dollar
af	compact-currency	long	long	USD	-1230.05	-1,2 duisend VSA-dollar
af	compact-currency	long	long	EUR	0.0	0 euro
af	compact-currency	long	long	EUR	1.2	1,2 euro
af	compact-currency	long	long	EUR	0.00831765	0,0083 euro
af	compact-currency	long	long	EUR	1234565.0	1,2 miljoen euro
af	compact-currency	long	long	EUR	-1230.05	-1,2 duisend euro
af	compact-currency	long	long	JPY	0.0	0 Japannese jen
af	compact-currency	long	long	JPY	1.2	1,2 Japannese jen
af	compact-currency	long	long	JPY	0.00831765	0,0083 Japannese jen
af	compact-currency	long	long	JPY	1234565.0	1,2 miljoen Japannese jen
af	compact-currency	long	long	JPY	-1230.05	-1,2 duisend Japannese jen
af	compact-currency	long	long	CHF	0.0	0 Switserse frank
af	compact-currency	long	long	CHF	1.2	1,2 Switserse frank
af	compact-currency	long	long	CHF	0.00831765	0,0083 Switserse frank
af	compact-currency	long	long	CHF	1234565.0	1,2 miljoen Switserse frank
af	compact-currency	long	long	CHF	-1230.05	-1,2 duisend Switserse frank
af	compact-currency	long	long	INR	0.0	0 Indiese roepee
af	compact-currency	long	long	INR	1.2	1,2 Indiese roepee
af	compact-currency	long	long	INR	0.00831765	0,0083 Indiese roepee
af	compact-currency	long	long	INR	1234565.0	1,2 miljoen Indiese roepee
af	compact-currency	long	long	INR	-1230.05	-1,2 duisend Indiese roepee
af	compact-currency	long	long	EGP	0.0	0 Egiptiese pond
af	compact-currency	long	long	EGP	1.2	1,2 Egiptiese pond
af	compact-currency	long	long	EGP	0.00831765	0,0083 Egiptiese pond
af	compact-currency	long	long	EGP	1234565.0	1,2 miljoen Egiptiese pond
af	compact-currency	long	long	EGP	-1230.05	-1,2 duisend Egiptiese pond
af	compact-currency	long	iso-code	USD	0.0	USD 0
af	compact-currency	long	iso-code	USD	1.2	USD 1,2
af	compact-currency	long	iso-code	USD	0.00831765	USD 0,0083
af	compact-currency	long	iso-code	USD	1234565.0	USD 1,2 m
af	compact-currency	long	iso-code	USD	-1230.05	-USD 1,2 k
af	compact-currency	long	iso-code	EUR	0.0	EUR 0
af	compact-currency	long	iso-code	EUR	1.2	EUR 1,2
af	compact-currency	long	iso-code	EUR	0.00831765	EUR 0,0083
af	compact-currency	long	iso-code	EUR	1234565.0	EUR 1,2 m
af	compact-currency	long	iso-code	EUR	-1230.05	-EUR 1,2 k
af	compact-currency	long	iso-code	JPY	0.0	JPY 0
af	compact-currency	long	iso-code	JPY	1.2	JPY 1,2
af	compact-currency	long	iso-code	JPY	0.00831765	JPY 0,0083
af	compact-currency	long	iso-code	JPY	1234565.0	JPY 1,2 m
af	compact-currency	long	iso-code	JPY	-1230.05	-JPY 1,2 k
af	compact-currency	long	iso-code	CHF	0.0	CHF 0
af	compact-currency	long	iso-code	CHF	1.2	CHF 1,2
af	compact-currency	long	iso-code	CHF	0.00831765	CHF 0,0083
af	compact-currency	long	iso-code	CHF	1234565.0	CHF 1,2 m
af	compact-currency	long	iso-code	CHF	-1230.05	-CHF 1,2 k
af	compact-currency	long	iso-code	INR	0.0	INR 0
af	compact-currency	long	iso-code	INR	1.2	INR 1,2
af	compact-currency	long	iso-code	INR	0.00831765	INR 0,0083
af	compact-currency	long	iso-code	INR	1234565.0	INR 1,2 m
af	compact-currency	long	iso-code	INR	-1230.05	-INR 1,2 k
af	compact-currency	long	iso-code	EGP	0.0	EGP 0
af	compact-currency	long	iso-code	EGP	1.2	EGP 1,2
af	compact-currency	long	iso-code	EGP	0.00831765	EGP 0,0083
af	compact-currency	long	iso-code	EGP	1234565.0	EGP 1,2 m
af	compact-currency	long	iso-code	EGP	-1230.05	-EGP 1,2 k
am	compact-currency	long	short	USD	0.0	US$0
am	compact-currency	long	short	USD	1.2	US$1.2
am	compact-currency	long	short	USD	0.00831765	US$0.0083
am	compact-currency	long	short	USD	1234565.0	US$1.2 ሚ
am	compact-currency	long	short	USD	-1230.05	-US$1.2 ሺ
am	compact-currency	long	short	EUR	0.0	€0
am	compact-currency	long	short	EUR	1.2	€1.2
am	compact-currency	long	short	EUR	0.00831765	€0.0083
am	compact-currency	long	short	EUR	1234565.0	€1.2 ሚ
am	compact-currency	long	short	EUR	-1230.05	-€1.2 ሺ
am	compact-currency	long	short	JPY	0.0	JP¥0
am	compact-currency	long	short	JPY	1.2	JP¥1.2
am	compact-currency	long	short	JPY	0.00831765	JP¥0.0083
am	compact-currency	long	short	JPY	1234565.0	JP¥1.2 ሚ
am	compact-currency	long	short	JPY	-1230.05	-JP¥1.2 ሺ
am	compact-currency	long	short	CHF	0.0	CHF 0
am	compact-currency	long	short	CHF	1.2	CHF 1.2
am	compact-currency	long	short	CHF	0.00831765	CHF 0.0083
am	compact-currency	long	short	CHF	1234565.0	CHF 1.2 ሚ
am	compact-currency	long	short	CHF	-1230.05	-CHF 1.2 ሺ
am	compact-currency	long	short	INR	0.0	₹0
am	compact-currency	long	short	INR	1.2	₹1.2
am	compact-currency	long	short	INR	0.00831765	₹0.0083
am	compact-currency	long	short	INR	1234565.0	₹1.2 ሚ
am	compact-currency	long	short	INR	-1230.05	-₹1.2 ሺ
am	compact-currency	long	short	EGP	0.0	EGP 0
am	compact-currency	long	short	EGP	1.2	EGP 1.2
am	compact-currency	long	short	EGP	0.00831765	EGP 0.0083
am	compact-currency	long	short	EGP	1234565.0	EGP 1.2 ሚ
am	compact-currency	long	short	EGP	-1230.05	-EGP 1.2 ሺ
am	compact-currency	long	long	USD	0.0	0 የአሜሪካን ዶላር
am	compact-currency	long	long	USD	1.2	1.2 የአሜሪካን ዶላር
am	compact-currency	long	long	USD	0.00831765	0.0083 የአሜሪካን ዶላር
am	compact-currency	long	long	USD	1234565.0	1.2 ሚሊዮን የአሜሪካን ዶላር
am	compact-currency	long	long	USD	-1230.05	-1.2 ሺ የአሜሪካን ዶላር
am	compact-currency	long	long	EUR	0.0	0 ዩሮ
am	compact-currency	long	long	EUR	1.2	1.2 ዩሮ
am	compact-currency	long	long	EUR	0.00831765	0.0083 ዩሮ
am	compact-currency	long	long	EUR	1234565.0	1.2 ሚሊዮን ዩሮ
am	compact-currency	long	long	EUR	-1230.05	-1.2 ሺ ዩሮ
am	compact-currency	long	long	JPY	0.0	0 የጃፓን የን
am	compact-currency	long	long	JPY	1.2	1.2 የጃፓን የን
am	compact-currency	long	long	JPY	0.00831765	0.0083 የጃፓን የን
am	compact-currency	long	long	JPY	1234565.0	1.2 ሚሊዮን የጃፓን የን
am	compact-currency	long	long	JPY	-1230.05	-1.2 ሺ የጃፓን የን
am	compact-currency	long	long	CHF	0.0	0 የስዊስ ፍራንክ
am	compact-currency	long	long	CHF	1.2	1.2 የስዊስ ፍራንክ
am	compact-currency	long	long	CHF	0.00831765	0.0083 የስዊስ ፍራንክ
am	compact-currency	long	long	CHF	1234565.0	1.2 ሚሊዮን የስዊስ ፍራንክ
