ârir	ʌdid
der	dɛd
diâb	diʌb
diarei	diɑdɛi
dier	diɛd
e	ɛ
end	ɛⁿd
ende	ɛⁿdɛ
eng	ɛᵑɡ
et	ɛt
ete	ɛtɛ
gâb	gʌb
ger	gɛd
gigit	gigit
gin	gin
gor	gɔd
igâma	igʌmɑ
igoai	igɔɑi
inaun	inɑun
ire	idɛ
iret	idɛt
isorei	isɔdɛi
isub	isub
isuor	isuɔd
ite	itɛ
itet	itɛt
menub	mɛnub
munon	munɔn
nausi	nɑusi
ne	nɛ
neig	nɛig
nob	nɔb
ombur	ɔᵐbud
qâmar	ʔʌmɑd
qâmb	ʔʌᵐb
qemeribân	ʔɛmɛdibʌn
qiumuni	ʔiumuni
qoamirei	ʔɔɑmidɛi
qoan	ʔɔɑn
qob	ʔɔb
qobsugor	ʔɔbsugɔd
qur	ʔud
sig	sig
umo	umɔ
wârâm	wʌdʌm
wârâmb	wʌdʌᵐb
wogub	wɔgub
ya	jɑ
yârâb	jʌdʌb
ye	jɛ
