lang	langLabel
http://www.wikidata.org/entity/Q150	French
http://www.wikidata.org/entity/Q188	German
http://www.wikidata.org/entity/Q1002956	Buhid
http://www.wikidata.org/entity/Q10048570	Q10048570
http://www.wikidata.org/entity/Q1012917	Wutun language
http://www.wikidata.org/entity/Q1017152	Buru language
http://www.wikidata.org/entity/Q102172	Limburgish
http://www.wikidata.org/entity/Q1022087	Kra languages
http://www.wikidata.org/entity/Q1023641	Kam–Sui languages
http://www.wikidata.org/entity/Q1023648	Hlai languages
http://www.wikidata.org/entity/Q1025090	Caddoan languages
http://www.wikidata.org/entity/Q1025793	Cahuapanan languages
http://www.wikidata.org/entity/Q10322066	Karajá
http://www.wikidata.org/entity/Q10322067	Caritiana language
http://www.wikidata.org/entity/Q10322118	Yawanawa
http://www.wikidata.org/entity/Q10322149	Suruí do Pará language
http://www.wikidata.org/entity/Q10322157	Tembé
http://www.wikidata.org/entity/Q1032453	Hadramautic language
http://www.wikidata.org/entity/Q1033184	Cangin languages
http://www.wikidata.org/entity/Q1039346	Shompen language
http://www.wikidata.org/entity/Q1040944	Khuzestani Arabic
http://www.wikidata.org/entity/Q10412317	Anmatyerre
http://www.wikidata.org/entity/Q1041317	Wotu–Wolio languages
http://www.wikidata.org/entity/Q1041765	Jopará
http://www.wikidata.org/entity/Q10425920	Bandjigali dialect
http://www.wikidata.org/entity/Q10427485	Bayungu
http://www.wikidata.org/entity/Q10465931	Dagoman
http://www.wikidata.org/entity/Q10467281	Dayi
http://www.wikidata.org/entity/Q10470278	Dhalandji
http://www.wikidata.org/entity/Q10470289	Dhargari
http://www.wikidata.org/entity/Q10474818	Djangun
http://www.wikidata.org/entity/Q10488401	Erre
http://www.wikidata.org/entity/Q10502327	Gambera
http://www.wikidata.org/entity/Q10510360	Gugu Badhun
http://www.wikidata.org/entity/Q10510363	Gugubera
http://www.wikidata.org/entity/Q10510745	Gumatj
http://www.wikidata.org/entity/Q10510783	Gungabula
http://www.wikidata.org/entity/Q10511001	Gunya
http://www.wikidata.org/entity/Q10511004	Gupapuyngu
http://www.wikidata.org/entity/Q10511016	Gurinji
http://www.wikidata.org/entity/Q10511225	Guwamu
http://www.wikidata.org/entity/Q10547021	Kokata
http://www.wikidata.org/entity/Q10549839	Kukatja
http://www.wikidata.org/entity/Q10549849	Kuku-Muminh
http://www.wikidata.org/entity/Q10549851	Kuku-Mangk
http://www.wikidata.org/entity/Q10549852	Kuku-Mu'inh
http://www.wikidata.org/entity/Q10549854	Kuku-Ugbanh
http://www.wikidata.org/entity/Q10550183	Q10550183
http://www.wikidata.org/entity/Q10550184	Kunggari
http://www.wikidata.org/entity/Q10550697	Kuuku Ya'u
http://www.wikidata.org/entity/Q10551249	Kwini
http://www.wikidata.org/entity/Q1055287	Sani
http://www.wikidata.org/entity/Q10566515	Ipiko
http://www.wikidata.org/entity/Q10575155	Matngele language
http://www.wikidata.org/entity/Q10576338	Mandandanyi
http://www.wikidata.org/entity/Q10576387	Mangerr
http://www.wikidata.org/entity/Q10577017	Margany
http://www.wikidata.org/entity/Q10577273	Maridan
http://www.wikidata.org/entity/Q10577274	Maridjabin
http://www.wikidata.org/entity/Q10577424	Marimanindji
http://www.wikidata.org/entity/Q10577443	Maringarr
http://www.wikidata.org/entity/Q10577724	Marriammu
http://www.wikidata.org/entity/Q10577823	Marti Ke
http://www.wikidata.org/entity/Q10586712	Miwa
http://www.wikidata.org/entity/Q10590149	Muluridyi
http://www.wikidata.org/entity/Q10600380	Ngarinman
http://www.wikidata.org/entity/Q10600396	Nhuwala
http://www.wikidata.org/entity/Q10600723	Q10600723
http://www.wikidata.org/entity/Q10604066	Nukunu language
http://www.wikidata.org/entity/Q10604222	Contemporary Swedish
http://www.wikidata.org/entity/Q10604331	Nyangga
http://www.wikidata.org/entity/Q106085	North Germanic languages
http://www.wikidata.org/entity/Q1062626	Chapacuran languages
http://www.wikidata.org/entity/Q10631925	Pini
http://www.wikidata.org/entity/Q10631927	Pinigura
http://www.wikidata.org/entity/Q10632026	Pintiini
http://www.wikidata.org/entity/Q10632195	Pirlatapa
http://www.wikidata.org/entity/Q1064367	Magaric languages
http://www.wikidata.org/entity/Q1064482	Khitan language
http://www.wikidata.org/entity/Q1066766	Northern Uzbek
http://www.wikidata.org/entity/Q1067986	Khazar
http://www.wikidata.org/entity/Q1068097	Oksapmin
http://www.wikidata.org/entity/Q1068112	Manado Malay
http://www.wikidata.org/entity/Q1069489	Sicilian Arabic
http://www.wikidata.org/entity/Q1070391	Sabaean
http://www.wikidata.org/entity/Q10706951	Tyaraity
http://www.wikidata.org/entity/Q10710522	Urningangg
http://www.wikidata.org/entity/Q10719025	Wadjigu
http://www.wikidata.org/entity/Q10719042	Wagaya
http://www.wikidata.org/entity/Q10719110	Wakawaka
http://www.wikidata.org/entity/Q10719289	Wariyangga
http://www.wikidata.org/entity/Q10720035	Wik-Epa
http://www.wikidata.org/entity/Q10720036	Wik-Iiyanh
http://www.wikidata.org/entity/Q10720037	Wik-Keyangan
http://www.wikidata.org/entity/Q10720039	Wik-Me'anha
http://www.wikidata.org/entity/Q10720045	Wikngenchera
http://www.wikidata.org/entity/Q10720050	Wilawila
http://www.wikidata.org/entity/Q10723416	Yangman
http://www.wikidata.org/entity/Q10723454	Yawarawarga
http://www.wikidata.org/entity/Q10723541	Yindjilandji
http://www.wikidata.org/entity/Q10728232	Eastern Arrernte
http://www.wikidata.org/entity/Q10729616	Pemon
http://www.wikidata.org/entity/Q1073088	Chimakuan languages
http://www.wikidata.org/entity/Q107358	Koine Greek
http://www.wikidata.org/entity/Q1073639	Q1073639
http://www.wikidata.org/entity/Q10751739	Tlahuica
http://www.wikidata.org/entity/Q1075302	Arbëresh
http://www.wikidata.org/entity/Q1075616	Choco languages
http://www.wikidata.org/entity/Q1075948	Atlantic languages
http://www.wikidata.org/entity/Q10771067	Siroi
http://www.wikidata.org/entity/Q1077450	Onondaga
