child	parent
http://www.wikidata.org/entity/Q1400216	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q1473289	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q2075394	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q2423700	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q2922261	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q3083193	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q3083199	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q3083202	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q3083218	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q3100376	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q3392675	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q3512668	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q6487768	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q18356225	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q21296634	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q22249359	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q28818299	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q33670660	http://www.wikidata.org/entity/Q150
http://www.wikidata.org/entity/Q1163234	http://www.wikidata.org/entity/Q397
http://www.wikidata.org/entity/Q1246397	http://www.wikidata.org/entity/Q397
http://www.wikidata.org/entity/Q1247932	http://www.wikidata.org/entity/Q397
http://www.wikidata.org/entity/Q1248221	http://www.wikidata.org/entity/Q397
http://www.wikidata.org/entity/Q205548	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q279350	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q306626	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q453854	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q497778	http://www.wikidata.org/entity/Q188
http://www.wikidata.org/entity/Q896917	http://www.wikidata.org/entity/Q188
