# List of locales which are somehow special (such as Read-Only)
# Format of each line:
#
#    loc_id ; type ; comment
#
# loc_id is an explicit id, and does NOT include sublocales unless it is followed by *
#
# type is an enumerated value and has value(s):
#     readonly - locale must not be modified in the SurveyTool
#     scratch  - Locale is for testing purposes
#
#
# comment is freeform text and may be presented to end users.  Use the form  " @de_CH " to refer to the locale de_CH 
#    and "@@" to refer to the actual locale (in the case of * wildcards)

root       ;  readonly  ; The Root locale is maintained by the CLDR-TC and may not be modified in the SurveyTool. Please file a ticket to make changes.
en         ;  readonly  ; The English locale is maintained by the CLDR-TC and may not be modified in the SurveyTool. Please file a ticket to make changes.
en_ZZ      ;  readonly  ; The en_ZZ locale is used for display purposes in the SurveyTool and may not be modified in the SurveyTool. Please file a ticket to make changes.
sr_Latn*   ;  readonly  ; @sr_Latn is generated from @sr_Cyrl via transliteration, and so @@ may not be edited directly. Edit @sr_Cyrl to make changes.
yo_BJ*     ;  readonly  ; @yo_BJ is generated from @yo via transliteration, and so @@ may not be edited directly. Edit @yo to make changes.
aa_DJ      ;  readonly  ; Country specific locales are not open for data submission at this time.
aa_ER      ;  readonly  ; Country specific locales are not open for data submission at this time.
af_NA      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_AE      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_BH      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_DJ      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_DZ      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_EG      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_EH      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_ER      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_IL      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_IQ      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_JO      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_KM      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_KW      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_LB      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_LY      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_MA      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_MR      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_OM      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_PS      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_QA      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_SA      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_SD      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_SO      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_SS      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_SY      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_TD      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_TN      ;  readonly  ; Country specific locales are not open for data submission at this time.
ar_YE      ;  readonly  ; Country specific locales are not open for data submission at this time.
bgn_AE      ;  readonly  ; Country specific locales are not open for data submission at this time.
bgn_AF      ;  readonly  ; Country specific locales are not open for data submission at this time.
bgn_IR      ;  readonly  ; Country specific locales are not open for data submission at this time.
bgn_OM      ;  readonly  ; Country specific locales are not open for data submission at this time.
bn_IN      ;  readonly  ; Country specific locales are not open for data submission at this time.
bo_IN      ;  readonly  ; Country specific locales are not open for data submission at this time.
ca_AD      ;  readonly  ; Country specific locales are not open for data submission at this time.
ca_ES_VALENCIA      ;  readonly  ; Country specific locales are not open for data submission at this time.
ca_FR      ;  readonly  ; Country specific locales are not open for data submission at this time.
ca_IT      ;  readonly  ; Country specific locales are not open for data submission at this time.
ckb_IR      ;  readonly  ; Country specific locales are not open for data submission at this time.
da_GL      ;  readonly  ; Country specific locales are not open for data submission at this time.
de_AT      ;  readonly  ; Country specific locales are not open for data submission at this time.
de_BE      ;  readonly  ; Country specific locales are not open for data submission at this time.
de_CH      ;  readonly  ; Country specific locales are not open for data submission at this time.
de_LI      ;  readonly  ; Country specific locales are not open for data submission at this time.
de_LU      ;  readonly  ; Country specific locales are not open for data submission at this time.
ee_TG      ;  readonly  ; Country specific locales are not open for data submission at this time.
el_CY      ;  readonly  ; Country specific locales are not open for data submission at this time.
el_POLYTON      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_001      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_150      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_AG      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_AI      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_AS      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_AU      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_BB      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_BE      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_BM      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_BS      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_BW      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_BZ      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_CA      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_CC      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_CK      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_CM      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_CX      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_DG      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_DM      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_ER      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_FJ      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_FK      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_FM      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_GB      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_GD      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_GG      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_GH      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_GI      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_GM      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_GU      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_GY      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_HK      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_IE      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_IM      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_IN      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_IO      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_JE      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_JM      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_KE      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_KI      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_KN      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_KY      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_LC      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_LR      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_LS      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_MG      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_MH      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_MO      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_MP      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_MS      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_MT      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_MU      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_MW      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_MY      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_NA      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_NF      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_NG      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_NR      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_NU      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_NZ      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_PG      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_PH      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_PK      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_PN      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_PR      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_PW      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_RW      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_SB      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_SC      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_SD      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_SG      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_SH      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_SL      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_SS      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_SX      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_SZ      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_TC      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_TK      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_TO      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_TT      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_TV      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_TZ      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_UG      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_UM      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_US_POSIX      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_VC      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_VG      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_VI      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_VU      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_WS      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_ZA      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_ZM      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_ZW      ;  readonly  ; Country specific locales are not open for data submission at this time.
en_ZZ      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_419      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_AR      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_BO      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_CL      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_CO      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_CR      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_CU      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_DO      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_EA      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_EC      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_GQ      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_GT      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_HN      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_IC      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_MX      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_NI      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_PA      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_PE      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_PH      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_PR      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_PY      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_SV      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_US      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_UY      ;  readonly  ; Country specific locales are not open for data submission at this time.
es_VE      ;  readonly  ; Country specific locales are not open for data submission at this time.
fa_AF      ;  readonly  ; Country specific locales are not open for data submission at this time.
ff_CM      ;  readonly  ; Country specific locales are not open for data submission at this time.
ff_GN      ;  readonly  ; Country specific locales are not open for data submission at this time.
ff_MR      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_BE      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_BF      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_BI      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_BJ      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_BL      ;  readonly  ; Country specific locales are not open for data submission at this time.
fr_CA      ;  readonly  ; Country specific locales are not open for data submission at this time.
