M_Id	I_Id
aka	fat
aka	twi
ara	aao
ara	abh
ara	abv
ara	acm
ara	acq
ara	acw
ara	acx
ara	acy
ara	adf
ara	aeb
ara	aec
ara	afb
ara	ajp
ara	apc
ara	apd
ara	arb
ara	arq
ara	ars
ara	ary
ara	arz
ara	auz
ara	avl
ara	ayh
ara	ayl
ara	ayn
ara	ayp
ara	bbz
ara	pga
ara	shu
ara	ssh
aym	ayc
aym	ayr
aze	azb
aze	azj
bal	bcc
bal	bgn
bal	bgp
bik	bcl
bik	bhk
bik	bln
bik	bto
bik	cts
bua	bxm
bua	bxr
bua	bxu
chm	mhr
chm	mrj
cre	crj
cre	crk
cre	crl
cre	crm
cre	csw
cre	cwd
del	umu
del	unm
den	scs
den	xsl
din	dib
din	dik
din	dip
din	diw
din	dks
doi	dgo
doi	xnr
fas	pes
fas	prs
ful	ffm
ful	fub
ful	fuc
ful	fue
ful	fuf
ful	fuh
ful	fui
ful	fuq
ful	fuv
gba	bdt
gba	gbp
gba	gbq
gba	gya
gba	mdo
gon	ggo
gon	gno
grb	gbo
grb	gec
grb	grj
grb	grv
grb	gry
grn	gnw
grn	gug
grn	gui
grn	gun
grn	nhd
hai	hax
hai	hdn
hbs	bos
hbs	hrv
hbs	srp
hmn	blu
hmn	hea
hmn	hma
hmn	hmc
hmn	hmd
hmn	hme
hmn	hmg
hmn	hmh
hmn	hmi
hmn	hmj
hmn	hml
hmn	hmm
hmn	hmp
hmn	hmq
hmn	hms
hmn	hmw
hmn	hmy
hmn	huj
hmn	mmr
hmn	muq
hmn	mww
iku	ike
iku	ikt
ipk	esi
ipk	esk
jrb	ajt
jrb	aju
jrb	jye
jrb	yhd
jrb	yud
kau	kby
kau	knc
kau	krt
kok	gom
kok	knn
kom	koi
kom	kpv
kon	kng
kon	kwy
kon	ldi
kpe	gkp
kpe	xpe
kur	ckb
kur	kmr
kur	sdh
lah	hnd
lah	hno
lah	jat
lah	phr
lah	pmu
lah	pnb
lah	skr
lah	xhe
man	emk
man	mku
man	mlq
man	mnk
man	msc
man	mwk
man	myq
mlg	bhr
mlg	bjq
mlg	bmm
mlg	msh
mlg	plt
mlg	skg
mlg	tdx
mlg	txy
mlg	xmv
mlg	xmw
mon	khk
mon	mvf
msa	btj
msa	bve
msa	bvu
msa	coa
msa	jax
msa	max
msa	meo
msa	mfa
msa	mly
msa	mqg
msa	msi
msa	vkt
msa	xmm
mwr	dhd
mwr	mtr
mwr	mve
mwr	rwr
mwr	swv
mwr	wry
nor	nno
nor	nob
oji	ciw
oji	ojb
oji	ojc
oji	ojg
oji	ojs
oji	ojw
oji	otw
orm	gax
orm	gaz
orm	hae
orm	orc
pus	pbt
pus	pbu
pus	pst
que	cqu
que	qub
que	qud
que	quf
que	qug
que	quh
que	quk
que	qul
que	qup
que	qur
que	qus
que	quw
que	qux
que	quy
que	quz
que	qva
que	qvc
que	qve
que	qvh
que	qvi
que	qvj
que	qvl
que	qvm
que	qvn
que	qvo
que	qvp
que	qvs
que	qvw
que	qvz
que	qwa
que	qwc
que	qwh
que	qws
que	qxa
que	qxc
que	qxh
que	qxl
que	qxn
que	qxo
que	qxp
que	qxr
que	qxt
que	qxu
que	qxw
raj	bgq
raj	gda
raj	gju
raj	hoj
raj	mup
raj	wbr
rom	rmc
rom	rmf
rom	rml
rom	rmn
rom	rmo
rom	rmw
rom	rmy
sqi	aae
sqi	aat
sqi	aln
sqi	als
srd	sdc
srd	sdn
srd	src
srd	sro
swa	swc
swa	swh
syr	aii
syr	cld
tmh	taq
tmh	thv
tmh	thz
tmh	ttq
uzb	uzn
uzb	uzs
yid	ydd
yid	yih
zap	zaa
zap	zab
zap	zac
zap	zad
zap	zae
zap	zaf
zap	zai
zap	zam
zap	zao
zap	zaq
zap	zar
zap	zas
zap	zat
zap	zav
zap	zaw
zap	zax
zap	zca
zap	zoo
zap	zpa
zap	zpb
zap	zpc
zap	zpd
zap	zpe
zap	zpf
zap	zpg
zap	zph
zap	zpi
zap	zpj
zap	zpk
zap	zpl
zap	zpm
zap	zpn
zap	zpo
zap	zpp
zap	zpq
zap	zpr
zap	zps
zap	zpt
zap	zpu
zap	zpv
zap	zpw
zap	zpx
zap	zpy
zap	zpz
zap	zsr
zap	zte
zap	ztg
zap	ztl
zap	ztm
zap	ztn
zap	ztp
zap	ztq
zap	zts
zap	ztt
zap	ztu
zap	ztx
zap	zty
zha	ccx
zha	zhd
zha	zhn
zha	zyg
zha	zyn
zha	zzj
zho	cdo
zho	cjy
zho	cmn
zho	cpx
zho	czh
zho	czo
zho	gan
zho	hak
zho	hsn
zho	mnp
zho	nan
zho	wuu
zho	yue
zza	diq
zza	kiu
