,,,,,,,(BCP47 Desc.),,(BCP47 Desc.),,,,,,,
WR,Name,Script_Code,Age,Size,Sample,Sample_Code,Origin Country,~Density,Likely Language,Lang_Code,ID Usage (UAX31),RTL?,LB letters?,Shaping Req?,IME?,Has Case?
1,Common,Zyyy,1.1,"6,968",@,40,n/a,n/a,n/a,n/a,Recommended,n/a,n/a,n/a,n/a,n/a
2,Latin,Latn,1.1,"1,340",L,4C,Italy,1,English,en,Recommended,no,no,min,no,Yes
3,Han,Hani,1.1,"75,963",字,5B57,China,3,Chinese,zh,Recommended,no,Yes,no,Yes,no
4,Cyrillic,Cyrl,1.1,431,Я,42F,Bulgaria,1,Russian,ru,Recommended,no,no,min,no,Yes
5,Hiragana,Hira,1.1,91,か,304B,Japan,2,Japanese,ja,Recommended,no,Yes,no,no,no
6,Katakana,Kana,1.1,300,カ,30AB,Japan,2,Japanese,ja,Recommended,no,Yes,no,no,no
7,Thai,Thai,1.1,86,ท,E17,Thailand,1,Thai,th,Recommended,no,Yes,min,no,no
8,Arabic,Arab,1.1,"1,245",ب,628,Saudi Arabia,1,Arabic,ar,Recommended,Yes,no,Yes,no,no
9,Hangul,Hang,1.1,"11,739",가,AC00,Republic of Korea,3,Korean,ko,Recommended,no,no,min,Yes,no
10,Devanagari,Deva,1.1,152,अ,905,India,1,Hindi,hi,Recommended,no,no,Yes,no,no
11,Greek,Grek,1.1,515,Ω,3A9,Greece,1,Greek,el,Recommended,no,no,no,no,Yes
12,Hebrew,Hebr,1.1,133,א,5D0,Israel,1,Hebrew,he,Recommended,Yes,no,no,no,no
13,Tamil,Taml,1.1,72,க,B95,India,1,Tamil,ta,Recommended,no,no,Yes,no,no
14,Kannada,Knda,1.1,87,ಕ,C95,India,1,Kannada,kn,Recommended,no,no,Yes,no,no
15,Georgian,Geor,1.1,127,დ,10D3,Georgia,1,Georgian,ka,Recommended,no,no,no,no,no
16,Malayalam,Mlym,1.1,99,ക,D15,India,1,Malayalam,ml,Recommended,no,no,Yes,no,no
17,Telugu,Telu,1.1,95,క,C15,India,1,Telugu,te,Recommended,no,no,Yes,no,no
18,Armenian,Armn,1.1,93,Ա,531,Armenia,1,Armenian,hy,Recommended,no,no,no,no,Yes
19,Myanmar,Mymr,3.0,223,က,1000,Myanmar,1,Burmese,my,Recommended,no,Yes,Yes,no,no
20,Gujarati,Gujr,1.1,84,ક,A95,India,1,Gujarati,gu,Recommended,no,no,Yes,no,no
21,Bengali,Beng,1.1,93,ক,995,Bangladesh,1,Bengali,bn,Recommended,no,no,Yes,no,no
22,Gurmukhi,Guru,1.1,79,ਕ,A15,India,1,Punjabi,pa,Recommended,no,no,Yes,no,no
23,Lao,Laoo,1.1,67,ລ,EA5,Laos,1,Lao,lo,Recommended,no,Yes,Yes,no,no
24,Inherited,Zinh,1.1,562,̈,308,n/a,n/a,n/a,n/a,Recommended,n/a,n/a,min,n/a,n/a
25,Khmer,Khmr,3.0,146,ក,1780,Cambodia,1,Khmer,km,Recommended,no,Yes,Yes,no,no
26,Tibetan,Tibt,2.0,207,ཀ,F40,China,1,Tibetan,bo,Recommended,no,no,Yes,no,no
27,Sinhala,Sinh,3.0,110,අ,D85,Sri Lanka,1,Sinhala,si,Recommended,no,no,Yes,no,no
28,Ethiopic,Ethi,3.0,495,አ,12A0,Ethiopia,2,Amharic,am,Recommended,no,no,min,Yes,no
29,Thaana,Thaa,3.0,50,ތ,78C,Maldives,1,Divehi,dv,Recommended,Yes,no,Yes,no,no
30,Oriya,Orya,1.1,90,କ,B15,India,1,Oriya,or,Recommended,no,no,Yes,no,no
31,Unknown,Zzzz,1.1,n/a,﷐,FDD0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
32,Canadian_Aboriginal,Cans,3.0,710,ᓀ,14C0,Canada,2,Cree,cr,Limited_Use,no,no,no,Yes,no
33,Syriac,Syrc,3.0,77,ܐ,710,Syria,1,Syriac,syr,Limited_Use,Yes,no,Yes,no,no
34,Bopomofo,Bopo,1.1,70,ㄅ,3105,China,2,Chinese,zh,Recommended,no,Yes,no,no,no
35,Nko,Nkoo,5.0,59,ߘ,7CA,Guinea,1,Manding,man,Limited_Use,Yes,no,Yes,no,no
36,Cherokee,Cher,3.0,85,Ꮔ,13C4,United States,2,Cherokee,chr,Limited_Use,no,no,no,no,Yes
37,Yi,Yiii,3.0,"1,220",ꊈ,A288,China,3,Sichuan Yi,ii,Limited_Use,no,Yes,no,Yes,no
38,Samaritan,Samr,5.2,61,ࠀ,800,Israel,1,Samaritan Hebrew,smp,Exclusion,Yes,no,min,no,no
