#Lcode	LanguageName	Status	Scode	ScriptName	References
aa	Afar	primary	Latn	Latin	
ab	Abkhazian	primary	Cyrl	Cyrillic	
abq	Abaza	primary	Cyrl	Cyrillic	
ace	Achinese	primary	Latn	Latin	
ach	Acoli	primary	Latn	Latin	(Had code ahc which is incorrect for Acoli and not an ISO 639 code)
ada	Adangme	primary	Latn	Latin	
ady	Adyghe	primary	Cyrl	Cyrillic	
ae	Avestan	secondary	Avst	Avestan	
af	Afrikaans	primary	Latn	Latin	
agq	Aghem	primary	Latn	Latin	
aii	Assyrian Neo-Aramaic	primary	Cyrl	Cyrillic	
aii	Assyrian Neo-Aramaic	secondary	Syrc	Syriac	
ain	Ainu	secondary	Kana Latn	"Katakana, Latin"	
ak	Akan	primary	Latn	Latin	
ak	Fanti	primary	Latn	Latin	"Dialect of Akan, actually - see TWS"
ak	Twi	primary	Latn	Latin	
akk	Akkadian	secondary	Xsux	Sumero-Akkadian Cuneiform	
ale	Aleut	primary	Latn	Latin	
alt	Southern Altai	primary	Cyrl	Cyrillic	
am	Amharic	primary	Ethi	Ethiopic	
amo	Amo	primary	Latn	Latin	
an	Aragonese	primary	Latn	Latin	
anp	Angika	primary	Deva	Devanagari	"India, Northern Bihar; see code bh"
aoz	Uab Meto	primary	Latn	Latin	
ar	Arabic	primary	Arab	Arabic	
ar	Arabic	secondary	Syrc	Syriac	http://en.wikipedia.org/wiki/Garshuni Garshuni or Karshuni are Arabic language writings that use the Syriac alphabet.
arc	Official Aramaic	secondary	Armi	Imperial Aramaic	
arc	Official Aramaic	secondary	Nbat	Nabataean	
arc	Official Aramaic	secondary	Palm	Palmyrene	
arn	Araucanian	primary	Latn	Latin	
arp	Arapaho	primary	Latn	Latin	
arw	Arawak	secondary	Latn	Latin	Moribund; Suriname
as	Assamese	primary	Beng	Bengali	
asa	Asu	primary	Latn	Latin	
ast	Asturian	primary	Latn	Latin	http://www.ethnologue.com/show_language.asp?code=ast
atj	Atikamekw	primary	Latn	Latin	
av	Avaric	primary	Cyrl	Cyrillic	
awa	Awadhi	primary	Deva	Devanagari	
ay	Aymara	primary	Latn	Latin	
az	Azerbaijani	primary	Arab	Arabic	
az	Azerbaijani	primary	Cyrl	Cyrillic	
az	Azerbaijani	primary	Latn	Latin	
ba	Bashkir	primary	Cyrl	Cyrillic	
bal	Baluchi	primary	Arab	Arabic	
bal	Baluchi	secondary	Latn	Latin	
ban	Balinese	primary	Latn	Latin	
ban	Balinese	secondary	Bali	Balinese	
bap	Bantawa	primary	Deva	Devanagari	
bas	Basa	primary	Latn	Latin	Macrolanguage with 4 members; may use Latin if anything (see codes bsl…)
bax	Bamum	primary	Bamu	Bamum	
bbc	Batak Toba	primary	Latn	Latin	
bbc	Batak Toba	secondary	Batk	Batak	
bbj	Ghomala	primary	Latn	Latin	
be	Belarusian	primary	Cyrl	Cyrillic	
bej	Beja	primary	Arab	Arabic	http://www.panafril10n.org/wikidoc/pmwiki.php/PanAfrLoc/Bedawi also called Bedawi (Eritrea); Arabic likely
bem	Bemba	primary	Latn	Latin	
bez	Bena	primary	Latn	Latin	
bfd	Bafut	primary	Latn	Latin	
bfq	Badaga	primary	Taml	Tamil	
bft	Balti	primary	Arab	Arabic	
bft	Balti	secondary	Tibt	Tibetan	
