Id	Ref_Name	Ret_Reason	Change_To	Ret_Remedy	Effective
fri	Western Frisian	C	fry		2007-02-01
auv	Auvergnat	M	oci		2007-03-14
gsc	Gascon	M	oci		2007-03-14
lms	Limousin	M	oci		2007-03-14
lnc	Languedocien	M	oci		2007-03-14
prv	Provençal	M	oci		2007-03-14
amd	Amapá Creole	N			2007-07-18
bgh	Bogan	D	bbh		2007-07-18
bnh	Banawá	M	jaa		2007-07-18
bvs	Belgian Sign Language	S		Split into Langue des signes de Belgique Francophone [sfb], and Vlaamse Gebarentaal [vgt]	2007-07-18
ccy	Southern Zhuang	S		Split into five languages: Nong Zhuang [zhn];  Yang Zhuang [zyg]; Yongnan Zhuang [zyn]; Zuojiang Zhuang [zzj]; Dai Zhuang [zhd].	2007-07-18
cit	Chittagonian	S		Split into Rohingya [rhg], and Chittagonian (new identifier [ctg])	2007-07-18
flm	Falam Chin	S		Split into Ranglong [rnl], and Falam Chin (new identifier [cfm]).	2007-07-18
jap	Jaruára	M	jaa		2007-07-18
kob	Kohoroxitari	M	xsu		2007-07-18
mob	Moinba	S		Split into five languages: Chug [cvg]; Lish [lsh];  Kalaktang Monpa [kkf]; Tawang Monpa [twm]; Sartang [onp]	2007-07-18
mzf	Aiku	S		Split into four languages: Ambrak [aag]; Yangum Dey [yde]; Yangum Gel [ygl]; Yangum Mon [ymo]	2007-07-18
nhj	Tlalitzlipa Nahuatl	M	nhi		2007-07-18
nhs	Southeastern Puebla Nahuatl	S		Split into Sierra Negra Nahuatl [nsu] and Southeastern Puebla Nahuatl [npl]	2007-07-18
occ	Occidental	D	ile		2007-07-18
tmx	Tomyang	M	ybi		2007-07-18
tot	Patla-Chicontla Totonac	S		Split into Upper Necaxa Totonac [tku] and Tecpatlán Totonac [tcw]	2007-07-18
xmi	Miarrã	N			2007-07-18
yib	Yinglish	M	eng		2007-07-18
ztc	Lachirioag Zapotec	M	zty		2007-07-18
atf	Atuence	N			2007-08-10
bqe	Navarro-Labourdin Basque	M	eus		2007-08-10
bsz	Souletin Basque	M	eus		2007-08-10
aex	Amerax	M	eng		2008-01-14
ahe	Ahe	M	knx		2008-01-14
aiz	Aari	S		Split into Aari [aiw] (new identifier) and Gayil [gyl]	2008-01-14
akn	Amikoana	N			2008-01-14
arf	Arafundi	S		Split into three languages: Andai [afd]; Nanubae [afk]; Tapei [afp]	2008-01-14
azr	Adzera	S		Split into three languages: Adzera [adz] (new identifier), Sukurum [zsu] and Sarasira [zsa]	2008-01-14
bcx	Pamona	S		Split into Pamona [pmf] (new identifier) and Batui [zbt]	2008-01-14
bii	Bisu	S		Split into Bisu [bzi ] (new identifier) and Laomian [lwm]	2008-01-14
bke	Bengkulu	M	pse		2008-01-14
blu	Hmong Njua	S		Split into four languages: Hmong Njua [hnj] (new identifier); Chuanqiandian Cluster Miao [cqd]; Horned Miao [hrm]; Small Flowery Miao [sfm]	2008-01-14
boc	Bakung Kenyah	M	xkl		2008-01-14
bsd	Sarawak Bisaya	M	bsb		2008-01-14
bwv	Bahau River Kenyah	N			2008-01-14
bxt	Buxinhua	D	bgk		2008-01-14
byu	Buyang	S		Split into three languages: E'ma Buyang [yzg]; Langnian Buyang [yln]; Baha Buyang [yha]	2008-01-14
