M_Id	I_Id
aka	twi
aka	fat
ara	shu
ara	aeb
ara	auz
ara	ssh
ara	abv
ara	apc
ara	ayh
ara	abh
ara	bbz
ara	adf
ara	acy
ara	avl
ara	afb
ara	arq
ara	aao
ara	acx
ara	ayl
ara	acm
ara	ars
ara	acq
ara	ayp
ara	aec
ara	ayn
ara	ajp
ara	acw
ara	ary
ara	arb
ara	pga
ara	apd
ara	arz
aym	ayr
aym	ayc
aze	azj
aze	azb
bal	bcc
bal	bgn
bal	bgp
bik	bto
bik	cts
bik	bcl
bik	bhk
bik	bln
bua	bxr
bua	bxm
bua	bxu
chm	mhr
chm	mrj
cre	crl
cre	cwd
cre	csw
cre	crk
cre	crj
cre	crm
del	umu
del	unm
den	xsl
den	scs
din	dks
din	dib
din	diw
din	dip
din	dik
doi	dgo
doi	xnr
fas	pes
fas	prs
ful	ffm
ful	fuv
ful	fub
ful	fui
ful	fue
ful	fuc
ful	fuf
ful	fuq
ful	fuh
gba	gbp
gba	bdt
gba	gbq
gba	mdo
gba	gya
gon	gno
gon	ggo
grb	grj
grb	gry
grb	gbo
grb	gec
grb	grv
grn	nhd
grn	gui
grn	gnw
grn	gun
grn	gug
hai	hdn
hai	hax
hbs	bos
hbs	hrv
hbs	srp
hmn	muq
hmn	hmi
hmn	hmy
hmn	mmr
hmn	hmw
hmn	hmh
hmn	hmg
hmn	hmp
hmn	hma
hmn	hme
hmn	mww
hmn	hms
hmn	huj
hmn	hmd
hmn	hml
hmn	hmc
hmn	hmq
hmn	hmm
hmn	blu
hmn	hea
hmn	hmj
iku	ikt
iku	ike
ipk	esi
ipk	esk
jrb	ajt
jrb	jye
jrb	aju
jrb	yud
jrb	yhd
kau	krt
kau	knc
kau	kby
kok	knn
kok	gom
kom	koi
kom	kpv
kon	ldi
kon	kng
kon	kwy
kpe	gkp
kpe	xpe
kur	kmr
kur	ckb
kur	sdh
lah	pmu
lah	hno
lah	hnd
lah	xhe
lah	pnb
lah	skr
lah	phr
lah	jat
man	msc
man	mku
man	mnk
man	mlq
man	mwk
man	myq
man	emk
mlg	xmv
mlg	txy
mlg	bhr
mlg	plt
mlg	msh
mlg	bmm
mlg	bjq
mlg	xmw
mlg	skg
mlg	tdx
mon	khk
mon	mvf
msa	mly
msa	msi
msa	jax
msa	vkt
msa	mfa
msa	max
msa	xmm
msa	meo
msa	coa
msa	bvu
msa	bve
msa	btj
msa	mqg
mwr	mtr
mwr	mve
mwr	dhd
mwr	swv
mwr	rwr
mwr	wry
nor	nno
nor	nob
oci	auv
oci	prv
oci	lms
oci	gsc
oci	lnc
oji	ojs
oji	otw
oji	ojg
oji	ciw
oji	ojc
oji	ojw
oji	ojb
orm	gax
orm	hae
orm	orc
orm	gaz
pus	pst
pus	pbt
pus	pbu
que	qxw
que	qvw
que	qwh
que	qvh
que	qve
que	quz
que	qwa
que	qul
que	quf
que	qvm
que	qvo
que	qub
que	qxo
que	quw
que	qus
que	qxl
que	qvz
que	qvj
que	qvi
que	qxr
que	qux
que	qws
que	qup
que	qvn
que	qud
que	quh
que	qwc
que	qxt
que	qvs
que	qxp
que	qxh
que	qvp
que	qxn
que	qur
que	qxu
que	qxa
que	qug
que	qva
que	quy
que	qvc
que	qvl
que	quk
que	cqu
que	qxc
raj	wbr
raj	mup
raj	bgq
raj	gju
raj	gda
raj	hoj
rom	rml
rom	rmf
rom	rmo
rom	rmw
rom	rmn
rom	rmy
rom	rmc
sqi	als
sqi	aae
sqi	aln
sqi	aat
srd	sdc
srd	src
srd	sro
srd	sdn
swa	swh
swa	swc
syr	aii
syr	cld
tmh	thv
tmh	thz
tmh	taq
tmh	ttq
uzb	uzs
uzb	uzn
yid	yih
yid	ydd
zap	zae
zap	ztg
zap	zax
zap	zty
zap	zph
zap	zav
zap	zab
zap	zpx
zap	zpb
zap	zpk
zap	ztx
zap	zpu
zap	zpm
zap	ztm
zap	zar
zap	ztq
zap	zpj
zap	zad
zap	zpa
zap	zao
zap	zac
zap	zpw
zap	zaw
zap	zam
zap	zpy
zap	ztp
zap	zpl
zap	ztc
zap	zpq
zap	zpe
zap	zpf
zap	zat
zap	zpd
zap	zaa
zap	zsr
zap	zaq
zap	zpo
zap	zoo
zap	zaf
zap	ztt
zap	zpz
zap	zts
zap	zpc
zap	zpv
zap	zpn
zap	ztu
zap	zpg
zap	zte
zap	zpp
zap	ztn
zap	zai
zap	zpi
zap	ztl
zap	zpr
zap	zas
zap	zps
zap	zca
zap	zpt
zha	ccx
zha	ccy
zho	czh
zho	czo
zho	mnp
zho	yue
zho	hsn
zho	wuu
zho	cpx
zho	gan
zho	nan
zho	cjy
zho	hak
zho	cdo
zho	cmn
zza	diq
zza	kiu
