This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP (purchasing power parity) 	 Date of Information
1 	 World 	 $   65,610,000,000,000 	 2007 est.
2 	 European Union 	 $   14,380,000,000,000 	 2007 est.
3 	 United States 	 $   13,840,000,000,000 	 2007 est.
4 	 China 	 $    6,991,000,000,000 	 2007 est.
5 	 Japan 	 $    4,290,000,000,000 	 2007 est.
6 	 India 	 $    2,989,000,000,000 	 2007 est.
7 	 Germany 	 $    2,810,000,000,000 	 2007 est.
8 	 United Kingdom 	 $    2,137,000,000,000 	 2007 est.
9 	 Russia 	 $    2,088,000,000,000 	 2007 est.
10 	 France 	 $    2,047,000,000,000 	 2007 est.
11 	 Brazil 	 $    1,836,000,000,000 	 2007 est.
12 	 Italy 	 $    1,786,000,000,000 	 2007 est.
13 	 Spain 	 $    1,352,000,000,000 	 2007 est.
14 	 Mexico 	 $    1,346,000,000,000 	 2007 est.
15 	 Canada 	 $    1,266,000,000,000 	 2007 est.
16 	 Korea, South 	 $    1,201,000,000,000 	 2007 est.
17 	 Turkey 	 $     888,000,000,000 	 2007 est.
18 	 Indonesia 	 $     837,800,000,000 	 2007 est.
19 	 Australia 	 $     760,800,000,000 	 2007 est.
20 	 Iran 	 $     753,000,000,000 	 2007 est.
21 	 Taiwan 	 $     695,400,000,000 	 2007 est.
22 	 Netherlands 	 $     639,500,000,000 	 2007 est.
23 	 Poland 	 $     620,900,000,000 	 2007 est.
24 	 Saudi Arabia 	 $     564,600,000,000 	 2007 est.
25 	 Argentina 	 $     523,700,000,000 	 2007 est.
26 	 Thailand 	 $     519,400,000,000 	 2007 est.
27 	 South Africa 	 $     467,100,000,000 	 2007 est.
28 	 Pakistan 	 $     410,000,000,000 	 2007 est.
29 	 Egypt 	 $     404,000,000,000 	 2007 est.
30 	 Belgium 	 $     376,000,000,000 	 2007 est.
31 	 Malaysia 	 $     357,400,000,000 	 2007 est.
32 	 Sweden 	 $     334,600,000,000 	 2007 est.
33 	 Venezuela 	 $     334,600,000,000 	 2007 est.
34 	 Greece 	 $     324,600,000,000 	 2007 est.
35 	 Ukraine 	 $     320,100,000,000 	 2007 est.
36 	 Colombia 	 $     319,500,000,000 	 2007 est.
37 	 Austria 	 $     317,800,000,000 	 2007 est.
38 	 Switzerland 	 $     300,200,000,000 	 2007 est.
39 	 Philippines 	 $     299,600,000,000 	 2007 est.
40 	 Hong Kong 	 $     292,800,000,000 	 2007 est.
41 	 Nigeria 	 $     292,700,000,000 	 2007 est.
42 	 Czech Republic 	 $     248,900,000,000 	 2007 est.
