Code;Name;Type;Data;Source
AX;Aland Islands;gdp-ppp;$929,773,254;www.aland.ax
GF;French Guiana;gdp-ppp;$1,551,000,000;www.countryreports.org
GP;Guadeloupe;gdp-ppp;$3,513,000,000;www.countryreports.org
MQ;Martinique;gdp-ppp;$6,117,000,000;www.countryreports.org
RE;Reunion;gdp-ppp;$4,790,000,000;www.countryreports.org

AX;Aland Islands;population;26,200;www.aland.ax
GF;French Guiana;population;199,509;www.countryreports.org
GP;Guadeloupe;population;452,776;www.countryreports.org
MQ;Martinique;population;436,131;www.countryreports.org
RE;Reunion;population;787,584;www.countryreports.org

AX;Aland Islands;literacy;FI;
BL;Saint Barthélemy;literacy;FR;


EH;Western Sahara;literacy;50;http://en.wikipedia.org/wiki/Culture_of_Western_Sahara
FK;Falkland Islands;literacy;GB;
FO;Faroe Islands;literacy;99;original.britannica.com
GF;French Guiana;literacy;83;original.britannica.com
GG;Guernsey;literacy;100;original.britannica.com
GP;Guadeloupe;literacy;90;original.britannica.com
IM;Isle of Man;literacy;GB;
JE;Jersey;literacy;GB;
KI;Kiribati;literacy;90;original.britannica.com
ME;Montenegro;literacy;RS;
MF;Saint Martin;literacy;FR;
MQ;Martinique;literacy;98;original.britannica.com

NR;Nauru;literacy;99;original.britannica.com

RE;Reunion;literacy;88;original.britannica.com
SB;Solomon Islands;literacy;54;original.britannica.com


TV;Tuvalu;literacy;95;original.britannica.com
YT;Mayotte;literacy;92;original.britannica.com


AX;Aland Islands;gdp-ppp;$26200;
BL;Saint Barthélemy;gdp-ppp;$255,000,000 ;en.wikipedia.org



FK;Falkland Islands;gdp-ppp;$75000000;
FO;Faroe Islands;gdp-ppp;$1000000000;
GF;French Guiana;gdp-ppp;$199509;
GG;Guernsey;gdp-ppp;$2742000000;
GP;Guadeloupe;gdp-ppp;$452776;
IM;Isle of Man;gdp-ppp;$2719000000;
JE;Jersey;gdp-ppp;$5100000000;
KI;Kiribati;gdp-ppp;$348000000;
ME;Montenegro;gdp-ppp;$5918000000;
MF;Saint Martin;gdp-ppp;$449,000,000 ;en.wikipedia.org
MQ;Martinique;gdp-ppp;$436131;

NR;Nauru;gdp-ppp;$60000000;

RE;Reunion;gdp-ppp;$787584;
SB;Solomon Islands;gdp-ppp;$948000000

TK;Tokelau;gdp-ppp;$1500000
TV;Tuvalu;gdp-ppp;$14940000
YT;Mayotte;gdp-ppp;$953600000

AQ;Antarctica;population;1;uninhabited
BV;Bouvet Island;population;1;uninhabited
GS;South Georgia and the South Sandwich Islands;population;1;uninhabited
HM;Heard Island and McDonald Islands;population;1;uninhabited
IO;British Indian Ocean Territory;population;1;uninhabited
TF;French Southern Territories;population;1;uninhabited
UM;United States Minor Outlying Islands;population;1;uninhabited
