Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,20093756,20966463,21979923,23064851,28803167,29708599,30696958,31731688,32758020,33736494,34656032,35530081
Afghanistan,AFG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,47883270732.9392,48940525323.2712,56348385997.4227,60580430923.3647,63120259411.1315,65323494743.2641,67379050559.6181,70416279905.1517
Albania,ALB,"Population, total",SP.POP.TOTL,3089027,3060173,3051010,3039616,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457
Albania,ALB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,12293772306.4158,13588517575.5758,14577756031.2367,15604557569.1221,27766188124.0274,29663095949.5289,30303014951.871,31131390270.7761,32827720659.912,33994639403.9815,34752487895.2291,37487942178.7231
Algeria,DZA,"Population, total",SP.POP.TOTL,31183660,31592153,31995046,32403514,36117637,36819558,37565847,38338562,39113313,39871528,40606052,41318142
Algeria,DZA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,239902565103.632,258154158879.52,274117971410.277,300483017115.113,454357976236.17,473230115543.805,494193563909.627,514565513444.549,543490115942.322,567087572439.5,603653532178.018,620745386880.362
American Samoa,ASM,"Population, total",SP.POP.TOTL,57521,58175,58731,59117,55637,55320,55230,55307,55437,55537,55599,55641
American Samoa,ASM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,65390,67341,70049,73182,84449,83751,82431,80788,79223,78014,77281,76965
Andorra,AND,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Population, total",SP.POP.TOTL,16440924,16983266,17572649,18203369,23369131,24218565,25096150,25998340,26920466,27859305,28813463,29784193
Angola,AGO,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,41269844099.1597,44493939426.1829,55565655325.4937,59022797562.5602,131504926524.221,140379801773.899,156088735337.517,168093503001.273,181620947089.018,187274832215.844,184543205295.317,191822506864.743
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,83584,85057,86266,87293,94661,95719,96777,97824,98875,99923,100963,102012
Antigua and Barbuda,ATG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1185528861.07491,1180083062.18476,1185583801.54474,1290118722.91471,1733217787.23576,1719331893.90768,1798113662.86528,1825540646.30892,1928690440.67447,2020457386.50301,2113672878.04279,2286818981.76536
Argentina,ARG,"Population, total",SP.POP.TOTL,37057452,37471509,37889370,38309379,41223889,41656879,42096739,42539925,42981515,43417765,43847430,44271041
Argentina,ARG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,426027809868.323,415584760429.294,367476534134.439,412442443859.901,730027037643.56,794325172722.152,804725313928.893,839273976879.562,833679640952.101,867305880221.45,859502357374.647,896497071408.145
Armenia,ARM,"Population, total",SP.POP.TOTL,3069588,3050655,3033897,3017806,2877311,2875581,2881922,2893509,2906220,2916950,2924816,2930450
Armenia,ARM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,7312962664.13328,8216359860.09029,9503884952.94389,11017601206.143,19831189704.5184,20909524017.3555,22923441898.4824,24560691898.0169,25541323997.096,26526222992.7653,26383458952.6329,29406896671.4857
Aruba,ABW,"Population, total",SP.POP.TOTL,90853,92898,94992,97017,101669,102053,102577,103187,103795,104341,104822,105264
Aruba,ABW,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2958823996.33369,2885768785.72736,2717073846.10872,2958097472.25177,3229098056.8972,3271119262.41504,3471440074.12843,3606448266.46301,3800924779.79467,3794859356.88971,3816136843.94963,3886374942.94266
Australia,AUS,"Population, total",SP.POP.TOTL,19153000,19413000,19651400,19895400,22031750,22340024,22742475,23145901,23504138,23850784,24210809,24598933
Australia,AUS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,489486706602.537,516000750300.007,548780761547.037,573813339508.69,831622060334.945,898284771139.577,942264701012.587,1033546561004.14,1069850442929.34,1079646643445.89,1092062650073.61,1160066249864.98
Austria,AUT,"Population, total",SP.POP.TOTL,8011566,8042293,8081957,8121423,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8809212
Austria,AUT,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,233293523085.72,235906682646.161,250522395607.009,260094600506.29,354597908102.449,374289188740.567,392030460346.489,407466618825.439,417504948065.654,427968933419.101,441164388695.935,462491893585.913
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,8048600,8111200,8171950,8234100,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9862429
Azerbaijan,AZE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,26907747949.7874,30092243506.5515,33691778852.0805,38251241287.3622,133024671566.994,134628001917.261,141899205791.891,153660985190.036,163084258618.353,165029081726.435,157304710752.585,164179157033.499
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,297890,303135,309157,315746,360832,366568,372039,377240,382169,386838,391232,395361
"Bahamas, The",BHS,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,7654428803.50663,7980843817.46429,8349426137.94059,8438897568.32274,10118600638.0068,10410677220.26,11022636152.5189,11165488572.2938,11198086531.5633,11471609123.807,11342593120.372,11778573892.9034
Bahrain,BHR,"Population, total",SP.POP.TOTL,664614,697549,735148,778711,1240862,1278269,1300217,1315411,1336397,1371855,1425171,1492584
Bahrain,BHR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,23090979986.5766,23928992957.26,24686622654.2117,26977485405.2054,44771842447.2633,45304049174.4875,47470308994.0223,51090175533.2789,51245353865.5157,60590568956.3808,62663626563.0487,66940938081.0099
Bangladesh,BGD,"Population, total",SP.POP.TOTL,131581243,134107160,136600667,139019001,152149102,153911916,155727053,157571292,159405279,161200886,162951560,164669751
Bangladesh,BGD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,176805519557.508,189628872228.56,201775401847.949,215636694275.501,393637572048.046,427013979840.347,465580517217.896,499607752348.852,532517173362.695,572635320427.63,616925926094.203,664453415167.261
Barbados,BRB,"Population, total",SP.POP.TOTL,269847,270685,271478,272258,279569,280601,281585,282509,283385,284217,284996,285719
Barbados,BRB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3211417997.93327,3191024917.53293,3257982286.80614,3382857818.88999,4387925517.93413,4324432732.2635,4545685093.09991,4594738845.62762,4674839283.82288,4750290089.3719,4894889612.39521,5038186645.70633
Belarus,BLR,"Population, total",SP.POP.TOTL,9979610,9928549,9865548,9796749,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9507875
Belarus,BLR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,59694800223.16,63911654850.2889,68314105371.963,74835432406.348,148375298360.523,159291474012.518,164636187636.084,166708589738.749,173511285059.059,166421688460.163,163886071042.138,172327296507.067
Belgium,BEL,"Population, total",SP.POP.TOTL,10251250,10286570,10332785,10376133,10895586,11047744,11128246,11182817,11209057,11274196,11331422,11372068
Belgium,BEL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,294082652230.282,303542176567.053,320209435474.636,328166754831.59,450583017477.364,460300440792.344,482866602524.883,494697245976.635,503754370705.836,511030882677.772,529781351066.491,548603821199.519
Belize,BLZ,"Population, total",SP.POP.TOTL,247315,254984,262206,269130,321608,329192,336701,344181,351694,359288,366954,374681
Belize,BLZ,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1276465515.70706,1351521169.84584,1449625250.8442,1585107450.28974,2233987304.64554,2416783251.47347,2502531294.59729,2572134601.97678,2693670832.28946,2900324010.80898,2897415427.43171,2921473440.89471
Benin,BEN,"Population, total",SP.POP.TOTL,6865951,7076733,7295394,7520555,9199259,9460802,9729160,10004451,10286712,10575952,10872298,11175692
Benin,BEN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,9025859973.53171,9717145166.20424,10285377482.0237,10845835532.8368,16267176092.2592,17192949487.5054,18238941538.6225,19879059522.7251,21547949576.4992,22202034715.4796,23459423116.0036,25205479166.0518
Bermuda,BMU,"Population, total",SP.POP.TOTL,61833,62504,62912,63325,65124,64564,64798,65001,65139,65239,65341,65441
Bermuda,BMU,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,4487559256.41573,4397668042.07143,4350575556.86814,4333585301.68757,..,..,..,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,573416,589600,606399,623434,727641,740510,752967,764961,776448,787386,797765,807610
