Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,20093756,20966463,21979923,23064851,24118979,25070798,25893450,26616792,27294031,28004331,28803167,29708599,30696958,31731688,32758020,33736494,34656032,35530081
Afghanistan,AFG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,19202168208.0175,21252007733.2421,22134851020.6294,25406550418.3726,27761871367.4836,32316545463.8146,34181087567.1196,41684373490.0272,45732340266.1703,49888820621.1393,58374063905.6029,61579304418.296,64014397930.1323,65573681035.508,68140183751.909,71050265760.6393
Albania,ALB,"Population, total",SP.POP.TOTL,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457
Albania,ALB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,12811632389.5263,14065584344.9061,14862377847.2658,15969882459.3732,17111639146.9918,18254799261.5056,20424212267.7075,22256276513.9624,24373910573.7303,25390798025.1325,27793320160.9902,29663229076.2407,30302902932.7462,31131241234.964,32827676355.2593,33039219274.3033,33784487568.2081,34815320843.7715
Algeria,DZA,"Population, total",SP.POP.TOTL,31183660,31592153,31995046,32403514,32831096,33288437,33777915,34300076,34860715,35465760,36117637,36819558,37565847,38338562,39113313,39871528,40606052,41318142
Algeria,DZA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,239902565103.632,258154158879.52,274117971410.277,300483017115.113,320350572615.79,347228355991.424,367501778915.349,400289847077.8,420933998104.88,430024503508.274,454357976236.17,473230115543.805,494193563909.627,514565513444.549,543490115942.322,567077681257.344,603612916193.911,621886410216.639
American Samoa,ASM,"Population, total",SP.POP.TOTL,57521,58175,58731,59117,59264,59118,58650,57903,57030,56227,55637,55320,55230,55307,55437,55537,55599,55641
American Samoa,ASM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,65390,67341,70049,73182,76244,78867,80991,82683,83861,84462,84449,83751,82431,80788,79223,78014,77281,76965
Andorra,AND,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Population, total",SP.POP.TOTL,16440924,16983266,17572649,18203369,18865716,19552542,20262399,20997687,21759420,22549547,23369131,24218565,25096150,25998340,26920466,27859305,28813463,29784193
