# Territory names from CLDR
অ্যাসসেনশন আইল্যান্ড	அ்யாஸஸேநஶந ஆஇல்யாந்ட
এ্যান্ডোরা	ஏ்யாந்டோரா
সংযুক্ত আরব আমিরাত	ஸஂயுக்த ஆரப ஆமிராத
আফগানিস্তান	ஆபகாநிஸ்தாந
এন্টিগুয়া ও বারবুডা	ஏந்டிகுயா ஓ பாரபுடா
এ্যাঙ্গুইলা	ஏ்யாங்குஇலா
আলব্যানিয়া	ஆலப்யாநியா
আর্মেনিয়া	ஆர்மேநியா
অ্যাঙ্গোলা	அ்யாங்கோலா
অ্যান্টার্কটিকা	அ்யாந்டார்கடிகா
আর্জেন্টিনা	ஆர்ஜேந்டிநா
আমেরিকান সামোয়া	ஆமேரிகாந ஸாமோயா
অস্ট্রিয়া	அஸ்ட்ரியா
অস্ট্রেলিয়া	அஸ்ட்ரேலியா
আরুবা	ஆருபா
আলান্ড দ্বীপপুঞ্জ	ஆலாந்ட த்பீபபுஞ்ஜ
আজারবাইজান	ஆஜாரபாஇஜாந
বসনিয়া ও হার্জেগোভিনা	பஸநியா ஓ ஹார்ஜேகோபிநா
বারবাদোস	பாரபாதோஸ
বাংলাদেশ	பாஂலாதேஶ
বেলজিয়াম	பேலஜியாம
বুরকিনা ফাসো	புரகிநா பாஸோ
বুলগেরিয়া	புலகேரியா
বাহরাইন	பாஹராஇந
বুরুন্ডি	புருந்டி
বেনিন	பேநிந
সেন্ট বারথেলিমি	ஸேந்ட பாரதேலிமி
বারমুডা	பாரமுடா
ব্রুনেই	ப்ருநேஇ
বোলিভিয়া	போலிபியா
ক্যারিবিয়ান নেদারল্যান্ডস	க்யாரிபியாந நேதாரல்யாந்டஸ
ব্রাজিল	ப்ராஜில
বাহামা দ্বীপপুঞ্জ	பாஹாமா த்பீபபுஞ்ஜ
ভুটান	புடாந
বোভেট দ্বীপ	போபேட த்பீப
বতসোয়ানা	பதஸோயாநா
বেলোরুশিয়া	பேலோருஶியா
বেলিজ	பேலிஜ
কানাডা	காநாடா
কোকোস (কিলিং)দ্বীপপুঞ্জ	கோகோஸ (கிலிஂ)த்பீபபுஞ்ஜ
কঙ্গো-কিনশাসা	கங்கோ-கிநஶாஸா
কঙ্গো(DRC)	கங்கோ(DRC)
মধ্য আফ্রিকার প্রজাতন্ত্র	மத்ய ஆப்ரிகார ப்ரஜாதந்த்ர
কঙ্গো - ব্রাজাভিল	கங்கோ - ப்ராஜாபில
কঙ্গো (প্রজাতন্ত্র)	கங்கோ (ப்ரஜாதந்த்ர)
সুইজারল্যান্ড	ஸுஇஜாரல்யாந்ட
আইভরি কোস্ট	ஆஇபரி கோஸ்ட
কুক দ্বীপপুঞ্জ	குக த்பீபபுஞ்ஜ
চিলি	சிலி
ক্যামেরুন	க்யாமேருந
চীন	சீந
