ababuj	أفافوخ
abades	أفاذيس
abadia	أفاذيا
abadiano	أفاذيانو
abadin	أفاذين
abanades	أفاناذيس
abanilla	أفانيليا
abaran	أفاران
abegondo	أفيغوندو
abejar	أفيخار
abejuela	أفيخويلا
abengibra	أفينخيفرا
abenojar	أفينوخار
abiego	أفيغو
abla	أفلا
ablitas	أفليتاس
abrera	أفريرا
abrucena	أفروثينا
acebo	أثيفو
acedera	أثيذيرا
acehuche	أثيأتشي
aceuchal	أثيوتشال
acrijos	أكريخوس
adahuesca	أذاأيسكا
adamuz	أذاموث
adanero	أذانيرو
aday	أذاي
adeje	أذيخي
ademuz	أذيموث
ador	أذور
adra	أذرا
adradas	أذراذاس
adrados	أذراذوس
adzaneta	أذثانيتا
agaete	أغايتي
ager	أخير
agoncillo	أغونثيليو
agost	أغوست
agramon	أغرامون
agramunt	أغرامونت
agreda	أغريذا
agres	أغريس
agron	أغرون
aguadulce	أغواذولثي
aguamansa	أغوامانسا
aguaron	أغوارون
aguas	أغواس
aguaviva	أغوافيفا
agudo	أغوذو
agüera	أغويرا
agüero	أغويرو
aguila	أغيلا
aguilafuente	أغيلافوينتي
aguilas	أغيلاس
agüimes	أغويميس
agullana	أغوليانا
agulo	أغولو
ahigal	أإِغال
ahillones	أإِليونيس
aianis	أيانيس
aibar	أيفار
aiguamurcia	أيغوامورثيا
ainsa	أينسا
aizpun	أيثبون
ajamil	أخاميل
alaejos	ألايخوس
alagon	ألاغون
alajar	ألاخار
alajero	ألاخيرو
alameda	ألاميذا
alamedilla	ألاميذيليا
alamillo	ألاميليو
alaminos	ألامينوس
alange	ألانخي
alarcon	ألاركون
alarilla	ألاريليا
alaro	ألارو
alatoz	ألاتوث
alayor	ألايور
alba	ألفا
albacete	ألفاثيتي
albages	ألفاخيس
albaladejo	ألفالاذيخو
albalatillo	ألفالاتيليو
albana	ألفانا
albanchez	ألفانتشيث
albares	ألفاريس
albarracin	ألفاراثين
albatana	ألفاتانا
albatera	ألفاتيرا
albendea	ألفينديا
albendin	ألفيندين
albentosa	ألفينتوسا
alberique	ألفيريكي
alberite	ألفيريتي
albesa	ألفيسا
albinana	ألفينانا
albocacer	ألفوكاثير
alboloduy	ألفولوذوي
albolote	ألفولوتي
albondon	ألفوندون
alboraya	ألفورايا
alborea	ألفوريا
albox	ألفوكس
albudeite	ألفوذييتي
albujon	ألفوخون
albuñol	ألفونول
albuñuelas	ألفونويلاس
alcadozo	ألكاذوثو
alcaine	ألكايني
alcampel	ألكامبيل
alcanadre	ألكاناذري
alcanar	ألكانار
alcanices	ألكانيثيس
alcaniz	ألكانيث
alcantara	ألكانتارا
alcantarilla	ألكانتاريليا
alcantud	ألكانتوذ
alcaracejos	ألكاراثيخوس
alcaraz	ألكاراث
alcarras	ألكاراس
alcaucin	ألكاوثين
alcaudete	ألكاوذيتي
alcazaren	ألكاثارين
alceda	ألثيذا
alcira	ألثيرا
alcoba	ألكوفا
alcobendas	ألكوفينداس
alcocebre	ألكوثيفري
alcocer	ألكوثير
alcohujate	ألكوأخاتي
alcolea	ألكوليا
alcollarin	ألكوليارين
alconchel	ألكونتشيل
alconera	ألكونيرا
alcontar	ألكونتار
alcora	ألكورا
alcorisa	ألكوريسا
alcoroches	ألكوروتشيس
alcover	ألكوفير
alcoy	ألكوي
alcubierre	ألكوفيري
alcubillas	ألكوفيلياس
alcublas	ألكوفلاس
alcudia	ألكوذيا
alcuescar	ألكويسكار
alcuneza	ألكونيثا
aldaya	ألدايا
aldea	ألديا
aldeacentenera	ألدياثينتينيرا
aldealpozo	ألديالبوثو
aldeaquemada	ألدياكيماذا
aldearrodrigo	ألدياروذريغو
aldeavieja	ألديافيخا
aldehuela	ألديأيلا
aldeire	ألدييري
aldover	ألدوفير
aledo	أليذو
alegria	أليغريا
alerre	أليري
aleson	أليسون
alfacar	ألفاكار
alfaiz	ألفايث
alfajarin	ألفاخارين
alfambra	ألفامبرا
alfamen	ألفامين
alfara	ألفارا
alfaraz	ألفاراث
alfaro	ألفارو
alfarras	ألفاراس
alfoz	ألفوث
algaida	ألغايذا
algamitas	ألغاميتاس
algarinejo	ألغارينيخو
algarra	ألغارا
algarrobo	ألغاروفو
algatocin	ألغاتوثين
algeciras	ألخيثيراس
algemesi	ألخيميسي
algete	ألخيتي
alginet	ألخينيت
algodonales	ألغوذوناليس
algora	ألغورا
algria	ألغريا
alguaire	ألغوايري
alguazas	ألغواثاس
algueña	ألغينا
alia	أليا
aliaga	ألياغا
alicante	أليكانتي
aliseda	أليسيذا
aljaraque	ألخاراكي
aljibe	ألخيفي
aljorra	ألخورا
aljucen	ألخوثين
allariz	ألياريث
allepuz	أليبوث
aller	ألير
alles	أليس
allo	أليو
alloza	أليوثا
almacellas	ألماثيلياس
almachar	ألماتشار
almaciles	ألماثيليس
almaden	ألماذين
almadenejos	ألماذينيخوس
almadrones	ألماذرونيس
almagro	ألماغرو
almajano	ألماخانو
almaluez	ألمالويث
almansa	ألمانسا
almanza	ألمانثا
almaraz	ألماراث
almatret	ألماتريت
almazan	ألماثان
almazora	ألماثورا
almazul	ألماثول
almedina	ألميذينا
almedinilla	ألميذينيليا
almegijar	ألميخيخار
almeida	ألمييذا
almenar	ألمينار
almenara	ألمينارا
almendra	ألميندرا
almendral	ألميندرال
almendralejo	ألميندراليخو
almendricos	ألميندريكوس
almendros	ألميندروس
almeria	ألميريا
almogia	ألموخيا
almoguera	ألموغيرا
almohaja	ألموأخا
almoharin	ألموأرين
almonte	ألمونتي
almoradi	ألموراذي
almorox	ألموروكس
almudebar	ألموذيفار
almuñécar	ألمونيكار
almuniente	ألمونينتي
almuradiel	ألموراذيل
almusafes	ألموسافيس
alobras	ألوفراس
alocen	ألوثين
alora	ألورا
alos	ألوس
alosno	ألوسنو
alovera	ألوفيرا
alozaina	ألوثاينا
alp	ألب
alpandeire	ألباندييري
alpanseque	ألبانسيكي
alpedroches	ألبيذروتشيس
alpeñés	ألبينيس
alpens	ألبينس
alpera	ألبيرا
alperiz	ألبيريث
