# Territory names from CLDR
ಅಸೆನ್ಶನ್ ದ್ವೀಪ	അസെന്ശന് ദ്വീപ
ಅಂಡೋರಾ	അംഡോരാ
ಸಂಯುಕ್ತ ಅರಬ್ ಎಮಿರೇಟಸ್	സംയുക്ത അരബ് എമിരേടസ്
ಅಫಘಾನಿಸ್ಥಾನ್	അഫഘാനിസ്ഥാന്
ಆಂಟಿಗುವಾ ಮತ್ತು ಬರ್ಬುಡಾ	ആംടിഗുവാ മത്തു ബര്ബുഡാ
ಆಂಗುಯಿಲ್ಲಾ	ആംഗുയില്ലാ
ಅಲ್ಬೇನಿಯಾ	അല്ബേനിയാ
ಅರ್ಮೇನಿಯಾ	അര്മേനിയാ
ಅಂಗೋಲಾ	അംഗോലാ
ಅಂಟಾರ್ಟಿಕಾ	അംടാര്ടികാ
ಅರ್ಜೆಂಟಿನಾ	അര്ജെംടിനാ
ಅಮೇರಿಕನ್ ಸಮೋವಾ	അമേരികന് സമോവാ
ಆಸ್ಟ್ರಿಯಾ	ആസ്ട്രിയാ
ಆಸ್ಟ್ರೇಲಿಯ	ആസ്ട്രേലിയ
ಅರುಬಾ	അരുബാ
ಆಲ್ಯಾಂಡ್ ದ್ವೀಪಗಳು	ആല്യാംഡ് ദ്വീപഗളു
ಅಜರ್ಬೈಜಾನ್	അജര്ബൈജാന്
ಬೋಸ್ನಿಯಾ ಮತ್ತು ಹರ್ಜೆಗೋವಿನಾ	ബോസ്നിയാ മത്തു ഹര്ജെഗോവിനാ
ಬಾರ್ಬಡೋಸ್	ബാര്ബഡോസ്
ಬಾಂಗ್ಲಾದೇಶ್	ബാംഗ്ലാദേശ്
ಬೆಲ್ಜಿಯಮ್	ബെല്ജിയമ്
ಬುರ್ಕಿನಾ ಫಾಸೋ	ബുര്കിനാ ഫാസോ
ಬಲ್ಗೇರಿಯಾ	ബല്ഗേരിയാ
ಬಹರೈನ್	ബഹരൈന്
ಬುರುಂಡಿ	ബുരുംഡി
ಬೆನಿನ್	ബെനിന്
ಸೇಂಟ್ ಬಾರ್ಥೆಲೆಮಿ	സേംട് ബാര്ഥെലെമി
ಬರ್ಮುಡಾ	ബര്മുഡാ
ಬ್ರೂನಿ	ബ്രൂനി
ಬೊಲಿವಿಯಾ	ബൊലിവിയാ
ಕೆರೀಬಿಯನ್ ನೆದರ್‌ಲ್ಯಾಂಡ್ಸ್	കെരീബിയന് നെദര്‌ല്യാംഡ്സ്
ಬ್ರೆಜಿಲ್	ബ്രെജില്
ಬಹಾಮಾಸ್	ബഹാമാസ്
ಭೂತಾನ್	ഭൂതാന്
ಬೋವೆಟ್ ದ್ವೀಪ	ബോവെട് ദ്വീപ
ಬೋಟ್ಸ್‌ವಾನಾ	ബോട്സ്‌വാനാ
ಬೆಲಾರಸ್	ബെലാരസ്
ಬೆಲಿಜ್	ബെലിജ്
ಕೆನಡಾ	കെനഡാ
ಕೊಕೊಸ್ (ಕೀಲಿಂಗ್) ದ್ವೀಪಗಳು	കൊകൊസ് (കീലിംഗ്) ദ്വീപഗളു
ಕಾಂಗೋ - ಕಿನ್ಶಾಸಾ	കാംഗോ - കിന്ശാസാ
ಕಾಂಗೋ (DRC)	കാംഗോ (DRC)
ಮಧ್ಯ ಆಫ್ರಿಕಾ ಗಣರಾಜ್ಯ	മധ്യ ആഫ്രികാ ഗണരാജ്യ
ಕಾಂಗೋ - ಬ್ರಾಜಾವಿಲ್ಲೇ	കാംഗോ - ബ്രാജാവില്ലേ
ಕಾಂಗೋ (ಗಣರಾಜ್ಯ)	കാംഗോ (ഗണരാജ്യ)
ಸ್ವಿಟ್ಜರ್ಲ್ಯಾಂಡ್	സ്വിട്ജര്ല്യാംഡ്
ಕೋತ್‌ ದಿವಾರ್‍	കോത്‌ ദിവാര്‍
ಐವರಿ ಕೋಸ್ಟ್	ഐവരി കോസ്ട്
ಕುಕ್ ದ್ವೀಪಗಳು	കുക് ദ്വീപഗളു
ಚಿಲಿ	ചിലി
ಕ್ಯಾಮರೋನ್	ക്യാമരോന്
ಚೀನಾ	ചീനാ
ಕೊಲಂಬಿಯಾ	കൊലംബിയാ
ಕ್ಲಿಪ್ಪರ್‌ಟಾನ್ ದ್ವೀಪಗಳು	ക്ലിപ്പര്‌ടാന് ദ്വീപഗളു
ಕೊಸ್ಟಾ ರಿಕಾ	കൊസ്ടാ രികാ
ಕ್ಯೂಬಾ	ക്യൂബാ
ಕೇಪ್ ವರ್ಡೆ	കേപ് വര്ഡെ
ಕುರಾಕಾವ್	കുരാകാവ്
ಕ್ರಿಸ್ಮಸ್ ದ್ವೀಪ	ക്രിസ്മസ് ദ്വീപ
ಸೈಪ್ರಸ್	സൈപ്രസ്
ಚೆಕ್ ರಿಪಬ್ಲಿಕ್	ചെക് രിപബ്ലിക്
ಜರ್ಮನಿ	ജര്മനി
ಡೈಗೋ ಗಾರ್ಸಿಯ	ഡൈഗോ ഗാര്സിയ
ಜಿಬೋಟಿ	ജിബോടി
ಡೆನ್ಮಾರ್ಕ್	ഡെന്മാര്ക്
ಡೊಮಿನಿಕಾ	ഡൊമിനികാ
ಡೊಮೆನಿಕನ್ ರಿಪಬ್ಲಿಕ್	ഡൊമെനികന് രിപബ്ലിക്
ಅಲ್ಗೇರಿಯಾ	അല്ഗേരിയാ
ಸೆಯುಟಾ ಹಾಗೂ ಮೆಲಿಲ್ಲಾ	സെയുടാ ഹാഗൂ മെലില്ലാ
ಈಕ್ವೆಡಾರ್	ഈക്വെഡാര്
ಎಸ್ಟೋನಿಯಾ	എസ്ടോനിയാ
ಈಜಿಪ್ಟ್	ഈജിപ്ട്
ಪಶ್ಚಿಮ ಸಹಾರಾ	പശ്ചിമ സഹാരാ
ಏರಿಟ್ರಿಯಾ	ഏരിട്രിയാ
ಸ್ಪೇನ್	സ്പേന്
ಇಥಿಯೋಪಿಯಾ	ഇഥിയോപിയാ
ಯುರೋಪಿಯನ್ ಯೂನಿಯನ್	യുരോപിയന് യൂനിയന്
ಫಿನ್‌ಲ್ಯಾಂಡ್	ഫിന്‌ല്യാംഡ്
ಫಿಜಿ	ഫിജി
ಫಾಲ್ಕ್‌ಲ್ಯಾಂಡ್ ದ್ವೀಪಗಳು	ഫാല്ക്‌ല്യാംഡ് ദ്വീപഗളു
ಫಾಲ್ಕ್‌ಲ್ಯಾಂಡ್ ದ್ವೀಪಗಳು (ಇಸ್ಲಾಸ್ ಮಾಲ್ವಿನಸ್)	ഫാല്ക്‌ല്യാംഡ് ദ്വീപഗളു (ഇസ്ലാസ് മാല്വിനസ്)
ಮೈಕ್ರೋನೇಶಿಯಾ	മൈക്രോനേശിയാ
ಫರೋ ದ್ವೀಪಗಳು	ഫരോ ദ്വീപഗളു
ಫ್ರಾನ್ಸ್	ഫ്രാന്സ്
ಗೆಬೊನ್	ഗെബൊന്
ಬ್ರಿಟನ್/ಇಂಗ್ಲೆಂಡ್	ബ്രിടന്/ഇംഗ്ലെംഡ്
ಗ್ರೆನೆಡಾ	ഗ്രെനെഡാ
ಜಾರ್ಜಿಯಾ	ജാര്ജിയാ
ಫ್ರೆಂಚ್ ಗಯಾನಾ	ഫ്രെംച് ഗയാനാ
ಗುರ್ನ್‌ಸೆ	ഗുര്ന്‌സെ
ಘಾನಾ	ഘാനാ
ಗಿಬ್ರಾಲ್ಟರ್	ഗിബ്രാല്ടര്
ಗ್ರೀನ್‌ಲ್ಯಾಂಡ್	ഗ്രീന്‌ല്യാംഡ്
ಗ್ಯಾಂಬಿಯಾ	ഗ്യാംബിയാ
ಗಿನಿ	ഗിനി
ಗುಡೆಲೋಪ್	ഗുഡെലോപ്
ಈಕ್ವೆಟೋರಿಯಲ್ ಗಿನಿ	ഈക്വെടോരിയല് ഗിനി
ಗ್ರೀಸ್	ഗ്രീസ്
ದಕ್ಷಿಣ ಜಾರ್ಜಿಯಾ ಮತ್ತು ದಕ್ಷಿಣ ಸ್ಯಾಂಡ್‍ವಿಚ್ ದ್ವೀಪಗಳು	ദക്ഷിണ ജാര്ജിയാ മത്തു ദക്ഷിണ സ്യാംഡ്‍വിച് ദ്വീപഗളു
ಗ್ವಾಟೆಮಾಲಾ	ഗ്വാടെമാലാ
ಗುಯಾಮ್	ഗുയാമ്
ಗಿನಿ-ಬಿಸ್ಸಾವ್	ഗിനി-ബിസ്സാവ്
ಗಯಾನಾ	ഗയാനാ
ಹಾಂಗ್ ಕಾಂಗ್ SAR ಚೈನಾ	ഹാംഗ് കാംഗ് SAR ചൈനാ
ಹಾಂಗ್ ಕಾಂಗ್	ഹാംഗ് കാംഗ്
ಹರ್ಡ್ ದ್ವೀಪ ಮತ್ತು ಮ್ಯಾಕ್‍ಡೊನಾಲ್ಡ್ ದ್ವೀಪಗಳು	ഹര്ഡ് ദ്വീപ മത്തു മ്യാക്‍ഡൊനാല്ഡ് ദ്വീപഗളു
ಹೊಂಡುರಾಸ್	ഹൊംഡുരാസ്
ಕ್ರೊಯೇಶಿಯಾ	ക്രൊയേശിയാ
ಹೈಟಿ	ഹൈടി
ಹಂಗಾರಿ	ഹംഗാരി
ಕ್ಯಾನರಿ ದ್ವೀಪಗಳು	ക്യാനരി ദ്വീപഗളു
