Alba Iulia	آلبا يوليا
Alexandria	آليکساندريا
Arad	آراد
Bacău	باکو
Baia Mare	بايا ماره
Bistrița	بيستريتسا
Borșa	بورشا
Botoșani	بوتوشاني
Brașov	براشوو
Brăila	بريلا
București	بوکوريشتي
Buzău	بوزو
Bârlad	بورلاد
Caracal	کاراکال
Cluj-Napoca	کلوژ ناپوکا
Constanța	کونستانتسا
Craiova	کرايووا
Curtea de Argeș	کورتيا ده آردژيش
Câmpina	کومپينا
Câmpulung	کومپولونگ
Călărași	کلراشي
Dej	ديژ
Deva	ديوا
Drobeta-Turnu Severin	دروبيتا تورنو سيويرين
Fetești	فيتيشتي
Focșani	فوکشاني
Făgăraș	فگراش
Fălticeni	فلتيتشيني
Galați	گالاتسي
Giurgiu	دژوردژو
Hunedoara	هونيدوارا
Huși	هوشي
Iași	ياشي
Lugoj	لوگوژ
Mangalia	مانگاليا
Medgidia	ميدژيديا
Mediaș	ميدياش
Miercurea Ciuc	ميرکوريا تشوک
Mioveni	ميوويني
Năvodari	نووداري
Odorheiu Secuiesc	اودورهيو سيکوياسک
Onești	اونيشتي
Oradea	اوراديا
Pantelimon	پانتيليمون
Pașcani	پاشکاني
Petroșani	پيتروشاني
Piatra Neamț	پياترا نيامتس
Pitești	پيتيشتي
Ploiești	پلوياشتي
Reghin	ريگين
Reșița	ريشيتسا
Roman	رومان
Roșiorii de Vede	روشيوري ده ويده
Râmnicu Sărat	رومنيکو سرات
Râmnicu Vâlcea	رومنيکو وولتشا
Satu Mare	ساتو ماره
Sebeș	سيبيش
Sfântu Gheorghe	سفونتو گيورگه
Sibiu	سيبيو
Sighetu Marmației	سيگيتو مارماتسيي
Sighișoara	سيگيشوارا
Slatina	سلاتينا
Slobozia	سلوبوزيا
Suceava	سوتشاوا
Săcele	ستشيله
Tecuci	تيکوتشي
Timișoara	تيميشوارا
Tulcea	تولتشا
Turda	توردا
Târgoviște	تورگوويشته
Târgu Jiu	تورگو ژيو
Târgu Mureș	تورگو موريش
Vaslui	واسلوي
Voluntari	وولونتاري
Zalău	زالو
