abanilla	آوانييا
abrucena	آوروسينا
acebo	آسيوو
acedera	آسيذيرا
acehuche	آسياوچه
aceuchal	آسيوچال
adamuz	آذاموس
ademuz	آذيموس
adzaneta	آذسانيتا
agoncillo	آغونسييو
aguadulce	آغواذولسه
agullana	آغويانا
ahillones	آاييونيس
aiguamurcia	آيغوامورسيا
aizpun	آيسپون
alamedilla	آلاميذييا
alamillo	آلامييو
alarilla	آلارييا
alatoz	آلاتوس
albacete	آلواسيته
albalatillo	آلوالاتييو
albanchez	آلوانچيس
albarracin	آلواراسين
albocacer	آلووکاسير
alcadozo	آلکاذوسو
alcanices	آلکانيسيس
alcaniz	آلکانيس
alcantarilla	آلکانتارييا
alcaracejos	آلکاراسيخوس
alcaraz	آلکاراس
alcaucin	آلکاوسين
alcazaren	آلکاسارين
alceda	آلسيذا
alcira	آلسيرا
alcocebre	آلکوسيوره
alcocer	آلکوسير
alcollarin	آلکويارين
alcubillas	آلکوويياس
alcuneza	آلکونيسا
aldeacentenera	آلدياسينتينيرا
aldealpozo	آلديالپوسو
alfaiz	آلفايس
alfaraz	آلفاراس
alfoz	آلفوس
algatocin	آلغاتوسين
algeciras	آلخيسيراس
alguazas	آلغواساس
aljucen	آلخوسين
allariz	آياريس
allepuz	آيپوس
aller	آير
alles	آيس
allo	آيو
alloza	آيوسا
almacellas	آلماسيياس
almaciles	آلماسيليس
almaluez	آلمالويس
almanza	آلمانسا
almaraz	آلماراس
almazan	آلماسان
almazora	آلماسورا
almazul	آلماسول
almedinilla	آلميذينييا
alocen	آلوسين
alozaina	آلوساينا
alperiz	آلپيريس
alquezar	آلکيسار
alzola	آلسولا
amezaga	آميساغا
ancin	آنسين
andalucia	آندالوسيا
andilla	آندييا
andosilla	آندوسييا
anzanigo	آنسانيغو
anzuola	آنسوولا
anzur	آنسور
apellaniz	آپييانيس
aracena	آراسينا
aragoncillo	آراغونسييو
aranaz	آراناس
arandillo	آراندييو
aranjuez	آرانخويس
aranzazu	آرانساسو
aranzuegue	آرانسويغه
arceniega	آرسينيغا
archilla	آرچييا
arevalillo	آريوالييو
arganza	آرغانسا
arguellite	آرغييته
ariñez	آرينيس
ariza	آريسا
arizala	آريسالا
arjonilla	آرخونييا
arlanzon	آرلانسون
arnedillo	آرنيذييو
aroizu	آرويسو
arquillos	آرکييوس
arrancacepas	آرانکاسيپاس
arrazola	آراسولا
arrecife	آريسيفه
arroniz	آرونيس
artazu	آرتاسو
arzúa	آرسوا
asomadilla	آسوماذييا
astillero	آستييرو
astudillo	آستوذييو
atienza	آتينسا
avellanes	آوييانيس
ayllon	آييون
azagra	آساغرا
azaila	آسايلا
azañón	آسانون
azanuy	آسانوي
azcoitia	آسکويتيا
aznalcazar	آسنالکاسار
aznalcollar	آسنالکويار
azpeitia	آسپييتيا
azuaga	آسواغا
azuara	آسوارا
azuelo	آسويلو
badajoz	باذاخوس
baeza	بايسا
bahillo	بااييو
baillo	باييو
balazote	بالاسوته
balces	بالسيس
ballerias	بايرياس
ballestar	بايستار
ballesteros	بايستيروس
ballobar	بايووار
bañobarez	بانوواريس
baralla	بارايا
barbadillo	بارواذييو
barcena	بارسينا
barcience	بارسينسه
barzana	بارسانا
basella	باسييا
baza	باسا
beariz	بياريس
beceite	بيسييته
bello	بييو
belltall	بييتاي
bellver	بييوير
bellvey	بييويي
bellvis	بييويس
belmez	بيلميس
benacazon	بيناکاسون
benaguacil	بيناغواسيل
benaocaz	بيناوکاس
benejuzar	بينيخوسار
benifallet	بينيفايت
benifallim	بينيفايم
benilloba	بينييووا
benitachell	بينيتاچيي
benizalon	بينيسالون
benuza	بينوسا
benzu	بينسو
berantevilla	بيرانتيوييا
bercedo	بيرسيذو
bercero	بيرسيرو
berducedo	بيرذوسيذو
berriz	بيريس
berzocana	بيرسوکانا
betanzos	بيتانسوس
bezes	بيسيس
biguezal	بيغيسال
binaced	بيناسيذ
bizberri	بيسويري
blanquilla	بلانکييا
blazques	بلاسکيس
boadilla	بواذييا
bobadilla	بوواذييا
boceguillas	بوسيغيياس
bocigas	بوسيغاس
boecillo	بويسييو
bonanza	بونانسا
bonilla	بونييا
brozas	بروساس
buciegas	بوسيغاس
bujalance	بوخالانسه
bujaraloz	بوخارالوس
bullas	بوياس
burguillos	بورغييوس
cabanillas	کاوانيياس
cabezamesada	کاويساميساذا
cabezarados	کاويساراذوس
cabezo	کاويسو
cabrillanes	کاورييانيس
cabrillas	کاوريياس
caceres	کاسيريس
