# Territory names from CLDR
ಅಸೆನ್ಶನ್ ದ್ವೀಪ	அஸெந்ஶந் த்வீப
ಅಂಡೋರಾ	அஂடோரா
ಸಂಯುಕ್ತ ಅರಬ್ ಎಮಿರೇಟಸ್	ஸஂயுக்த அரப் எமிரேடஸ்
ಅಫಘಾನಿಸ್ಥಾನ್	அபகாநிஸ்தாந்
ಆಂಟಿಗುವಾ ಮತ್ತು ಬರ್ಬುಡಾ	ஆஂடிகுவா மத்து பர்புடா
ಆಂಗುಯಿಲ್ಲಾ	ஆஂகுயில்லா
ಅಲ್ಬೇನಿಯಾ	அல்பேநியா
ಅರ್ಮೇನಿಯಾ	அர்மேநியா
ಅಂಗೋಲಾ	அஂகோலா
ಅಂಟಾರ್ಟಿಕಾ	அஂடார்டிகா
ಅರ್ಜೆಂಟಿನಾ	அர்ஜெஂடிநா
ಅಮೇರಿಕನ್ ಸಮೋವಾ	அமேரிகந் ஸமோவா
ಆಸ್ಟ್ರಿಯಾ	ஆஸ்ட்ரியா
ಆಸ್ಟ್ರೇಲಿಯ	ஆஸ்ட்ரேலிய
ಅರುಬಾ	அருபா
ಆಲ್ಯಾಂಡ್ ದ್ವೀಪಗಳು	ஆல்யாஂட் த்வீபகளு
ಅಜರ್ಬೈಜಾನ್	அஜர்பைஜாந்
ಬೋಸ್ನಿಯಾ ಮತ್ತು ಹರ್ಜೆಗೋವಿನಾ	போஸ்நியா மத்து ஹர்ஜெகோவிநா
ಬಾರ್ಬಡೋಸ್	பார்படோஸ்
ಬಾಂಗ್ಲಾದೇಶ್	பாஂக்லாதேஶ்
ಬೆಲ್ಜಿಯಮ್	பெல்ஜியம்
ಬುರ್ಕಿನಾ ಫಾಸೋ	புர்கிநா பாஸோ
ಬಲ್ಗೇರಿಯಾ	பல்கேரியா
ಬಹರೈನ್	பஹரைந்
ಬುರುಂಡಿ	புருஂடி
ಬೆನಿನ್	பெநிந்
ಸೇಂಟ್ ಬಾರ್ಥೆಲೆಮಿ	ஸேஂட் பார்தெலெமி
ಬರ್ಮುಡಾ	பர்முடா
ಬ್ರೂನಿ	ப்ரூநி
ಬೊಲಿವಿಯಾ	பொலிவியா
ಕೆರೀಬಿಯನ್ ನೆದರ್‌ಲ್ಯಾಂಡ್ಸ್	கெரீபியந் நெதர்‌ல்யாஂட்ஸ்
ಬ್ರೆಜಿಲ್	ப்ரெஜில்
ಬಹಾಮಾಸ್	பஹாமாஸ்
ಭೂತಾನ್	பூதாந்
ಬೋವೆಟ್ ದ್ವೀಪ	போவெட் த்வீப
ಬೋಟ್ಸ್‌ವಾನಾ	போட்ஸ்‌வாநா
ಬೆಲಾರಸ್	பெலாரஸ்
ಬೆಲಿಜ್	பெலிஜ்
ಕೆನಡಾ	கெநடா
ಕೊಕೊಸ್ (ಕೀಲಿಂಗ್) ದ್ವೀಪಗಳು	கொகொஸ் (கீலிஂக்) த்வீபகளு
ಕಾಂಗೋ - ಕಿನ್ಶಾಸಾ	காஂகோ - கிந்ஶாஸா
ಕಾಂಗೋ (DRC)	காஂகோ (DRC)
ಮಧ್ಯ ಆಫ್ರಿಕಾ ಗಣರಾಜ್ಯ	மத்ய ஆப்ரிகா கணராஜ்ய
ಕಾಂಗೋ - ಬ್ರಾಜಾವಿಲ್ಲೇ	காஂகோ - ப்ராஜாவில்லே
ಕಾಂಗೋ (ಗಣರಾಜ್ಯ)	காஂகோ (கணராஜ்ய)
ಸ್ವಿಟ್ಜರ್ಲ್ಯಾಂಡ್	ஸ்விட்ஜர்ல்யாஂட்
ಕೋತ್‌ ದಿವಾರ್‍	கோத்‌ திவார்‍
ಐವರಿ ಕೋಸ್ಟ್	ஐவரி கோஸ்ட்
ಕುಕ್ ದ್ವೀಪಗಳು	குக் த்வீபகளு
ಚಿಲಿ	சிலி
ಕ್ಯಾಮರೋನ್	க்யாமரோந்
ಚೀನಾ	சீநா
ಕೊಲಂಬಿಯಾ	கொலஂபியா
ಕ್ಲಿಪ್ಪರ್‌ಟಾನ್ ದ್ವೀಪಗಳು	க்லிப்பர்‌டாந் த்வீபகளு
ಕೊಸ್ಟಾ ರಿಕಾ	கொஸ்டா ரிகா
ಕ್ಯೂಬಾ	க்யூபா
ಕೇಪ್ ವರ್ಡೆ	கேப் வர்டெ
ಕುರಾಕಾವ್	குராகாவ்
ಕ್ರಿಸ್ಮಸ್ ದ್ವೀಪ	க்ரிஸ்மஸ் த்வீப
ಸೈಪ್ರಸ್	ஸைப்ரஸ்
ಚೆಕ್ ರಿಪಬ್ಲಿಕ್	செக் ரிபப்லிக்
ಜರ್ಮನಿ	ஜர்மநி
ಡೈಗೋ ಗಾರ್ಸಿಯ	டைகோ கார்ஸிய
ಜಿಬೋಟಿ	ஜிபோடி
ಡೆನ್ಮಾರ್ಕ್	டெந்மார்க்
ಡೊಮಿನಿಕಾ	டொமிநிகா
ಡೊಮೆನಿಕನ್ ರಿಪಬ್ಲಿಕ್	டொமெநிகந் ரிபப்லிக்
ಅಲ್ಗೇರಿಯಾ	அல்கேரியா
ಸೆಯುಟಾ ಹಾಗೂ ಮೆಲಿಲ್ಲಾ	ஸெயுடா ஹாகூ மெலில்லா
ಈಕ್ವೆಡಾರ್	ஈக்வெடார்
ಎಸ್ಟೋನಿಯಾ	எஸ்டோநியா
ಈಜಿಪ್ಟ್	ஈஜிப்ட்
ಪಶ್ಚಿಮ ಸಹಾರಾ	பஶ்சிம ஸஹாரா
ಏರಿಟ್ರಿಯಾ	ஏரிட்ரியா
ಸ್ಪೇನ್	ஸ்பேந்
ಇಥಿಯೋಪಿಯಾ	இதியோபியா
