# Territory names from CLDR
അസൻഷൻ ദ്വീപ്	ଅସൻଷൻ ଦ୍ଵୀପ୍
അന്റോറ	ଅନ୍ଡ଼ୋଡ଼
യുണൈറ്റഡ് അറബ് എമിറൈറ്റ്‌സ്	ଯୁଣୈଡ଼୍ଡ଼ଡ୍ ଅଡ଼ବ୍ ଏମିଡ଼ୈଡ଼୍ଡ଼୍‌ସ୍
അഫ്‌ഗാനിസ്ഥാൻ	ଅଫ୍‌ଗାନିସ୍ଥାൻ
ആൻറിഗ്വയും ബർബുഡയും	ଆൻଡ଼ିଗ୍ଵଯୁଂ ବർବୁଡଯୁଂ
ആൻഗ്വില്ല	ଆൻଗ୍ଵିଲ୍ଲ
അൽബേനിയ	ଅൽବେନିଯ
അർമേനിയ	ଅർମେନିଯ
അംഗോള	ଅଂଗୋଳ
അൻറാർട്ടിക്ക	ଅൻଡ଼ାർଟ୍ଟିକ୍କ
അർജൻറീന	ଅർଜൻଡ଼ୀନ
അമേരിക്കൻ സമോവ	ଅମେରିକ୍କൻ ସମୋଵ
ഓസ്ട്രിയ	ଓସ୍ଟ୍ରିଯ
ഓസ്‌ട്രേലിയ	ଓସ୍‌ଟ୍ରେଲିଯ
അറൂബ	ଅଡ଼ୂବ
അലൻഡ് ദ്വീപുകൾ	ଅଲൻଡ୍ ଦ୍ଵୀପୁକൾ
അസർബൈജാൻ	ଅସർବୈଜାൻ
ബോസ്നിയയും ഹെർസഗോവിനയും	ବୋସ୍ନିଯଯୁଂ ହେർସଗୋଵିନଯୁଂ
ബാർബഡോസ്	ବାർବଡୋସ୍
ബംഗ്ലാദേശ്	ବଂଗ୍ଲାଦେଶ୍
ബെൽജിയം	ବେൽଜିଯଂ
ബുർക്കിനാ ഫാസോ	ବୁർକ୍କିନା ଫାସୋ
ബൾഗേറിയ	ବൾଗେଡ଼ିଯ
ബഹ്റിൻ	ବହ୍ଡ଼ିൻ
ബറുണ്ടി	ବଡ଼ୁଣ୍ଟି
ബെനിൻ	ବେନିൻ
സെന്റ് ബാർത്തലമി	ସେନ୍ଡ଼୍ ବାർତ୍ତଲମି
ബർമുഡ	ବർମୁଡ
ബ്രൂണൈ	ବ୍ରୂଣୈ
ബൊളീവിയ	ବୋଳୀଵିଯ
ബൊണെയ്ർ, സിന്റ് യുസ്റ്റേഷ്യസ്, സാബ എന്നിവ	ବୋଣେଯ୍ർ, ସିନ୍ଡ଼୍ ଯୁସ୍ଡ଼୍ଡ଼େଷ୍ଯସ୍, ସାବ ଏନ୍ନିଵ
ബ്രസീൽ	ବ୍ରସୀൽ
ബഹാമാസ്	ବହାମାସ୍
ഭൂട്ടാൻ	ଭୂଟ୍ଟାൻ
ബൗവെട്ട് ദ്വീപ്	ବୗଵେଟ୍ଟ୍ ଦ୍ଵୀପ୍
ബോട്സ്വാന	ବୋଟ୍ସ୍ଵାନ
ബെലറൂസ്	ବେଲଡ଼ୂସ୍
ബെലീസ്	ବେଲୀସ୍
കാനഡ	କାନଡ
കോക്കസ് (കീലിംഗ്) ദ്വീപുകൾ	କୋକ୍କସ୍ (କୀଲିଂଗ୍) ଦ୍ଵୀପୁକൾ
കോംഗോ - കിൻഷാസ	କୋଂଗୋ - କିൻଷାସ
കോംഗോ (DRC)	କୋଂଗୋ (DRC)
സെൻട്രൽ ആഫ്രിക്കൻ റിപ്പബ്ലിക്	ସେൻଟ୍ରൽ ଆଫ୍ରିକ୍କൻ ଡ଼ିପ୍ପବ୍ଲିକ୍
കോംഗോ - ബ്രാസവില്ലി	କୋଂଗୋ - ବ୍ରାସଵିଲ୍ଲି
