# Territory names from CLDR
ਅਸੈਂਸ਼ਨ ਟਾਪੂ	असैंस़न टापू
ਅੰਡੋਰਾ	अडोरा
ਸੰਯੁਕਤ ਅਰਬ ਅਮੀਰਾਤ	सयुकत अरब अमीरात
ਅਫ਼ਗਾਨਿਸਤਾਨ	अफ़गानिसतान
ਐਂਟੀਗੁਆ ਅਤੇ ਬਾਰਬੁਡਾ	ऐंटीगुआ अते बारबुडा
ਅੰਗੁਇਲਾ	अगुइला
ਅਲਬਾਨੀਆ	अलबानीआ
ਅਰਮੀਨੀਆ	अरमीनीआ
ਅੰਗੋਲਾ	अगोला
ਅੰਟਾਰਕਟਿਕਾ	अटारकटिका
ਅਰਜਨਟੀਨਾ	अरजनटीना
ਅਮੈਰੀਕਨ ਸਮੋਆ	अमैरीकन समोआ
ਆਸਟਰੀਆ	आसटरीआ
ਆਸਟ੍ਰੇਲੀਆ	आसट्रेलीआ
ਅਰੂਬਾ	अरूबा
ਅਲੈਂਡ ਟਾਪੂ	अलैंड टापू
ਅਜ਼ਰਬਾਈਜਾਨ	अज़रबाईजान
ਬੋਸਨੀਆ ਅਤੇ ਹਰਜ਼ੇਗੋਵੀਨਾ	बोसनीआ अते हरज़ेगोवीना
ਬਾਰਬਾਡੋਸ	बारबाडोस
ਬੰਗਲਾਦੇਸ਼	बगलादेस़
ਬੈਲਜੀਅਮ	बैलजीअम
ਬੁਰਕੀਨਾ ਫ਼ਾਸੋ	बुरकीना फ़ासो
ਬੁਲਗਾਰੀਆ	बुलगारीआ
ਬਹਿਰੀਨ	बहिरीन
ਬੁਰੁੰਡੀ	बुरुडी
ਬੇਨਿਨ	बेनिन
ਸੇਂਟ ਬਾਰਥੇਲੇਮੀ	सेंट बारथेलेमी
ਬਰਮੂਡਾ	बरमूडा
ਬਰੂਨੇਈ	बरूनेई
ਬੋਲੀਵੀਆ	बोलीवीआ
ਕੈਰੇਬੀਆਈ ਨੀਦਰਲੈਂਡ	कैरेबीआई नीदरलैंड
ਬ੍ਰਾਜ਼ੀਲ	ब्राज़ील
ਬਹਾਮਾਸ	बहामास
ਭੂਟਾਨ	भूटान
ਬੌਵੇਟ ਟਾਪੂ	बौवेट टापू
ਬੋਟਸਵਾਨਾ	बोटसवाना
ਬੇਲਾਰੂਸ	बेलारूस
ਬੇਲੀਜ਼	बेलीज़
ਕੈਨੇਡਾ	कैनेडा
ਕੋਕੋਸ (ਕੀਲਿੰਗ) ਟਾਪੂ	कोकोस (कीलिग) टापू
ਕਾਂਗੋ - ਕਿੰਸ਼ਾਸਾ	कांगो - किस़ासा
ਕਾਂਗੋ ਲੋਕਤੰਤਰੀ ਗਣਰਾਜ	कांगो लोकततरी गणराज
ਕੇਂਦਰੀ ਅਫ਼ਰੀਕੀ ਗਣਰਾਜ	केंदरी अफ़रीकी गणराज
ਕਾਂਗੋ - ਬ੍ਰਾਜ਼ਾਵਿਲੇ	कांगो - ब्राज़ाविले
ਕਾਂਗੋ ਗਣਰਾਜ	कांगो गणराज
ਸਵਿਟਜ਼ਰਲੈਂਡ	सविटज़रलैंड
ਕੋਟ ਡੀਵੋਆਰ	कोट डीवोआर
ਆਇਵਰੀ ਕੋਸਟ	आइवरी कोसट
ਕੁੱਕ ਟਾਪੂ	कुक टापू
ਚਿਲੀ	चिली
ਕੈਮਰੂਨ	कैमरून
ਚੀਨ	चीन
ਕੋਲੰਬੀਆ	कोलबीआ
ਕਲਿੱਪਰਟਨ ਟਾਪੂ	कलिपरटन टापू
