# Territory names from CLDR
অ্যাসসেনশন আইল্যান্ড	ଅ୍ଯାସସେନଶନ ଆଇଲ୍ଯାନ୍ଡ
এ্যান্ডোরা	ଏ୍ଯାନ୍ଡୋରା
সংযুক্ত আরব আমিরাত	ସଂଯୁକ୍ତ ଆରବ ଆମିରାତ
আফগানিস্তান	ଆଫଗାନିସ୍ତାନ
এন্টিগুয়া ও বারবুডা	ଏନ୍ଟିଗୁଯ଼ା ଓ ବାରବୁଡା
এ্যাঙ্গুইলা	ଏ୍ଯାଙ୍ଗୁଇଲା
আলব্যানিয়া	ଆଲବ୍ଯାନିଯ଼ା
আর্মেনিয়া	ଆର୍ମେନିଯ଼ା
অ্যাঙ্গোলা	ଅ୍ଯାଙ୍ଗୋଲା
অ্যান্টার্কটিকা	ଅ୍ଯାନ୍ଟାର୍କଟିକା
আর্জেন্টিনা	ଆର୍ଜେନ୍ଟିନା
আমেরিকান সামোয়া	ଆମେରିକାନ ସାମୋଯ଼ା
অস্ট্রিয়া	ଅସ୍ଟ୍ରିଯ଼ା
অস্ট্রেলিয়া	ଅସ୍ଟ୍ରେଲିଯ଼ା
আরুবা	ଆରୁବା
আলান্ড দ্বীপপুঞ্জ	ଆଲାନ୍ଡ ଦ୍ବୀପପୁଞ୍ଜ
আজারবাইজান	ଆଜାରବାଇଜାନ
বসনিয়া ও হার্জেগোভিনা	ବସନିଯ଼ା ଓ ହାର୍ଜେଗୋଭିନା
বারবাদোস	ବାରବାଦୋସ
বাংলাদেশ	ବାଂଲାଦେଶ
বেলজিয়াম	ବେଲଜିଯ଼ାମ
বুরকিনা ফাসো	ବୁରକିନା ଫାସୋ
বুলগেরিয়া	ବୁଲଗେରିଯ଼ା
বাহরাইন	ବାହରାଇନ
বুরুন্ডি	ବୁରୁନ୍ଡି
বেনিন	ବେନିନ
সেন্ট বারথেলিমি	ସେନ୍ଟ ବାରଥେଲିମି
বারমুডা	ବାରମୁଡା
