# Territory names from CLDR
ଆଣ୍ଡୋରା	ஆண்டோரா
ସଂଯୁକ୍ତ ଆରବ ଏମିରେଟସ୍	ஸஂயுக்த ஆரப ஏமிரேடஸ்
ଆଫାଗାନିସ୍ତାନ୍	ஆபாகாநிஸ்தாந்
ଆଣ୍ଟିଗୁଆ ଏବଂ ବାରବୁଦା	ஆண்டிகுஆ ஏபஂ பாரபுதா
ଆଙ୍ଗୁଇଲ୍ଲା	ஆங்குஇல்லா
ଆଲବାନିଆ	ஆலபாநிஆ
ଆର୍ମେନିଆ	ஆர்மேநிஆ
ଆଙ୍ଗୋଲା	ஆங்கோலா
ଆର୍ଣ୍ଟକଟିକା	ஆர்ண்டகடிகா
ଆର୍ଜେଣ୍ଟିନା	ஆர்ஜேண்டிநா
ଆମେରିକାନ୍ ସାମୋଆ	ஆமேரிகாந் ஸாமோஆ
ଅଷ୍ଟ୍ରିଆ	அஷ்ட்ரிஆ
ଅଷ୍ଟ୍ରେଲିଆ	அஷ்ட்ரேலிஆ
ଆରୁବା	ஆருபா
ଆଲାଣ୍ଡ ଆଇସଲ୍ୟାଣ୍ଡ	ஆலாண்ட ஆஇஸல்யாண்ட
ଆଜେରବାଇଜାନ୍	ஆஜேரபாஇஜாந்
ବୋସନିଆ ଏବଂ ହର୍ଜଗୋଭିନା	போஸநிஆ ஏபஂ ஹர்ஜகோபிநா
ବାରବାଡୋସ୍	பாரபாடோஸ்
ବାଙ୍ଗଲାଦେଶ୍	பாங்கலாதேஶ்
ବେଲଜିୟମ୍	பேலஜியம்
ବୁର୍କିନୋ ଫାସୋ	புர்கிநோ பாஸோ
ବୁଲଗେରିଆ	புலகேரிஆ
ବାହାରିନ୍	பாஹாரிந்
ବୁରୁନ୍ଦି	புருந்தி
ବେନିନ୍	பேநிந்
ସେଣ୍ଟ ବାର୍ଥେଲେମି	ஸேண்ட பார்தேலேமி
ବରମୁଡା	பரமுடா
ବ୍ରୁନେଇ	ப்ருநேஇ
ବୋଲଭିଆ	போலபிஆ
ବ୍ରାଜିଲ୍	ப்ராஜில்
ବାହାମାସ୍	பாஹாமாஸ்
ଭୁଟାନ୍	புடாந்
ବୌଭେଟ୍ ଆଇସଲ୍ୟାଣ୍ଡ	பௌபேட் ஆஇஸல்யாண்ட
ବୋଟସ୍ବାନ୍	போடஸ்பாந்
ବେଲାରୁଷ୍	பேலாருஷ்
ବେଲିଜ୍	பேலிஜ்
କାନାଡା	காநாடா
କୋକୋସ୍ ଆଇସଲ୍ୟାଣ୍ଡ	கோகோஸ் ஆஇஸல்யாண்ட
କଙ୍ଗୋ-କିନସାସା	கங்கோ-கிநஸாஸா
ମଧ୍ୟ ଆଫ୍ରିକୀୟ ଗଣତନ୍ତ୍ର	மத்ய ஆப்ரிகீய கணதந்த்ர
କଙ୍ଗୋ-ବ୍ରାଜିଭିଲ୍ଲେ	கங்கோ-ப்ராஜிபில்லே
ସ୍ବିଜରଲ୍ୟାଣ୍ଡ	ஸ்பிஜரல்யாண்ட
ଆଇବରୀ କୋଷ୍ଟ	ஆஇபரீ கோஷ்ட
କୁକ୍ ଆଇସଲ୍ୟାଣ୍ଡ	குக் ஆஇஸல்யாண்ட
ଚିଲ୍ଲୀ	சில்லீ
କାମେରୁନ୍	காமேருந்
ଚିନ୍	சிந்
କୋଲମ୍ବିଆ	கோலம்பிஆ
କୋଷ୍ଟା ରିକା	கோஷ்டா ரிகா
କ୍ୱିବା	க்விபா
କେପ୍ ଭର୍ଦେ	கேப் பர்தே
ଖ୍ରୀଷ୍ଟମାସ ଆଇଲ୍ୟାଣ୍ଡ	க்ரீஷ்டமாஸ ஆஇல்யாண்ட
