'ab	آب
'amerI'qa' SepjIjQa'	آماريقا شاپدژيدژقخا
'anyan 'oQqar	آنيان اوقخقار
baghneQ	باغناقخ
bIQSIp 'ugh	بيقخشيپ اوغ
boq	بوق
borghel	بورغال
buqjaj	بوقدژادژ
chIw	تشيو
choQ	تشوقخ
chuD	تشوض
chuv	تشوو
chuy	تشوي
DaH	ضاخ
DenIb Qatlh	ضانيب قخاتشل
De'wI'Hom	ضاويخوم
DoyIchlan	ضوييتشلان
'eQway' 'echlet	اقخواي اتشلات
ghach	غاتش
ghInjaj	غيندژادژ
Huch chaw'	خوتش تشاو
Hun	خون
'Internet	اينتارنات
'Iq	ايق
janluq pIqarD	دژانلوق پيقارض
jer	دژار
jIm	دژيم
julSIp	دژولشيپ
jungwoq	دژونگووق
logh	لوغ
loHjan	لوخدژان
lupwI' mIr	لوپوي مير
maDyar	ماضيار
mIl'oD ngeb	ميلوض نگاب
muchpa'	موتشپا
nav HablI'	ناو خابلي
netlh	ناتشل
nIpon	نيپون
ngugh	نگوغ
nguSDI'	نگوشضي
'och	اوتش
'o'rIS	اوريش
pegh	پاغ
pItSa' chab	پيتشا تشاب
qanraD	قانراض
qay	قاي
qa'vam	قاوام
qe'rot	قاروت
Qal	قخال
QI	قخي
Qulpa'	قخولپا
raQ	راقخ
raSber naH	راشبار ناخ
ren	ران
rutlh	روتشل
Saqjan	شاقدژان
SIrlIy	شيرلي
So'Ha'	شوخا
SuwomIy	شوومي
taQ	تاقخ
tera' na'ran	تارا ناران
tuS	توش
tlhat	تشلات
tlhot	تشلوت
tlhup	تشلوپ
'uD'a'	اوضا
'uSqan	اوشقان
valQIS	والقخيش
ven	وان
vIlInHoD	ويلينخوض
vIraS	ويراش
vuy	ووي
wab	اواب
weQmoQnaQ	اواقخموقخناقخ
wogh	اووغ
wuD	اووض
yang	يانگ
yem	يام
yIr	ير
yor	يور
yu'muD	يوموض
