# Territory names from CLDR
असेंशन द्वीप	অসেংশন দ্বীপ
एंडोरा	এংডোরা
संयुक्त अरब अमीरात	সংযুক্ত অরব অমীরাত
अफ़गानिस्तान	অফ়গানিস্তান
एंटिगुआ और बरबुडा	এংটিগুআ ঔর বরবুডা
एंग्विला	এংগ্বিলা
अल्बानिया	অল্বানিযা
आर्मेनिया	আর্মেনিযা
अंगोला	অংগোলা
अंटार्कटिका	অংটার্কটিকা
अर्जेंटीना	অর্জেংটীনা
अमेरिकी समोआ	অমেরিকী সমোআ
ऑस्ट्रिया	ওস্ট্রিযা
ऑस्ट्रेलिया	ওস্ট্রেলিযা
अरूबा	অরূবা
एलैंड द्वीपसमूह	এলৈংড দ্বীপসমূহ
अज़रबैजान	অজ়রবৈজান
बोस्निया और हर्ज़ेगोविना	বোস্নিযা ঔর হর্জ়েগোবিনা
बारबाडोस	বারবাডোস
बांग्लादेश	বাংগ্লাদেশ
बेल्जियम	বেল্জিযম
बुर्किना फ़ासो	বুর্কিনা ফ়াসো
बुल्गारिया	বুল্গারিযা
बहरीन	বহরীন
बुरुंडी	বুরুংডী
बेनिन	বেনিন
सेंट बार्थेलेमी	সেংট বার্থেলেমী
बरमूडा	বরমূডা
ब्रूनेई	ব্রূনেঈ
बोलीविया	বোলীবিযা
कैरिबियन नीदरलैंड	কৈরিবিযন নীদরলৈংড
ब्राज़ील	ব্রাজ়ীল
बहामास	বহামাস
भूटान	ভূটান
बोवेत द्वीप	বোবেত দ্বীপ
बोत्स्वाना	বোত্স্বানা
बेलारूस	বেলারূস
बेलीज़	বেলীজ়
कनाडा	কনাডা
कोकोस (कीलिंग) द्वीपसमूह	কোকোস (কীলিংগ) দ্বীপসমূহ
कांगो - किंशासा	কাংগো - কিংশাসা
कांगो (डीआरसी)	কাংগো (ডীআরসী)
मध्य अफ़्रीकी गणराज्य	মধ্য অফ়্রীকী গণরাজ্য
कांगो – ब्राज़ाविल	কাংগো – ব্রাজ়াবিল
कांगो (गणराज्य)	কাংগো (গণরাজ্য)
स्विट्ज़रलैंड	স্বিট্জ়রলৈংড
कोट डी आइवर	কোট ডী আইবর
आइवरी कोस्ट	আইবরী কোস্ট
कुक द्वीपसमूह	কুক দ্বীপসমূহ
चिली	চিলী
कैमरून	কৈমরূন
चीन	চীন
कोलंबिया	কোলংবিযা
क्लिपर्टन द्वीप	ক্লিপর্টন দ্বীপ
कोस्टारिका	কোস্টারিকা
क्यूबा	ক্যূবা
केप वर्ड	কেপ বর্ড
क्यूरासाओ	ক্যূরাসাও
क्रिसमस द्वीप	ক্রিসমস দ্বীপ
साइप्रस	সাইপ্রস
चेक गणराज्य	চেক গণরাজ্য
जर्मनी	জর্মনী
