ᱟᱜ	آگ
ᱟᱵᱷᱨᱚᱱ	آبرون
ᱟᱪᱷᱟ	آچا
ᱟᱛᱳ	آدو
ᱟᱫᱚᱱ	آدون
ᱟᱡᱛᱮᱛᱜᱮ	آدژديدگه
ᱟᱸᱡᱚᱢ	آدژوم
ᱟᱲᱮ	آره
ᱟᱦᱟᱨᱮ	آهاره
ᱟᱭᱮ	آهه
ᱟᱠᱟᱫᱮᱢᱤ	آکاديمي
ᱟᱠᱟᱱᱮ	آکانه
ᱟᱠᱚᱧ	آکون
ᱟᱞᱮ	آله
ᱴᱟᱢᱟᱠ	طاماک
ᱧᱟᱢᱠᱮᱫ	نامکيد
ᱟᱢᱞᱟᱠᱚᱣᱟᱜ	آملاکوواگ
ᱟᱱᱟᱜ	آناگ
ᱟᱯᱮ	آپه
ᱴᱷᱟᱨ	طار
ᱟᱨᱦᱚᱸ	آرهو
ᱟᱥᱚᱞ	آسول
ᱟᱬᱜᱩᱱ	آنگون
ᱵᱷᱟᱸᱜᱟᱣ	باگاو
ᱵᱷᱟᱜᱮ	باگه
ᱵᱷᱟᱭᱨᱚᱵ	باهروب
ᱵᱷᱮᱸᱰᱨᱟ	بيضرا
ᱵᱷᱤᱸᱫᱟᱹᱲ	بيدر
ᱵᱷᱤᱛᱟᱹᱨ	بيدر
ᱵᱷᱚᱭᱨᱚᱵ	بوهروب
ᱵᱷᱚᱜᱽᱱᱟ	بوگنا
ᱪᱷᱟᱲᱟ	چارا
ᱪᱟᱵᱟ	چابا
ᱪᱟᱪᱟᱨᱦᱟᱫ	چاچارهاد
ᱪᱟᱸᱫᱟᱱ	چادان
ᱡᱟᱭᱜᱟ	چاهگا
ᱡᱟᱦᱟᱸ	چاها
ᱡᱟᱸᱦᱟᱸᱱ	چاهان
ᱪᱷᱟᱭᱚᱢ	چاهوم
ᱪᱟᱞᱟᱣ	چالاو
ᱡᱟᱝ	چانگ
ᱡᱟᱱᱤᱡ	چانيدژ
