# Territory names from CLDR
ਅਸੈਂਸ਼ਨ ਟਾਪੂ	অসৈংস়ন টাপূ
ਅੰਡੋਰਾ	অডোরা
ਸੰਯੁਕਤ ਅਰਬ ਅਮੀਰਾਤ	সযুকত অরব অমীরাত
ਅਫ਼ਗਾਨਿਸਤਾਨ	অফ়গানিসতান
ਐਂਟੀਗੁਆ ਅਤੇ ਬਾਰਬੁਡਾ	ঐংটীগুআ অতে বারবুডা
ਅੰਗੁਇਲਾ	অগুইলা
ਅਲਬਾਨੀਆ	অলবানীআ
ਅਰਮੀਨੀਆ	অরমীনীআ
ਅੰਗੋਲਾ	অগোলা
ਅੰਟਾਰਕਟਿਕਾ	অটারকটিকা
ਅਰਜਨਟੀਨਾ	অরজনটীনা
ਅਮੈਰੀਕਨ ਸਮੋਆ	অমৈরীকন সমোআ
ਆਸਟਰੀਆ	আসটরীআ
ਆਸਟ੍ਰੇਲੀਆ	আসট্রেলীআ
ਅਰੂਬਾ	অরূবা
ਅਲੈਂਡ ਟਾਪੂ	অলৈংড টাপূ
ਅਜ਼ਰਬਾਈਜਾਨ	অজ়রবাঈজান
ਬੋਸਨੀਆ ਅਤੇ ਹਰਜ਼ੇਗੋਵੀਨਾ	বোসনীআ অতে হরজ়েগোবীনা
ਬਾਰਬਾਡੋਸ	বারবাডোস
ਬੰਗਲਾਦੇਸ਼	বগলাদেস়
ਬੈਲਜੀਅਮ	বৈলজীঅম
ਬੁਰਕੀਨਾ ਫ਼ਾਸੋ	বুরকীনা ফ়াসো
ਬੁਲਗਾਰੀਆ	বুলগারীআ
ਬਹਿਰੀਨ	বহিরীন
ਬੁਰੁੰਡੀ	বুরুডী
ਬੇਨਿਨ	বেনিন
ਸੇਂਟ ਬਾਰਥੇਲੇਮੀ	সেংট বারথেলেমী
ਬਰਮੂਡਾ	বরমূডা
ਬਰੂਨੇਈ	বরূনেঈ
ਬੋਲੀਵੀਆ	বোলীবীআ
