ababuj	آواووخ
abades	آواذيس
abadia	آواذيا
abadiano	آواذيانو
abadin	آواذين
abanades	آواناذيس
abanilla	آوانيليا
abaran	آواران
abegondo	آويغوندو
abejar	آويخار
abejuela	آويخويلا
abengibra	آوينخيورا
abenojar	آوينوخار
abiego	آويغو
abla	آولا
ablitas	آوليتاس
abrera	آوريرا
abrucena	آوروثينا
acebo	آثيوو
acedera	آثيذيرا
acehuche	آثياوچه
aceuchal	آثيوچال
acrijos	آکريخوس
adahuesca	آذااويسکا
adamuz	آذاموث
adanero	آذانيرو
aday	آذاي
adeje	آذيخه
ademuz	آذيموث
ador	آذور
adra	آذرا
adradas	آذراذاس
adrados	آذراذوس
adzaneta	آذثانيتا
agaete	آغايته
ager	آخير
agoncillo	آغونثيليو
agost	آغوست
agramon	آغرامون
agramunt	آغرامونت
agreda	آغريذا
agres	آغريس
agron	آغرون
aguadulce	آغواذولثه
aguamansa	آغوامانسا
aguaron	آغوارون
aguas	آغواس
aguaviva	آغواويوا
agudo	آغوذو
agüera	آغويرا
agüero	آغويرو
aguila	آغيلا
aguilafuente	آغيلافوينته
aguilas	آغيلاس
agüimes	آغويميس
agullana	آغوليانا
agulo	آغولو
ahigal	آايغال
ahillones	آايليونيس
aianis	آيانيس
aibar	آيوار
aiguamurcia	آيغوامورثيا
ainsa	آينسا
aizpun	آيثپون
ajamil	آخاميل
alaejos	آلايخوس
alagon	آلاغون
alajar	آلاخار
alajero	آلاخيرو
alameda	آلاميذا
alamedilla	آلاميذيليا
alamillo	آلاميليو
alaminos	آلامينوس
alange	آلانخه
alarcon	آلارکون
alarilla	آلاريليا
alaro	آلارو
alatoz	آلاتوث
alayor	آلايور
alba	آلوا
albacete	آلواثيته
albages	آلواخيس
albaladejo	آلوالاذيخو
albalatillo	آلوالاتيليو
albana	آلوانا
albanchez	آلوانچيث
albares	آلواريس
albarracin	آلواراثين
albatana	آلواتانا
albatera	آلواتيرا
albendea	آلوينديا
albendin	آلويندين
albentosa	آلوينتوسا
alberique	آلويريکه
