# Territory names from CLDR
ଆଣ୍ଡୋରା	আণ্ডোরা
ସଂଯୁକ୍ତ ଆରବ ଏମିରେଟସ୍	সংযুক্ত আরব এমিরেটস্
ଆଫାଗାନିସ୍ତାନ୍	আফাগানিস্তান্
ଆଣ୍ଟିଗୁଆ ଏବଂ ବାରବୁଦା	আণ্টিগুআ এবং বারবুদা
ଆଙ୍ଗୁଇଲ୍ଲା	আঙ্গুইল্লা
ଆଲବାନିଆ	আলবানিআ
ଆର୍ମେନିଆ	আর্মেনিআ
ଆଙ୍ଗୋଲା	আঙ্গোলা
ଆର୍ଣ୍ଟକଟିକା	আর্ণ্টকটিকা
ଆର୍ଜେଣ୍ଟିନା	আর্জেণ্টিনা
ଆମେରିକାନ୍ ସାମୋଆ	আমেরিকান্ সামোআ
ଅଷ୍ଟ୍ରିଆ	অষ্ট্রিআ
ଅଷ୍ଟ୍ରେଲିଆ	অষ্ট্রেলিআ
ଆରୁବା	আরুবা
ଆଲାଣ୍ଡ ଆଇସଲ୍ୟାଣ୍ଡ	আলাণ্ড আইসল্য়াণ্ড
ଆଜେରବାଇଜାନ୍	আজেরবাইজান্
ବୋସନିଆ ଏବଂ ହର୍ଜଗୋଭିନା	বোসনিআ এবং হর্জগোভিনা
ବାରବାଡୋସ୍	বারবাডোস্
ବାଙ୍ଗଲାଦେଶ୍	বাঙ্গলাদেশ্
ବେଲଜିୟମ୍	বেলজিয়ম্
ବୁର୍କିନୋ ଫାସୋ	বুর্কিনো ফাসো
ବୁଲଗେରିଆ	বুলগেরিআ
ବାହାରିନ୍	বাহারিন্
ବୁରୁନ୍ଦି	বুরুন্দি
ବେନିନ୍	বেনিন্
ସେଣ୍ଟ ବାର୍ଥେଲେମି	সেণ্ট বার্থেলেমি
ବରମୁଡା	বরমুডা
ବ୍ରୁନେଇ	ব্রুনেই
ବୋଲଭିଆ	বোলভিআ
ବ୍ରାଜିଲ୍	ব্রাজিল্
ବାହାମାସ୍	বাহামাস্
ଭୁଟାନ୍	ভুটান্
ବୌଭେଟ୍ ଆଇସଲ୍ୟାଣ୍ଡ	বৌভেট্ আইসল্য়াণ্ড
ବୋଟସ୍ବାନ୍	বোটস্বান্
ବେଲାରୁଷ୍	বেলারুষ্
ବେଲିଜ୍	বেলিজ্
କାନାଡା	কানাডা
କୋକୋସ୍ ଆଇସଲ୍ୟାଣ୍ଡ	কোকোস্ আইসল্য়াণ্ড
କଙ୍ଗୋ-କିନସାସା	কঙ্গো-কিনসাসা
ମଧ୍ୟ ଆଫ୍ରିକୀୟ ଗଣତନ୍ତ୍ର	মধ্য় আফ্রিকীয় গণতন্ত্র
କଙ୍ଗୋ-ବ୍ରାଜିଭିଲ୍ଲେ	কঙ্গো-ব্রাজিভিল্লে
ସ୍ବିଜରଲ୍ୟାଣ୍ଡ	স্বিজরল্য়াণ্ড
ଆଇବରୀ କୋଷ୍ଟ	আইবরী কোষ্ট
କୁକ୍ ଆଇସଲ୍ୟାଣ୍ଡ	কুক্ আইসল্য়াণ্ড
ଚିଲ୍ଲୀ	চিল্লী
କାମେରୁନ୍	কামেরুন্
ଚିନ୍	চিন্
କୋଲମ୍ବିଆ	কোলম্বিআ
କୋଷ୍ଟା ରିକା	কোষ্টা রিকা
କ୍ୱିବା	ক্বিবা
କେପ୍ ଭର୍ଦେ	কেপ্ ভর্দে
ଖ୍ରୀଷ୍ଟମାସ ଆଇଲ୍ୟାଣ୍ଡ	খ্রীষ্টমাস আইল্য়াণ্ড
ସାଇପ୍ରସ୍	সাইপ্রস্
ଚେକ୍ ସାଧାରଣତନ୍ତ୍ର	চেক্ সাধারণতন্ত্র
