# Territory names from CLDR
ఎసెషన్ దీవి	এসেষন্ দীবি
అండొర్రా	অংডোর্রা
యునైటెడ్ అరబ్ ఎమిరేట్స్	যুনৈটেড্ অরব্ এমিরেট্স্
ఆఫ్ఘనిస్తాన్	আফ্ঘনিস্তান্
ఆంటిగ్వా మరియు బార్బుడా	আংটিগ্বা মরিযু বার্বুডা
ఆంగవిల్లా	আংগবিল্লা
అల్బేనియా	অল্বেনিযা
ఆర్మేనియా	আর্মেনিযা
అంగోలా	অংগোলা
అంటార్కటికా	অংটার্কটিকা
అర్జెంటీనా	অর্জেংটীনা
అమెరికన్ సమోవా	অমেরিকন্ সমোবা
ఆస్ట్రియా	আস্ট্রিযা
ఆస్ట్రేలియా	আস্ট্রেলিযা
అరుబా	অরুবা
ఆలేండ్ దీవులు	আলেংড্ দীবুলু
అజర్బైజాన్	অজর্বৈজান্
బోస్నియా మరియు హెర్జెగొవీనా	বোস্নিযা মরিযু হের্জেগোবীনা
బార్బడోస్	বার্বডোস্
బంగ్లాదేశ్	বংগ্লাদেশ্
బెల్జియం	বেল্জিযং
బుర్కినా ఫాసో	বুর্কিনা ফাসো
బల్గేరియా	বল্গেরিযা
బహ్రెయిన్	বহ্রেযিন্
బురుండి	বুরুংডি
బెనిన్	বেনিন্
సెంట్ బర్తేలెమీ	সেংট্ বর্তেলেমী
బెర్ముడా	বের্মুডা
బ్రూనై	ব্রূনৈ
బొలీవియా	বোলীবিযা
కరీబియన్ నెదర్లాండ్స్	করীবিযন্ নেদর্লাংড্স্
బ్రెజిల్	ব্রেজিল্
బహామాస్	বহামাস্
భూటాన్	ভূটান্
బొవెట్ దీవి	বোবেট্ দীবি
బోట్స్వానా	বোট্স্বানা
బెలారస్	বেলারস্
బెలిజ్	বেলিজ্
కెనడా	কেনডা
కోకోస్ (కీలింగ్) దీవులు	কোকোস্ (কীলিংগ্) দীবুলু
కాంగో- కిన్షాసా	কাংগো- কিন্ষাসা
కాంగో (DRC)	কাংগো (DRC)
సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్	সেংট্রল্ আফ্রিকন্ রিপব্লিক্
కాంగో- బ్రాజావిల్లి	কাংগো- ব্রাজাবিল্লি
కాంగో (రిపబ్లిక్)	কাংগো (রিপব্লিক্)
స్విట్జర్లాండ్	স্বিট্জর্লাংড্
ఐవరీ కోస్ట్	ঐবরী কোস্ট্
కుక్ దీవులు	কুক্ দীবুলু
చిలీ	চিলী
కామెరూన్	কামেরূন্
చైనా	চৈনা
కొలంబియా	কোলংবিযা
క్లిప్పర్టన్ దీవి	ক্লিপ্পর্টন্ দীবি
కోస్టా రికా	কোস্টা রিকা
క్యూబా	ক্যূবা
కేప్ వెర్డే	কেপ্ বের্ডে
కురాకవో	কুরাকবো
క్రిస్మస్ దీవి	ক্রিস্মস্ দীবি
సైప్రస్	সৈপ্রস্
