# Territory names from CLDR
ଆଣ୍ଡୋରା	ಆಣ್ಡೋರಾ
ସଂଯୁକ୍ତ ଆରବ ଏମିରେଟସ୍	ಸಂಯುಕ್ತ ಆರಬ ಏಮಿರೇಟಸ್
ଆଫାଗାନିସ୍ତାନ୍	ಆಫಾಗಾನಿಸ್ತಾನ್
ଆଣ୍ଟିଗୁଆ ଏବଂ ବାରବୁଦା	ಆಣ್ಟಿಗುಆ ಏಬಂ ಬಾರಬುದಾ
ଆଙ୍ଗୁଇଲ୍ଲା	ಆಙ್ಗುಇಲ್ಲಾ
ଆଲବାନିଆ	ಆಲಬಾನಿಆ
ଆର୍ମେନିଆ	ಆರ್ಮೇನಿಆ
ଆଙ୍ଗୋଲା	ಆಙ್ಗೋಲಾ
ଆର୍ଣ୍ଟକଟିକା	ಆರ್ಣ್ಟಕಟಿಕಾ
ଆର୍ଜେଣ୍ଟିନା	ಆರ್ಜೇಣ್ಟಿನಾ
ଆମେରିକାନ୍ ସାମୋଆ	ಆಮೇರಿಕಾನ್ ಸಾಮೋಆ
ଅଷ୍ଟ୍ରିଆ	ಅಷ್ಟ್ರಿಆ
ଅଷ୍ଟ୍ରେଲିଆ	ಅಷ್ಟ್ರೇಲಿಆ
ଆରୁବା	ಆರುಬಾ
ଆଲାଣ୍ଡ ଆଇସଲ୍ୟାଣ୍ଡ	ಆಲಾಣ್ಡ ಆಇಸಲ್ಯಾಣ್ಡ
ଆଜେରବାଇଜାନ୍	ಆಜೇರಬಾಇಜಾನ್
ବୋସନିଆ ଏବଂ ହର୍ଜଗୋଭିନା	ಬೋಸನಿಆ ಏಬಂ ಹರ್ಜಗೋಭಿನಾ
ବାରବାଡୋସ୍	ಬಾರಬಾಡೋಸ್
ବାଙ୍ଗଲାଦେଶ୍	ಬಾಙ್ಗಲಾದೇಶ್
ବେଲଜିୟମ୍	ಬೇಲಜಿಯಮ್
ବୁର୍କିନୋ ଫାସୋ	ಬುರ್ಕಿನೋ ಫಾಸೋ
ବୁଲଗେରିଆ	ಬುಲಗೇರಿಆ
ବାହାରିନ୍	ಬಾಹಾರಿನ್
ବୁରୁନ୍ଦି	ಬುರುನ್ದಿ
ବେନିନ୍	ಬೇನಿನ್
ସେଣ୍ଟ ବାର୍ଥେଲେମି	ಸೇಣ್ಟ ಬಾರ್ಥೇಲೇಮಿ
ବରମୁଡା	ಬರಮುಡಾ
ବ୍ରୁନେଇ	ಬ್ರುನೇಇ
ବୋଲଭିଆ	ಬೋಲಭಿಆ
ବ୍ରାଜିଲ୍	ಬ್ರಾಜಿಲ್
ବାହାମାସ୍	ಬಾಹಾಮಾಸ್
ଭୁଟାନ୍	ಭುಟಾನ್
ବୌଭେଟ୍ ଆଇସଲ୍ୟାଣ୍ଡ	ಬೌಭೇಟ್ ಆಇಸಲ್ಯಾಣ್ಡ
ବୋଟସ୍ବାନ୍	ಬೋಟಸ್ಬಾನ್
ବେଲାରୁଷ୍	ಬೇಲಾರುಷ್
ବେଲିଜ୍	ಬೇಲಿಜ್
କାନାଡା	ಕಾನಾಡಾ
କୋକୋସ୍ ଆଇସଲ୍ୟାଣ୍ଡ	ಕೋಕೋಸ್ ಆಇಸಲ್ಯಾಣ್ಡ
କଙ୍ଗୋ-କିନସାସା	ಕಙ್ಗೋ-ಕಿನಸಾಸಾ
