# Territory names from CLDR
એસેન્શન આઇલેન્ડ	ಏಸೇನ್ಶನ ಆಇಲೇನ್ಡ
ઍંડોરા	ಎಂಡೋರಾ
યુનાઇટેડ આરબ અમીરાત	ಯುನಾಇಟೇಡ ಆರಬ ಅಮೀರಾತ
અફઘાનિસ્તાન	ಅಫಘಾನಿಸ್ತಾನ
એન્ટીગુઆ અને બર્મુડા	ಏನ್ಟೀಗುಆ ಅನೇ ಬರ್ಮುಡಾ
ઍંગ્વિલા	ಎಂಗ್ವಿಲಾ
અલ્બેનિયા	ಅಲ್ಬೇನಿಯಾ
આર્મેનિયા	ಆರ್ಮೇನಿಯಾ
અંગોલા	ಅಂಗೋಲಾ
એન્ટાર્કટિકા	ಏನ್ಟಾರ್ಕಟಿಕಾ
આર્જેન્ટીના	ಆರ್ಜೇನ್ಟೀನಾ
અમેરીકન સમોઆ	ಅಮೇರೀಕನ ಸಮೋಆ
ઑસ્ટ્રિયા	ಒಸ್ಟ್ರಿಯಾ
ઑસ્ટ્રેલિયા	ಒಸ್ಟ್ರೇಲಿಯಾ
અરુબા	ಅರುಬಾ
એલેંડ ટાપુઓ	ಏಲೇಂಡ ಟಾಪುಓ
અઝરબૈજાન	ಅಝರಬೈಜಾನ
બોસ્નિયા અને હર્ઝેગોવિના	ಬೋಸ್ನಿಯಾ ಅನೇ ಹರ್ಝೇಗೋವಿನಾ
બાર્બાડોસ	ಬಾರ್ಬಾಡೋಸ
બાંગ્લાદેશ	ಬಾಂಗ್ಲಾದೇಶ
બેલ્જીયમ	ಬೇಲ್ಜೀಯಮ
બુર્કિના ફાસો	ಬುರ್ಕಿನಾ ಫಾಸೋ
બલ્ગેરિયા	ಬಲ್ಗೇರಿಯಾ
બેહરીન	ಬೇಹರೀನ
બુરુંડી	ಬುರುಂಡೀ
બેનિન	ಬೇನಿನ
સેન્ટ બાર્થેલેમી	ಸೇನ್ಟ ಬಾರ್ಥೇಲೇಮೀ
બર્મુડા	ಬರ್ಮುಡಾ
બ્રુનેઇ	ಬ್ರುನೇಇ
બોલિવિયા	ಬೋಲಿವಿಯಾ
કેરેબિયન નેધરલેન્ડ્ઝ	ಕೇರೇಬಿಯನ ನೇಧರಲೇನ್ಡ್ಝ
બ્રાઝિલ	ಬ್ರಾಝಿಲ
બહામાસ	ಬಹಾಮಾಸ
ભૂટાન	ಭೂಟಾನ
બૌવેત આઇલેન્ડ	ಬೌವೇತ ಆಇಲೇನ್ಡ
બોત્સ્વાના	ಬೋತ್ಸ್ವಾನಾ
બેલારુસ	ಬೇಲಾರುಸ
બેલીઝ	ಬೇಲೀಝ
કેનેડા	ಕೇನೇಡಾ
કોકોઝ (કીલીંગ) આઇલેન્ડ્સ	ಕೋಕೋಝ (ಕೀಲೀಂಗ) ಆಇಲೇನ್ಡ್ಸ
કોંગો - કિંશાસા	ಕೋಂಗೋ - ಕಿಂಶಾಸಾ
કોંગો (ડીઆરસી)	ಕೋಂಗೋ (ಡೀಆರಸೀ)
સેન્ટ્રલ આફ્રિકન રીપબ્લિક	ಸೇನ್ಟ್ರಲ ಆಫ್ರಿಕನ ರೀಪಬ್ಲಿಕ
કોંગો - બ્રાઝાવિલે	ಕೋಂಗೋ - ಬ್ರಾಝಾವಿಲೇ
કોંગો (પ્રજાસત્તાક)	ಕೋಂಗೋ (ಪ್ರಜಾಸತ್ತಾಕ)
સ્વિટ્ઝર્લૅન્ડ	ಸ್ವಿಟ್ಝರ್ಲೆನ್ಡ
કોટ ડી આઇવરી	ಕೋಟ ಡೀ ಆಇವರೀ
આઇવરી કોસ્ટ	ಆಇವರೀ ಕೋಸ್ಟ
કુક આઇલેન્ડ્સ	ಕುಕ ಆಇಲೇನ್ಡ್ಸ
